[JPS | EN | OT | Proverbs | Chapter 6 | Verse 1] My son, if thou art become surety for thy neighbour, if thou hast struck thy hands for a stranger —
[JPS | EN | OT | Proverbs | Chapter 6 | Verse 2] Thou art snared by the words of thy mouth, thou art caught by the words of thy mouth —
[JPS | EN | OT | Proverbs | Chapter 6 | Verse 3] Do this now, my son, and deliver thyself, seeing thou art come into the hand of thy neighbour; go, humble thyself, and urge thy neighbour.
[JPS | EN | OT | Proverbs | Chapter 6 | Verse 4] Give not sleep to thine eyes, nor slumber to thine eyelids.
[JPS | EN | OT | Proverbs | Chapter 6 | Verse 5] Deliver thyself as a gazelle from the hand of the hunter, and as a bird from the hand of the fowler.
[JPS | EN | OT | Proverbs | Chapter 6 | Verse 6] Go to the ant, thou sluggard; consider her ways, and be wise;
[JPS | EN | OT | Proverbs | Chapter 6 | Verse 7] Which having no chief, overseer, or ruler,
[JPS | EN | OT | Proverbs | Chapter 6 | Verse 8] Provideth her bread in the summer, and gatherest her food in the harvest.
[JPS | EN | OT | Proverbs | Chapter 6 | Verse 9] How long wilt thou sleep, O sluggard? When wilt thou arise out of thy sleep?
[JPS | EN | OT | Proverbs | Chapter 6 | Verse 10] 'Yet a little sleep, a little slumber, a little folding of the hands to sleep' —
[JPS | EN | OT | Proverbs | Chapter 6 | Verse 11] So shall thy poverty come as a runner, and thy want as an armed man.
[JPS | EN | OT | Proverbs | Chapter 6 | Verse 12] A base person, a man of iniquity, is he that walketh with a froward mouth;
[JPS | EN | OT | Proverbs | Chapter 6 | Verse 13] That winketh with his eyes, that scrapeth with his feet, that pointeth with his fingers;
[JPS | EN | OT | Proverbs | Chapter 6 | Verse 14] Frowardness is in his heart, he deviseth evil continually; he soweth discord.
[JPS | EN | OT | Proverbs | Chapter 6 | Verse 15] Therefore shall his calamity come suddenly; on a sudden shall he be broken, and that without remedy.
[JPS | EN | OT | Proverbs | Chapter 6 | Verse 16] There are six things which the LORD hateth, yea, seven which are an abomination unto Him:
[JPS | EN | OT | Proverbs | Chapter 6 | Verse 17] Haughty eyes, a lying tongue, and hands that shed innocent blood;
[JPS | EN | OT | Proverbs | Chapter 6 | Verse 18] A heart that deviseth wicked thoughts, feet that are swift in running to evil;
[JPS | EN | OT | Proverbs | Chapter 6 | Verse 19] A false witness that breatheth out lies, and he that soweth discord among brethren.
[JPS | EN | OT | Proverbs | Chapter 6 | Verse 20] My son, keep the commandment of thy father, and forsake not the teaching of thy mother;
[JPS | EN | OT | Proverbs | Chapter 6 | Verse 21] Bind them continually upon thy heart, tie them about thy neck.
[JPS | EN | OT | Proverbs | Chapter 6 | Verse 22] When thou walkest, it shall lead thee, when thou liest down, it shall watch over thee; and when thou awakest, it shall talk with thee.
[JPS | EN | OT | Proverbs | Chapter 6 | Verse 23] For the commandment is a lamp, and the teaching is light, and reproofs of instruction are the way of life;
[JPS | EN | OT | Proverbs | Chapter 6 | Verse 24] To keep thee from the evil woman, from the smoothness of the alien tongue.
[JPS | EN | OT | Proverbs | Chapter 6 | Verse 25] Lust not after her beauty in thy heart; neither let her captivate thee with her eyelids.
[JPS | EN | OT | Proverbs | Chapter 6 | Verse 26] For on account of a harlot a man is brought to a loaf of bread, but the adulteress hunteth for the precious life.
[JPS | EN | OT | Proverbs | Chapter 6 | Verse 27] Can a man take fire in his bosom, and his clothes not be burned?
[JPS | EN | OT | Proverbs | Chapter 6 | Verse 28] Or can one walk upon hot coals, and his feet not be scorched?
[JPS | EN | OT | Proverbs | Chapter 6 | Verse 29] So he that goeth in to his neighbour's wife; whosoever toucheth her shall not go unpunished.
[JPS | EN | OT | Proverbs | Chapter 6 | Verse 30] Men do not despise a thief, if he steal to satisfy his soul when he is hungry;
[JPS | EN | OT | Proverbs | Chapter 6 | Verse 31] But if he be found, he must restore sevenfold, he must give all the substance of his house.
[JPS | EN | OT | Proverbs | Chapter 6 | Verse 32] He that committeth adultery with a woman lacketh understanding; he doeth it that would destroy his own soul.
[JPS | EN | OT | Proverbs | Chapter 6 | Verse 33] Wounds and dishonour shall he get, and his reproach shall not be wiped away.
[JPS | EN | OT | Proverbs | Chapter 6 | Verse 34] For jealousy is the rage of a man, and he will not spare in the day of vengeance.
[JPS | EN | OT | Proverbs | Chapter 6 | Verse 35] He will not regard any ransom; neither will he rest content, though thou givest many gifts.
