[JPS | EN | OT | Proverbs | Chapter 18 | Verse 1] He that separateth himself seeketh his own desire, and snarlest against all sound wisdom.
[JPS | EN | OT | Proverbs | Chapter 18 | Verse 2] A fool hath no delight in understanding, but only that his heart may lay itself bare.
[JPS | EN | OT | Proverbs | Chapter 18 | Verse 3] When the wicked cometh, there cometh also contempt, and with ignominy reproach.
[JPS | EN | OT | Proverbs | Chapter 18 | Verse 4] The words of a man's mouth are as deep waters; a flowing brook, a fountain of wisdom.
[JPS | EN | OT | Proverbs | Chapter 18 | Verse 5] It is not good to respect the person of the wicked, so as to turn aside the righteous in judgment.
[JPS | EN | OT | Proverbs | Chapter 18 | Verse 6] A fool's lips enter into contention, and his mouth calleth for strokes.
[JPS | EN | OT | Proverbs | Chapter 18 | Verse 7] A fool's mouth is his ruin, and his lips are the snare of his soul.
[JPS | EN | OT | Proverbs | Chapter 18 | Verse 8] The words of a whisperer are as dainty morsels, and they go down into the innermost parts of the belly.
[JPS | EN | OT | Proverbs | Chapter 18 | Verse 9] Even one that is slack in his work is brother to him that is a destroyer.
[JPS | EN | OT | Proverbs | Chapter 18 | Verse 10] The name of the LORD is a strong tower: the righteous runneth into it, and is set up on high.
[JPS | EN | OT | Proverbs | Chapter 18 | Verse 11] The rich man's wealth is his strong city, and as a high wall in his own conceit.
[JPS | EN | OT | Proverbs | Chapter 18 | Verse 12] Before destruction the heart of a man is haughty, and before honour goeth humility.
[JPS | EN | OT | Proverbs | Chapter 18 | Verse 13] He that giveth answer before he heareth, it is folly and confusion unto him.
[JPS | EN | OT | Proverbs | Chapter 18 | Verse 14] The spirit of a man will sustain his infirmity; but a broken spirit who can bear?
[JPS | EN | OT | Proverbs | Chapter 18 | Verse 15] The heart of the prudent getteth knowledge; and the ear of the wise seeketh knowledge.
[JPS | EN | OT | Proverbs | Chapter 18 | Verse 16] A man's gift maketh room for him, and bringeth him before great men.
[JPS | EN | OT | Proverbs | Chapter 18 | Verse 17] He that pleadeth his cause first seemeth just; but his neighbour cometh and searcheth him out.
[JPS | EN | OT | Proverbs | Chapter 18 | Verse 18] The lot causeth strife to cease, and parteth asunder the contentious.
[JPS | EN | OT | Proverbs | Chapter 18 | Verse 19] A brother offended is harder to be won than a strong city; and their contentions are like the bars of a castle.
[JPS | EN | OT | Proverbs | Chapter 18 | Verse 20] A man's belly shall be filled with the fruit of his mouth; with the increase of his lips shall he be satisfied.
[JPS | EN | OT | Proverbs | Chapter 18 | Verse 21] Death and life are in the power of the tongue; and they that indulge it shall eat the fruit thereof.
[JPS | EN | OT | Proverbs | Chapter 18 | Verse 22] Whoso findeth a wife findeth a great good, and obtaineth favour of the LORD.
[JPS | EN | OT | Proverbs | Chapter 18 | Verse 23] The poor useth entreaties; but the rich answereth impudently.
[JPS | EN | OT | Proverbs | Chapter 18 | Verse 24] There are friends that one hath to his own hurt; but there is a friend that sticketh closer than a brother.
