[IRV | ML | OT | Hosea | Chapter 13 | Verse 1] എഫ്രയീം സംസാരിച്ചപ്പോൾ വിറയൽ ഉണ്ടായി; അവൻ യിസ്രായേലിൽ മികെച്ചവനായിരുന്നു; എന്നാൽ ബാൽമുഖാന്തരം കുറ്റം ചെയ്തപ്പോൾ അവൻ മരിച്ചുപോയി.
[IRV | ML | OT | Hosea | Chapter 13 | Verse 2] ഇപ്പോഴോ, അവർ അധികമധികം പാപം ചെയ്യുന്നു; അവർ വെള്ളികൊണ്ടു ബിംബങ്ങളെയും ബോധിച്ചതുപോലെ വിഗ്രഹങ്ങളെയും ഉണ്ടാക്കി; ഇവയൊക്കെയും കൗശലപ്പണിക്കാരുടെ പണിയത്രേ; അവയോടു അവർ സംസാരിക്കുന്നു; ബലികഴിക്കുന്ന മനുഷ്യർ കാളക്കിടാക്കളെ ചുംബിക്കുന്നു.
[IRV | ML | OT | Hosea | Chapter 13 | Verse 3] അതുകൊണ്ടു അവർ പ്രഭാതമേഘംപോലെയും കാലത്തെ ഒഴിഞ്ഞുപോകുന്ന മഞ്ഞുപോലെയും കളത്തിൽനിന്നു കൊടുങ്കാറ്റു പറപ്പിക്കുന്ന പതിർപോലെയും പുകക്കുഴലിൽനിന്നു പൊങ്ങുന്ന പുകപോലെയും ഇരിക്കും.
[IRV | ML | OT | Hosea | Chapter 13 | Verse 4] ഞാനോ മിസ്രയീംദേശംമുതൽ നിന്റെ ദൈവമായ യഹോവ ആകുന്നു; എന്നെയല്ലാതെ വേറൊരു ദൈവത്തെയും നീ അറിയുന്നില്ല;
[IRV | ML | OT | Hosea | Chapter 13 | Verse 5] ഞാനല്ലാതെ ഒരു രക്ഷിതാവു ഇല്ലല്ലോ. ഞാൻ മരുഭൂമിയിൽ ഏറ്റവും വരണ്ട ദേശത്തു തന്നേ നിന്നെ മേയിച്ചു.
[IRV | ML | OT | Hosea | Chapter 13 | Verse 6] അവർക്കു മേച്ചൽ ഉള്ളതുപോലെ അവർ മേഞ്ഞു തൃപ്തരായപ്പോൾ അവരുടെ ഹൃദയം ഉയർന്നു; അതുകൊണ്ടു അവർ എന്നെ മറന്നുകളഞ്ഞു.
[IRV | ML | OT | Hosea | Chapter 13 | Verse 7] ആകയാൽ ഞാൻ അവർക്കു ഒരു സിംഹത്തെപ്പോലെ ഇരിക്കും; വഴിയരികെ വള്ളിപ്പുലിയെപ്പോലെ ഞാൻ അവർക്കായി പതിയിരിക്കും;
[IRV | ML | OT | Hosea | Chapter 13 | Verse 8] കുട്ടികൾ പൊയ്പോയ കരടിയെപ്പോലെ ഞാൻ അവരെ എതിരിട്ടു അവരുടെ ഹൃദയത്തിന്റെ നെയ്‌വല കീറിക്കളയും; അവിടെവെച്ചു ഞാൻ അവരെ ഒരു സിംഹംപോലെ തിന്നുകളയും; കാട്ടുമൃഗം അവരെ കടിച്ചുകീറും.
[IRV | ML | OT | Hosea | Chapter 13 | Verse 9] യിസ്രായേലേ, നിന്റെ സഹായമായിരിക്കുന്ന എന്നോടു നീ മറുക്കുന്നതു നിന്റെ നാശം ആകുന്നു.
[IRV | ML | OT | Hosea | Chapter 13 | Verse 10] നിന്റെ എല്ലാപട്ടണങ്ങളിലും നിന്നെ രക്ഷിക്കാകുന്ന നിന്റെ രാജാവു ഇപ്പോൾ എവിടെ? എനിക്കു ഒരു രാജാവിനെയും പ്രഭുക്കന്മാരെയും തരേണം എന്നു നീ അപേക്ഷിച്ചിരിക്കുന്ന നിന്റെ ന്യായാധിപന്മാർ എവിടെ?
[IRV | ML | OT | Hosea | Chapter 13 | Verse 11] എന്റെ കോപത്തിൽ ഞാൻ നിനക്കു ഒരു രാജാവിനെ തന്നു, എന്റെ ക്രോധത്തിൽ ഞാൻ അവനെ നീക്കിക്കളഞ്ഞു.
[IRV | ML | OT | Hosea | Chapter 13 | Verse 12] എഫ്രയീമിന്റെ അകൃത്യം സംഗ്രഹിച്ചും അവന്റെ പാപം സൂക്ഷിച്ചും വെച്ചിരിക്കുന്നു.
[IRV | ML | OT | Hosea | Chapter 13 | Verse 13] നോവുകിട്ടിയ സ്ത്രീയുടെ വേദന അവന്നു ഉണ്ടാകും; അവൻ ബുദ്ധിയില്ലാത്ത മകൻ; സമയമാകുമ്പോൾ അവൻ ഗർഭദ്വാരത്തിങ്കൽ എത്തുന്നില്ല.
[IRV | ML | OT | Hosea | Chapter 13 | Verse 14] ഞാൻ അവരെ പാതാളത്തിന്റെ അധീനത്തിൽനിന്നു വീണ്ടെടുക്കും; മരണത്തിൽനിന്നു ഞാൻ അവരെ വിടുവിക്കും; മരണമേ, നിന്റെ ബാധകൾ എവിടെ? പാതാളമേ, നിന്റെ സംഹാരം എവിടെ? എനിക്കു സഹതാപം തോന്നുകയില്ല.
[IRV | ML | OT | Hosea | Chapter 13 | Verse 15] അവൻ തന്റെ സഹോദരന്മാരുടെ ഇടയിൽ ഫലപുഷ്ടിയുള്ളവനായിരുന്നാലും ഒരു കിഴക്കൻകാറ്റു വരും; അവന്റെ ഉറവു വറ്റി കിണർ ഉണങ്ങിപ്പോകുവാൻ തക്കവണ്ണം യഹോവയുടെ കാറ്റു മരുഭൂമിയിൽനിന്നു വരും; അവൻ സകലമനോഹരവസ്തുക്കളുടെയും നിക്ഷേപത്തെ കവർന്നുകൊണ്ടുപോകും.
