[KJV | EN | OT | Psalms | Chapter 85 | Verse 1] Lord, thou hast been favourable unto thy land: Thou hast brought back the captivity of Jacob.
[KJV | EN | OT | Psalms | Chapter 85 | Verse 2] Thou hast forgiven the iniquity of thy people, Thou hast covered all their sin. Selah.
[KJV | EN | OT | Psalms | Chapter 85 | Verse 3] Thou hast taken away all thy wrath: Thou hast turned thyself from the fierceness of thine anger.
[KJV | EN | OT | Psalms | Chapter 85 | Verse 4] Turn us, O God of our salvation, And cause thine anger towards us to cease.
[KJV | EN | OT | Psalms | Chapter 85 | Verse 5] Wilt thou be angry with us for ever? Wilt thou draw out thine anger to all generations?
[KJV | EN | OT | Psalms | Chapter 85 | Verse 6] Wilt thou not revive us again: That thy people may rejoice in thee?
[KJV | EN | OT | Psalms | Chapter 85 | Verse 7] Shew us thy mercy, O Lord, And grant us thy salvation.
[KJV | EN | OT | Psalms | Chapter 85 | Verse 8] I will hear what God the Lord will speak: For he will speak peace unto his people, and to his saints: But let them not turn again to folly.
[KJV | EN | OT | Psalms | Chapter 85 | Verse 9] Surely his salvation is nigh them that fear him; That glory may dwell in our land.
[KJV | EN | OT | Psalms | Chapter 85 | Verse 10] Mercy and truth are met together; Righteousness and peace have kissed each other.
[KJV | EN | OT | Psalms | Chapter 85 | Verse 11] Truth shall spring out of the earth; And righteousness shall look down from heaven.
[KJV | EN | OT | Psalms | Chapter 85 | Verse 12] Yea, the Lord shall give that which is good; And our land shall yield her increase.
[KJV | EN | OT | Psalms | Chapter 85 | Verse 13] Righteousness shall go before him; And shall set us in the way of his steps.
