[KJV | EN | OT | Psalms | Chapter 72 | Verse 1] Give the king thy judgments, O God, And thy righteousness unto the king’s son.
[KJV | EN | OT | Psalms | Chapter 72 | Verse 2] He shall judge thy people with righteousness, And thy poor with judgment.
[KJV | EN | OT | Psalms | Chapter 72 | Verse 3] The mountains shall bring peace to the people, And the little hills, by righteousness.
[KJV | EN | OT | Psalms | Chapter 72 | Verse 4] He shall judge the poor of the people, He shall save the children of the needy, And shall break in pieces the oppressor.
[KJV | EN | OT | Psalms | Chapter 72 | Verse 5] They shall fear thee as long as the sun And moon endure, throughout all generations.
[KJV | EN | OT | Psalms | Chapter 72 | Verse 6] He shall come down like rain upon the mown grass: As showers that water the earth.
[KJV | EN | OT | Psalms | Chapter 72 | Verse 7] In his days shall the righteous flourish; And abundance of peace so long as the moon endureth.
[KJV | EN | OT | Psalms | Chapter 72 | Verse 8] He shall have dominion also from sea to sea, And from the river unto the ends of the earth.
[KJV | EN | OT | Psalms | Chapter 72 | Verse 9] They that dwell in the wilderness shall bow before him; And his enemies shall lick the dust.
[KJV | EN | OT | Psalms | Chapter 72 | Verse 10] The kings of Tarshish and of the isles shall bring presents: The kings of Sheba and Seba shall offer gifts.
[KJV | EN | OT | Psalms | Chapter 72 | Verse 11] Yea, all kings shall fall down before him: All nations shall serve him.
[KJV | EN | OT | Psalms | Chapter 72 | Verse 12] For he shall deliver the needy when he crieth; The poor also, and him that hath no helper.
[KJV | EN | OT | Psalms | Chapter 72 | Verse 13] He shall spare the poor and needy, And shall save the souls of the needy.
[KJV | EN | OT | Psalms | Chapter 72 | Verse 14] He shall redeem their soul from deceit and violence: And precious shall their blood be in his sight.
[KJV | EN | OT | Psalms | Chapter 72 | Verse 15] And he shall live, and to him shall be given of the gold of Sheba: Prayer also shall be made for him continually; And daily shall he be praised.
[KJV | EN | OT | Psalms | Chapter 72 | Verse 16] There shall be a handful of corn in the earth upon the top of the mountains; The fruit thereof shall shake like Lebanon: And they of the city shall flourish like grass of the earth.
[KJV | EN | OT | Psalms | Chapter 72 | Verse 17] His name shall endure for ever: His name shall be continued as long as the sun: And men shall be blessed in him: All nations shall call him blessed.
[KJV | EN | OT | Psalms | Chapter 72 | Verse 18] Blessed be the Lord God, the God of Israel, Who only doeth wondrous things.
[KJV | EN | OT | Psalms | Chapter 72 | Verse 19] And blessed be his glorious name for ever: And let the whole earth be filled with his glory; Amen, and Amen.
[KJV | EN | OT | Psalms | Chapter 72 | Verse 20] The prayers of David the son of Jesse are ended.
