[KJV | EN | OT | Psalms | Chapter 17 | Verse 1] Hear the right, O Lord, attend unto my cry, Give ear unto my prayer, that goeth not out of feigned lips.
[KJV | EN | OT | Psalms | Chapter 17 | Verse 2] Let my sentence come forth from thy presence; Let thine eyes behold the things that are equal.
[KJV | EN | OT | Psalms | Chapter 17 | Verse 3] Thou hast proved mine heart; thou hast visited me in the night; Thou hast tried me, and shalt find nothing; I am purposed that my mouth shall not transgress.
[KJV | EN | OT | Psalms | Chapter 17 | Verse 4] Concerning the works of men, by the word of thy lips I have kept me from the paths of the destroyer.
[KJV | EN | OT | Psalms | Chapter 17 | Verse 5] Hold up my goings in thy paths, That my footsteps slip not.
[KJV | EN | OT | Psalms | Chapter 17 | Verse 6] I have called upon thee, for thou wilt hear me, O God: Incline thine ear unto me, and hear my speech.
[KJV | EN | OT | Psalms | Chapter 17 | Verse 7] Shew thy marvellous loving-kindness, O thou that savest by thy right hand them which put their trust in thee From those that rise up against them.
[KJV | EN | OT | Psalms | Chapter 17 | Verse 8] Keep me as the apple of the eye, Hide me under the shadow of thy wings,
[KJV | EN | OT | Psalms | Chapter 17 | Verse 9] From the wicked that oppress me, From my deadly enemies, who compass me about.
[KJV | EN | OT | Psalms | Chapter 17 | Verse 10] They are inclosed in their own fat: With their mouth they speak proudly.
[KJV | EN | OT | Psalms | Chapter 17 | Verse 11] They have now compassed us in our steps: They have set their eyes bowing down to the earth;
[KJV | EN | OT | Psalms | Chapter 17 | Verse 12] Like as a lion that is greedy of his prey, And as it were a young lion lurking in secret places.
[KJV | EN | OT | Psalms | Chapter 17 | Verse 13] Arise, O Lord, disappoint him, cast him down: Deliver my soul from the wicked, which is thy sword:
[KJV | EN | OT | Psalms | Chapter 17 | Verse 14] From men which are thy hand, O Lord, From men of the world, which have their portion in this life, And whose belly thou fillest with thy hid treasure: They are full of children, And leave the rest of their substance to their babes.
[KJV | EN | OT | Psalms | Chapter 17 | Verse 15] As for me, I will behold thy face in righteousness: I shall be satisfied, when I awake, with thy likeness.
