[KJV | EN | OT | Psalms | Chapter 116 | Verse 1] I love the Lord, because he hath heard My voice and my supplications.
[KJV | EN | OT | Psalms | Chapter 116 | Verse 2] Because he hath inclined his ear unto me, Therefore will I call upon him as long as I live.
[KJV | EN | OT | Psalms | Chapter 116 | Verse 3] The sorrows of death compassed me, And the pains of hell gat hold upon me: I found trouble and sorrow.
[KJV | EN | OT | Psalms | Chapter 116 | Verse 4] Then called I upon the name of the Lord; O Lord, I beseech thee, deliver my soul.
[KJV | EN | OT | Psalms | Chapter 116 | Verse 5] Gracious is the Lord, and righteous; Yea, our God is merciful.
[KJV | EN | OT | Psalms | Chapter 116 | Verse 6] The Lord preserveth the simple: I was brought low, and he helped me.
[KJV | EN | OT | Psalms | Chapter 116 | Verse 7] Return unto thy rest, O my soul; For the Lord hath dealt bountifully with thee.
[KJV | EN | OT | Psalms | Chapter 116 | Verse 8] For thou hast delivered my soul from death, Mine eyes from tears, And my feet from falling.
[KJV | EN | OT | Psalms | Chapter 116 | Verse 9] I will walk before the Lord In the land of the living.
[KJV | EN | OT | Psalms | Chapter 116 | Verse 10] I believed, therefore have I spoken: I was greatly afflicted:
[KJV | EN | OT | Psalms | Chapter 116 | Verse 11] I said in my haste, All men are liars.
[KJV | EN | OT | Psalms | Chapter 116 | Verse 12] What shall I render unto the Lord For all his benefits towards me?
[KJV | EN | OT | Psalms | Chapter 116 | Verse 13] I will take the cup of salvation, And call upon the name of the Lord.
[KJV | EN | OT | Psalms | Chapter 116 | Verse 14] I will pay my vows unto the Lord Now in the presence of all his people.
[KJV | EN | OT | Psalms | Chapter 116 | Verse 15] Precious in the sight of the Lord Is the death of his saints.
[KJV | EN | OT | Psalms | Chapter 116 | Verse 16] Oh Lord, truly I am thy servant; I am thy servant, and the son of thy handmaid: Thou hast loosed my bonds.
[KJV | EN | OT | Psalms | Chapter 116 | Verse 17] I will offer to thee the sacrifice of thanksgiving, And will call upon the name of the Lord.
[KJV | EN | OT | Psalms | Chapter 116 | Verse 18] I will pay my vows unto the Lord Now in the presence of all his people,
[KJV | EN | OT | Psalms | Chapter 116 | Verse 19] In the courts of the Lord’s house, In the midst of thee, O Jerusalem. Praise ye the Lord.
