[KJV | EN | OT | Psalms | Chapter 35 | Verse 1] Plead my cause, O Lord, with them that strive with me: Fight against them that fight against me.
[KJV | EN | OT | Psalms | Chapter 35 | Verse 2] Take hold of shield and buckler, And stand up for mine help.
[KJV | EN | OT | Psalms | Chapter 35 | Verse 3] Draw out also the spear, and stop the way against them that persecute me: Say unto my soul, I am thy salvation.
[KJV | EN | OT | Psalms | Chapter 35 | Verse 4] Let them be confounded and put to shame that seek after my soul: Let them be turned back and brought to confusion that devise my hurt.
[KJV | EN | OT | Psalms | Chapter 35 | Verse 5] Let them be as chaff before the wind: And let the angel of the Lord chase them.
[KJV | EN | OT | Psalms | Chapter 35 | Verse 6] Let their way be dark and slippery: And let the angel of the Lord persecute them.
[KJV | EN | OT | Psalms | Chapter 35 | Verse 7] For without cause have they hid for me their net in a pit, Which without cause they have digged for my soul.
[KJV | EN | OT | Psalms | Chapter 35 | Verse 8] Let destruction come upon him at unawares; And let his net that he hath hid catch himself: Into that very destruction let him fall.
[KJV | EN | OT | Psalms | Chapter 35 | Verse 9] And my soul shall be joyful in the Lord: It shall rejoice in his salvation.
[KJV | EN | OT | Psalms | Chapter 35 | Verse 10] All my bones shall say, Lord, who is like unto thee, Which deliverest the poor from him that is too strong for him, Yea, the poor and the needy from him that spoileth him?
[KJV | EN | OT | Psalms | Chapter 35 | Verse 11] False witnesses did rise up; They laid to my charge things that I knew not.
[KJV | EN | OT | Psalms | Chapter 35 | Verse 12] They rewarded me evil for good To the spoiling of my soul.
[KJV | EN | OT | Psalms | Chapter 35 | Verse 13] But as for me, when they were sick, my clothing was sackcloth: I humbled my soul with fasting; And my prayer returned into mine own bosom.
[KJV | EN | OT | Psalms | Chapter 35 | Verse 14] I behaved myself as though he had been my friend or brother: I bowed down heavily, as one that mourneth for his mother.
[KJV | EN | OT | Psalms | Chapter 35 | Verse 15] But in mine adversity they rejoiced, and gathered themselves together: Yea, the abjects gathered themselves together against me, and I knew it not; They did tear me, and ceased not:
[KJV | EN | OT | Psalms | Chapter 35 | Verse 16] With hypocritical mockers in feasts, They gnashed upon me with their teeth.
[KJV | EN | OT | Psalms | Chapter 35 | Verse 17] Lord, how long wilt thou look on? Rescue my soul from their destructions, My darling from the lions.
[KJV | EN | OT | Psalms | Chapter 35 | Verse 18] I will give thee thanks in the great congregation: I will praise thee among much people.
[KJV | EN | OT | Psalms | Chapter 35 | Verse 19] Let not them that are mine enemies wrongfully rejoice over me: Neither let them wink with the eye that hate me without a cause.
[KJV | EN | OT | Psalms | Chapter 35 | Verse 20] For they speak not peace: But they devise deceitful matters against them that are quiet in the land.
[KJV | EN | OT | Psalms | Chapter 35 | Verse 21] Yea, they opened their mouth wide against me, And said, Aha, aha, our eye hath seen it.
[KJV | EN | OT | Psalms | Chapter 35 | Verse 22] This thou hast seen, O Lord: keep not silence: O Lord, be not far from me.
[KJV | EN | OT | Psalms | Chapter 35 | Verse 23] Stir up thyself, and awake to my judgment, Even unto my cause, my God and my Lord.
[KJV | EN | OT | Psalms | Chapter 35 | Verse 24] Judge me, O Lord my God, according to thy righteousness; And let them not rejoice over me.
[KJV | EN | OT | Psalms | Chapter 35 | Verse 25] Let them not say in their hearts, Ah, so would we have it: Let them not say, We have swallowed him up.
[KJV | EN | OT | Psalms | Chapter 35 | Verse 26] Let them be ashamed and brought to confusion together that rejoice at mine hurt: Let them be clothed with shame and dishonour that magnify themselves against me.
[KJV | EN | OT | Psalms | Chapter 35 | Verse 27] Let them shout for joy, and be glad, that favour my righteous cause: Yea, let them say continually, Let the Lord be magnified, Which hath pleasure in the prosperity of his servant.
[KJV | EN | OT | Psalms | Chapter 35 | Verse 28] And my tongue shall speak of thy righteousness And of thy praise all the day long.
