[KJV | EN | OT | Psalms | Chapter 18 | Verse 1] I will love thee, O Lord, my strength.
[KJV | EN | OT | Psalms | Chapter 18 | Verse 2] The Lord is my rock, and my fortress, and my deliverer; My God, my strength, in whom I will trust; My buckler, and the horn of my salvation, and my high tower.
[KJV | EN | OT | Psalms | Chapter 18 | Verse 3] I will call upon the Lord, who is worthy to be praised: So shall I be saved from mine enemies.
[KJV | EN | OT | Psalms | Chapter 18 | Verse 4] The sorrows of death compassed me, And the floods of ungodly men made me afraid.
[KJV | EN | OT | Psalms | Chapter 18 | Verse 5] The sorrows of hell compassed me about: The snares of death prevented me.
[KJV | EN | OT | Psalms | Chapter 18 | Verse 6] In my distress I called upon the Lord, And cried unto my God: He heard my voice out of his temple, And my cry came before him, even into his ears.
[KJV | EN | OT | Psalms | Chapter 18 | Verse 7] Then the earth shook and trembled; The foundations also of the hills moved And were shaken, because he was wroth.
[KJV | EN | OT | Psalms | Chapter 18 | Verse 8] There went up a smoke out of his nostrils, And fire out of his mouth devoured: Coals were kindled by it.
[KJV | EN | OT | Psalms | Chapter 18 | Verse 9] He bowed the heavens also, and came down: And darkness was under his feet.
[KJV | EN | OT | Psalms | Chapter 18 | Verse 10] And he rode upon a cherub, and did fly: Yea, he did fly upon the wings of the wind.
[KJV | EN | OT | Psalms | Chapter 18 | Verse 11] He made darkness his secret place; His pavilion round about him Were dark waters and thick clouds of the skies.
[KJV | EN | OT | Psalms | Chapter 18 | Verse 12] At the brightness that was before him his thick clouds passed, Hail-stones and coals of fire.
[KJV | EN | OT | Psalms | Chapter 18 | Verse 13] The Lord also thundered in the heavens, And the Highest gave his voice; Hail-stones and coals of fire.
[KJV | EN | OT | Psalms | Chapter 18 | Verse 14] Yea, he sent out his arrows, and scattered them; And he shot out lightnings, and discomfited them.
[KJV | EN | OT | Psalms | Chapter 18 | Verse 15] Then the channels of waters were seen, And the foundations of the world were discovered At thy rebuke, O Lord, At the blast of the breath of thy nostrils.
[KJV | EN | OT | Psalms | Chapter 18 | Verse 16] He sent from above, he took me, He drew me out of many waters.
[KJV | EN | OT | Psalms | Chapter 18 | Verse 17] He delivered me from my strong enemy, And from them which hated me: for they were too strong for me.
[KJV | EN | OT | Psalms | Chapter 18 | Verse 18] They prevented me in the day of my calamity: But the Lord was my stay.
[KJV | EN | OT | Psalms | Chapter 18 | Verse 19] He brought me forth also into a large place; He delivered me, because he delighted in me.
[KJV | EN | OT | Psalms | Chapter 18 | Verse 20] The Lord rewarded me according to my righteousness; According to the cleanness of my hands hath he recompensed me.
[KJV | EN | OT | Psalms | Chapter 18 | Verse 21] For I have kept the ways of the Lord, And have not wickedly departed from my God.
[KJV | EN | OT | Psalms | Chapter 18 | Verse 22] For all his judgments were before me, And I did not put away his statutes from me.
[KJV | EN | OT | Psalms | Chapter 18 | Verse 23] I was also upright before him, And I kept myself from mine iniquity.
[KJV | EN | OT | Psalms | Chapter 18 | Verse 24] Therefore hath the Lord recompensed me according to my righteousness, According to the cleanness of my hands in his eyesight.
[KJV | EN | OT | Psalms | Chapter 18 | Verse 25] With the merciful thou wilt shew thyself merciful; With an upright man thou wilt shew thyself upright;
[KJV | EN | OT | Psalms | Chapter 18 | Verse 26] With the pure thou wilt shew thyself pure; And with the froward thou wilt shew thyself froward.
[KJV | EN | OT | Psalms | Chapter 18 | Verse 27] For thou wilt save the afflicted people; But wilt bring down high looks.
[KJV | EN | OT | Psalms | Chapter 18 | Verse 28] For thou wilt light my candle: The Lord my God will enlighten my darkness.
[KJV | EN | OT | Psalms | Chapter 18 | Verse 29] For by thee I have run through a troop; And by my God have I leaped over a wall.
[KJV | EN | OT | Psalms | Chapter 18 | Verse 30] As for God, his way is perfect: The word of the Lord is tried: He is a buckler to all those that trust in him.
[KJV | EN | OT | Psalms | Chapter 18 | Verse 31] For who is God save the Lord? Or who is a rock save our God?
[KJV | EN | OT | Psalms | Chapter 18 | Verse 32] It is God that girdeth me with strength, And maketh my way perfect.
[KJV | EN | OT | Psalms | Chapter 18 | Verse 33] He maketh my feet like hinds’ feet, And setteth me upon my high places.
[KJV | EN | OT | Psalms | Chapter 18 | Verse 34] He teacheth my hands to war, So that a bow of steel is broken by mine arms.
[KJV | EN | OT | Psalms | Chapter 18 | Verse 35] Thou hast also given me the shield of thy salvation: And thy right hand hath holden me up, And thy gentleness hath made me great.
[KJV | EN | OT | Psalms | Chapter 18 | Verse 36] Thou hast enlarged my steps under me, That my feet did not slip.
[KJV | EN | OT | Psalms | Chapter 18 | Verse 37] I have pursued mine enemies, and overtaken them: Neither did I turn again till they were consumed.
[KJV | EN | OT | Psalms | Chapter 18 | Verse 38] I have wounded them that they were not able to rise: They are fallen under my feet.
[KJV | EN | OT | Psalms | Chapter 18 | Verse 39] For thou hast girded me with strength unto the battle: Thou hast subdued under me those that rose up against me.
[KJV | EN | OT | Psalms | Chapter 18 | Verse 40] Thou hast also given me the necks of mine enemies; That I might destroy them that hate me.
[KJV | EN | OT | Psalms | Chapter 18 | Verse 41] They cried, but there was none to save them: Even unto the Lord, but he answered them not.
[KJV | EN | OT | Psalms | Chapter 18 | Verse 42] Then did I beat them small as the dust before the wind: I did cast them out as the dirt in the streets.
[KJV | EN | OT | Psalms | Chapter 18 | Verse 43] Thou hast delivered me from the strivings of the people; And thou hast made me the head of the heathen: A people whom I have not known shall serve me.
[KJV | EN | OT | Psalms | Chapter 18 | Verse 44] As soon as they hear of me, they shall obey me: The strangers shall submit themselves unto me.
[KJV | EN | OT | Psalms | Chapter 18 | Verse 45] The strangers shall fade away, And be afraid out of their close places.
[KJV | EN | OT | Psalms | Chapter 18 | Verse 46] The Lord liveth; and blessed be my rock; And let the God of my salvation be exalted.
[KJV | EN | OT | Psalms | Chapter 18 | Verse 47] It is God that avengeth me, And subdueth the people under me.
[KJV | EN | OT | Psalms | Chapter 18 | Verse 48] He delivereth me from mine enemies: Yea, thou liftest me up above those that rise up against me: Thou hast delivered me from the violent man.
[KJV | EN | OT | Psalms | Chapter 18 | Verse 49] Therefore will I give thanks unto thee, O Lord, among the heathen, And sing praises unto thy name.
[KJV | EN | OT | Psalms | Chapter 18 | Verse 50] Great deliverance giveth he to his king; And sheweth mercy to his anointed, To David, and to his seed for evermore.
