[KJV | EN | OT | Psalms | Chapter 59 | Verse 1] Deliver me from mine enemies, O my God: Defend me from them that rise up against me.
[KJV | EN | OT | Psalms | Chapter 59 | Verse 2] Deliver me from the workers of iniquity, And save me from bloody men.
[KJV | EN | OT | Psalms | Chapter 59 | Verse 3] For lo, they lie in wait for my soul: The mighty are gathered against me; Not for my transgression, nor for my sin, O Lord.
[KJV | EN | OT | Psalms | Chapter 59 | Verse 4] They run and prepare themselves without my fault: Awake to help me, and behold.
[KJV | EN | OT | Psalms | Chapter 59 | Verse 5] Thou therefore, O Lord God of hosts, the God of Israel, Awake to visit all the heathen: Be not merciful to any wicked transgressors. Selah.
[KJV | EN | OT | Psalms | Chapter 59 | Verse 6] They return at evening: They make a noise like a dog, And go round about the city.
[KJV | EN | OT | Psalms | Chapter 59 | Verse 7] Behold, they belch out with their mouth: Swords are in their lips: For who, say they, doth hear?
[KJV | EN | OT | Psalms | Chapter 59 | Verse 8] But thou, O Lord, shalt laugh at them; Thou shalt have all the heathen in derision.
[KJV | EN | OT | Psalms | Chapter 59 | Verse 9] Because of his strength will I wait upon thee: For God is my defence.
[KJV | EN | OT | Psalms | Chapter 59 | Verse 10] The God of my mercy shall prevent me: God shall let me see my desire upon mine enemies.
[KJV | EN | OT | Psalms | Chapter 59 | Verse 11] Slay them not, lest my people forget: Scatter them by thy power; And bring them down, O Lord our shield.
[KJV | EN | OT | Psalms | Chapter 59 | Verse 12] For the sin of their mouth and the words of their lips Let them even be taken in their pride: And for cursing and lying which they speak.
[KJV | EN | OT | Psalms | Chapter 59 | Verse 13] Consume them in wrath, consume them, that they may not be: And let them know that God ruleth in Jacob Unto the ends of the earth. Selah.
[KJV | EN | OT | Psalms | Chapter 59 | Verse 14] And at evening let them return; And let them make a noise like a dog, And go round about the city.
[KJV | EN | OT | Psalms | Chapter 59 | Verse 15] Let them wander up and down for meat, And grudge if they be not satisfied.
[KJV | EN | OT | Psalms | Chapter 59 | Verse 16] But I will sing of thy power; Yea, I will sing aloud of thy mercy in the morning: For thou hast been my defence And refuge in the day of my trouble.
[KJV | EN | OT | Psalms | Chapter 59 | Verse 17] Unto thee, O my strength, will I sing: For God is my defence, and the God of my mercy.
