[KJV | EN | OT | Psalms | Chapter 9 | Verse 1] (א) I will praise thee, O Lord, with my whole heart; I will shew forth all thy marvellous works.
[KJV | EN | OT | Psalms | Chapter 9 | Verse 2] I will be glad and rejoice in thee: I will sing praise to thy name, O thou most High.
[KJV | EN | OT | Psalms | Chapter 9 | Verse 3] (ב) When mine enemies are turned back, They shall fall and perish at thy presence.
[KJV | EN | OT | Psalms | Chapter 9 | Verse 4] For thou hast maintained my right and my cause; Thou satest in the throne judging right.
[KJV | EN | OT | Psalms | Chapter 9 | Verse 5] (ג) Thou hast rebuked the heathen, thou hast destroyed the wicked, Thou hast put out their name for ever and ever.
[KJV | EN | OT | Psalms | Chapter 9 | Verse 6] (ה) O thou enemy, destructions are come to a perpetual end: And thou hast destroyed cities; Their memorial is perished with them.
[KJV | EN | OT | Psalms | Chapter 9 | Verse 7] (ו) But the Lord shall endure for ever: He hath prepared his throne for judgment.
[KJV | EN | OT | Psalms | Chapter 9 | Verse 8] And he shall judge the world in righteousness, He shall minister judgment to the people in uprightness.
[KJV | EN | OT | Psalms | Chapter 9 | Verse 9] The Lord also will be a refuge for the oppressed, A refuge in times of trouble.
[KJV | EN | OT | Psalms | Chapter 9 | Verse 10] And they that know thy name will put their trust in thee: For thou, Lord, hast not forsaken them that seek thee.
[KJV | EN | OT | Psalms | Chapter 9 | Verse 11] (ז) Sing praises to the Lord, which dwelleth in Zion: Declare among the people his doings.
[KJV | EN | OT | Psalms | Chapter 9 | Verse 12] When he maketh inquisition for blood, he remembereth them: He forgetteth not the cry of the humble.
[KJV | EN | OT | Psalms | Chapter 9 | Verse 13] (ח) Have mercy upon me, O Lord; Consider my trouble which I suffer of them that hate me, Thou that liftest me up from the gates of death:
[KJV | EN | OT | Psalms | Chapter 9 | Verse 14] That I may shew forth all thy praise In the gates of the daughter of Zion: I will rejoice in thy salvation.
[KJV | EN | OT | Psalms | Chapter 9 | Verse 15] (ט) The heathen are sunk down in the pit that they made: In the net which they hid is their own foot taken.
[KJV | EN | OT | Psalms | Chapter 9 | Verse 16] The Lord is known by the judgment which he executeth: The wicked is snared in the work of his own hands. Higgaion. Selah.
[KJV | EN | OT | Psalms | Chapter 9 | Verse 17] (י) The wicked shall be turned into hell, And all the nations that forget God.
[KJV | EN | OT | Psalms | Chapter 9 | Verse 18] (כ) For the needy shall not alway be forgotten: The expectation of the poor shall not perish for ever.
[KJV | EN | OT | Psalms | Chapter 9 | Verse 19] Arise, O Lord; let not man prevail: Let the heathen be judged in thy sight.
[KJV | EN | OT | Psalms | Chapter 9 | Verse 20] Put them in fear, O Lord: That the nations may know themselves to be but men. Selah.
