[KJV | EN | OT | Psalms | Chapter 106 | Verse 1] Praise ye the Lord. O give thanks unto the Lord; for he is good: For his mercy endureth for ever.
[KJV | EN | OT | Psalms | Chapter 106 | Verse 2] Who can utter the mighty acts of the Lord? Who can shew forth all his praise?
[KJV | EN | OT | Psalms | Chapter 106 | Verse 3] Blessed are they that keep judgment, And he that doeth righteousness at all times.
[KJV | EN | OT | Psalms | Chapter 106 | Verse 4] Remember me, O Lord, with the favour that thou bearest unto thy people: O visit me with thy salvation;
[KJV | EN | OT | Psalms | Chapter 106 | Verse 5] That I may see the good of thy chosen, That I may rejoice in the gladness of thy nation, That I may glory with thine inheritance.
[KJV | EN | OT | Psalms | Chapter 106 | Verse 6] We have sinned with our fathers, We have committed iniquity, we have done wickedly.
[KJV | EN | OT | Psalms | Chapter 106 | Verse 7] Our fathers understood not thy wonders in Egypt; They remembered not the multitude of thy mercies; But provoked him at the sea, even at the Red sea.
[KJV | EN | OT | Psalms | Chapter 106 | Verse 8] Nevertheless he saved them for his name’s sake, That he might make his mighty power to be known.
[KJV | EN | OT | Psalms | Chapter 106 | Verse 9] He rebuked the Red sea also, and it was dried up: So he led them through the depths, as through the wilderness.
[KJV | EN | OT | Psalms | Chapter 106 | Verse 10] And he saved them from the hand of him that hated them, And redeemed them from the hand of the enemy.
[KJV | EN | OT | Psalms | Chapter 106 | Verse 11] And the waters covered their enemies: There was not one of them left.
[KJV | EN | OT | Psalms | Chapter 106 | Verse 12] Then believed they his words; They sang his praise.
[KJV | EN | OT | Psalms | Chapter 106 | Verse 13] They soon forgat his works; They waited not for his counsel:
[KJV | EN | OT | Psalms | Chapter 106 | Verse 14] But lusted exceedingly in the wilderness, And tempted God in the desert.
[KJV | EN | OT | Psalms | Chapter 106 | Verse 15] And he gave them their request; But sent leanness into their soul.
[KJV | EN | OT | Psalms | Chapter 106 | Verse 16] They envied Moses also in the camp, And Aaron the saint of the Lord.
[KJV | EN | OT | Psalms | Chapter 106 | Verse 17] The earth opened and swallowed up Dathan, And covered the company of Abiram.
[KJV | EN | OT | Psalms | Chapter 106 | Verse 18] And a fire was kindled in their company; The flame burnt up the wicked.
[KJV | EN | OT | Psalms | Chapter 106 | Verse 19] They made a calf in Horeb, And worshipped the molten image.
[KJV | EN | OT | Psalms | Chapter 106 | Verse 20] Thus they changed their glory Into the similitude of an ox that eateth grass.
[KJV | EN | OT | Psalms | Chapter 106 | Verse 21] They forgat God their saviour, Which had done great things in Egypt;
[KJV | EN | OT | Psalms | Chapter 106 | Verse 22] Wondrous works in the land of Ham, And terrible things by the Red sea.
[KJV | EN | OT | Psalms | Chapter 106 | Verse 23] Therefore he said that he would destroy them, Had not Moses his chosen stood before him in the breach, To turn away his wrath, lest he should destroy them.
[KJV | EN | OT | Psalms | Chapter 106 | Verse 24] Yea, they despised the pleasant land, They believed not his word:
[KJV | EN | OT | Psalms | Chapter 106 | Verse 25] But murmured in their tents, And hearkened not unto the voice of the Lord.
[KJV | EN | OT | Psalms | Chapter 106 | Verse 26] Therefore he lifted up his hand against them, To overthrow them in the wilderness:
[KJV | EN | OT | Psalms | Chapter 106 | Verse 27] To overthrow their seed also among the nations, And to scatter them in the lands.
[KJV | EN | OT | Psalms | Chapter 106 | Verse 28] They joined themselves also unto Baal-peor, And ate the sacrifices of the dead.
[KJV | EN | OT | Psalms | Chapter 106 | Verse 29] Thus they provoked him to anger with their inventions: And the plague brake in upon them.
[KJV | EN | OT | Psalms | Chapter 106 | Verse 30] Then stood up Phinehas, and executed judgment: And so the plague was stayed.
[KJV | EN | OT | Psalms | Chapter 106 | Verse 31] And that was counted unto him for righteousness Unto all generations for evermore.
[KJV | EN | OT | Psalms | Chapter 106 | Verse 32] They angered him also at the waters of strife, So that it went ill with Moses for their sakes:
[KJV | EN | OT | Psalms | Chapter 106 | Verse 33] Because they provoked his spirit, So that he spake unadvisedly with his lips.
[KJV | EN | OT | Psalms | Chapter 106 | Verse 34] They did not destroy the nations, Concerning whom the Lord commanded them:
[KJV | EN | OT | Psalms | Chapter 106 | Verse 35] But were mingled among the heathen, And learned their works.
[KJV | EN | OT | Psalms | Chapter 106 | Verse 36] And they served their idols: Which were a snare unto them.
[KJV | EN | OT | Psalms | Chapter 106 | Verse 37] Yea, they sacrificed their sons And their daughters unto devils,
[KJV | EN | OT | Psalms | Chapter 106 | Verse 38] And shed innocent blood, Even the blood of their sons and of their daughters, Whom they sacrificed unto the idols of Canaan: And the land was polluted with blood.
[KJV | EN | OT | Psalms | Chapter 106 | Verse 39] Thus were they defiled with their own works, And went a whoring with their own inventions.
