[KJV | EN | OT | Psalms | Chapter 77 | Verse 1] I cried unto God with my voice, Even unto God with my voice; and he gave ear unto me.
[KJV | EN | OT | Psalms | Chapter 77 | Verse 2] In the day of my trouble I sought the Lord: My sore ran in the night, and ceased not: My soul refused to be comforted.
[KJV | EN | OT | Psalms | Chapter 77 | Verse 3] I remembered God, and was troubled: I complained, and my spirit was overwhelmed. Selah.
[KJV | EN | OT | Psalms | Chapter 77 | Verse 4] Thou holdest mine eyes waking: I am so troubled that I cannot speak.
[KJV | EN | OT | Psalms | Chapter 77 | Verse 5] I have considered the days of old, The years of ancient times.
[KJV | EN | OT | Psalms | Chapter 77 | Verse 6] I call to remembrance my song in the night: I commune with mine own heart: And my spirit made diligent search.
[KJV | EN | OT | Psalms | Chapter 77 | Verse 7] Will the Lord cast off for ever? And will he be favourable no more?
[KJV | EN | OT | Psalms | Chapter 77 | Verse 8] Is his mercy clean gone for ever? Doth his promise fail for evermore?
[KJV | EN | OT | Psalms | Chapter 77 | Verse 9] Hath God forgotten to be gracious? Hath he in anger shut up his tender mercies? Selah.
[KJV | EN | OT | Psalms | Chapter 77 | Verse 10] And I said, This is my infirmity: But I will remember the years of the right hand of the most High.
[KJV | EN | OT | Psalms | Chapter 77 | Verse 11] I will remember the works of the Lord: Surely I will remember thy wonders of old.
[KJV | EN | OT | Psalms | Chapter 77 | Verse 12] I will meditate also of all thy work, And talk of thy doings.
[KJV | EN | OT | Psalms | Chapter 77 | Verse 13] Thy way, O God, is in the sanctuary: Who is so great a God as our God?
[KJV | EN | OT | Psalms | Chapter 77 | Verse 14] Thou art the God that doest wonders: Thou hast declared thy strength among the people.
[KJV | EN | OT | Psalms | Chapter 77 | Verse 15] Thou hast with thine arm redeemed thy people, The sons of Jacob and Joseph. Selah.
[KJV | EN | OT | Psalms | Chapter 77 | Verse 16] The waters saw thee, O God, the waters saw thee; they were afraid: The depths also were troubled.
[KJV | EN | OT | Psalms | Chapter 77 | Verse 17] The clouds poured out water: The skies sent out a sound: Thine arrows also went abroad.
[KJV | EN | OT | Psalms | Chapter 77 | Verse 18] The voice of thy thunder was in the heaven: The lightnings lightened the world: The earth trembled and shook.
[KJV | EN | OT | Psalms | Chapter 77 | Verse 19] Thy way is in the sea, And thy path in the great waters, And thy footsteps are not known.
[KJV | EN | OT | Psalms | Chapter 77 | Verse 20] Thou leddest thy people like a flock By the hand of Moses and Aaron.
