[KJV | EN | OT | Psalms | Chapter 144 | Verse 1] Blessed be the Lord my strength, Which teacheth my hands to war, And my fingers to fight:
[KJV | EN | OT | Psalms | Chapter 144 | Verse 2] My goodness, and my fortress; my high tower, and my deliverer; My shield, and he in whom I trust; Who subdueth my people under me.
[KJV | EN | OT | Psalms | Chapter 144 | Verse 3] Lord, what is man, that thou takest knowledge of him? Or the son of man, that thou makest account of him?
[KJV | EN | OT | Psalms | Chapter 144 | Verse 4] Man is like to vanity: His days are as a shadow that passeth away.
[KJV | EN | OT | Psalms | Chapter 144 | Verse 5] Bow thy heavens, O Lord, and come down: Touch the mountains, and they shall smoke.
[KJV | EN | OT | Psalms | Chapter 144 | Verse 6] Cast forth lightning, and scatter them: Shoot out thine arrows, and destroy them.
[KJV | EN | OT | Psalms | Chapter 144 | Verse 7] Send thine hand from above; Rid me, and deliver me out of great waters, From the hand of strange children;
[KJV | EN | OT | Psalms | Chapter 144 | Verse 8] Whose mouth speaketh vanity, And their right hand is a right hand of falsehood.
[KJV | EN | OT | Psalms | Chapter 144 | Verse 9] I will sing a new song unto thee, O God: Upon a psaltery and an instrument of ten strings will I sing praises unto thee.
[KJV | EN | OT | Psalms | Chapter 144 | Verse 10] It is he that giveth salvation unto kings: Who delivereth David his servant from the hurtful sword.
[KJV | EN | OT | Psalms | Chapter 144 | Verse 11] Rid me, and deliver me from the hand of strange children, Whose mouth speaketh vanity, And their right hand is a right hand of falsehood:
[KJV | EN | OT | Psalms | Chapter 144 | Verse 12] That our sons may be as plants grown up in their youth; That our daughters may be as corner stones, polished after the similitude of a palace:
[KJV | EN | OT | Psalms | Chapter 144 | Verse 13] That our garners may be full, affording all manner of store: That our sheep may bring forth thousands and ten thousands in our streets:
[KJV | EN | OT | Psalms | Chapter 144 | Verse 14] That our oxen may be strong to labour; That there be no breaking in, nor going out; That there be no complaining in our streets.
[KJV | EN | OT | Psalms | Chapter 144 | Verse 15] Happy is that people, that is in such a case: Yea, happy is that people, whose God is the Lord.
