[KJV | EN | OT | Psalms | Chapter 5 | Verse 1] Give ear to my words, O Lord, Consider my meditation.
[KJV | EN | OT | Psalms | Chapter 5 | Verse 2] Hearken unto the voice of my cry, my King, and my God: For unto thee will I pray.
[KJV | EN | OT | Psalms | Chapter 5 | Verse 3] My voice shalt thou hear in the morning, O Lord; In the morning will I direct my prayer unto thee, and will look up.
[KJV | EN | OT | Psalms | Chapter 5 | Verse 4] For thou art not a God that hath pleasure in wickedness: Neither shall evil dwell with thee.
[KJV | EN | OT | Psalms | Chapter 5 | Verse 5] The foolish shall not stand in thy sight: Thou hatest all workers of iniquity.
[KJV | EN | OT | Psalms | Chapter 5 | Verse 6] Thou shalt destroy them that speak leasing: The Lord will abhor the bloody and deceitful man.
[KJV | EN | OT | Psalms | Chapter 5 | Verse 7] But as for me, I will come into thy house in the multitude of thy mercy: And in thy fear will I worship toward thy holy temple.
[KJV | EN | OT | Psalms | Chapter 5 | Verse 8] Lead me, O Lord, in thy righteousness because of mine enemies; Make thy way straight before my face.
[KJV | EN | OT | Psalms | Chapter 5 | Verse 9] For there is no faithfulness in their mouth; Their inward part is very wickedness; Their throat is an open sepulchre; They flatter with their tongue.
[KJV | EN | OT | Psalms | Chapter 5 | Verse 10] Destroy thou them, O God; Let them fall by their own counsels; Cast them out in the multitude of their transgressions; For they have rebelled against thee.
[KJV | EN | OT | Psalms | Chapter 5 | Verse 11] But let all those that put their trust in thee rejoice: Let them ever shout for joy, because thou defendest them: Let them also that love thy name be joyful in thee.
[KJV | EN | OT | Psalms | Chapter 5 | Verse 12] For thou, Lord, wilt bless the righteous; With favour wilt thou compass him as with a shield.
