[KJV | EN | OT | Psalms | Chapter 63 | Verse 1] O God, thou art my God; early will I seek thee: My soul thirsteth for thee, My flesh longeth for thee, In a dry and thirsty land, where no water is;
[KJV | EN | OT | Psalms | Chapter 63 | Verse 2] To see thy power and thy glory, So as I have seen thee in the sanctuary.
[KJV | EN | OT | Psalms | Chapter 63 | Verse 3] Because thy lovingkindness is better than life, My lips shall praise thee.
[KJV | EN | OT | Psalms | Chapter 63 | Verse 4] Thus will I bless thee while I live: I will lift up my hands in thy name.
[KJV | EN | OT | Psalms | Chapter 63 | Verse 5] My soul shall be satisfied as with marrow and fatness; And my mouth shall praise thee with joyful lips:
[KJV | EN | OT | Psalms | Chapter 63 | Verse 6] When I remember thee upon my bed, And meditate on thee in the night watches.
[KJV | EN | OT | Psalms | Chapter 63 | Verse 7] Because thou hast been my help, Therefore in the shadow of thy wings will I rejoice.
[KJV | EN | OT | Psalms | Chapter 63 | Verse 8] My soul followeth hard after thee: Thy right hand upholdeth me.
[KJV | EN | OT | Psalms | Chapter 63 | Verse 9] But those that seek my soul, to destroy it, Shall go into the lower parts of the earth.
[KJV | EN | OT | Psalms | Chapter 63 | Verse 10] They shall fall by the sword: They shall be a portion for foxes.
[KJV | EN | OT | Psalms | Chapter 63 | Verse 11] But the king shall rejoice in God; Every one that sweareth by him shall glory: But the mouth of them that speak lies shall be stopped.
