[KJV | EN | OT | Psalms | Chapter 55 | Verse 1] Give ear to my prayer, O God; And hide not thyself from my supplication.
[KJV | EN | OT | Psalms | Chapter 55 | Verse 2] Attend unto me, and hear me: I mourn in my complaint, and make a noise;
[KJV | EN | OT | Psalms | Chapter 55 | Verse 3] Because of the voice of the enemy, because of the oppression of the wicked: For they cast iniquity upon me, and in wrath they hate me.
[KJV | EN | OT | Psalms | Chapter 55 | Verse 4] My heart is sore pained within me: And the terrors of death are fallen upon me.
[KJV | EN | OT | Psalms | Chapter 55 | Verse 5] Fearfulness and trembling are come upon me, And horror hath overwhelmed me.
[KJV | EN | OT | Psalms | Chapter 55 | Verse 6] And I said, O that I had wings like a dove, For then would I fly away, and be at rest.
[KJV | EN | OT | Psalms | Chapter 55 | Verse 7] Lo, then would I wander far off, And remain in the wilderness. Selah.
[KJV | EN | OT | Psalms | Chapter 55 | Verse 8] I would hasten my escape From the windy storm and tempest.
[KJV | EN | OT | Psalms | Chapter 55 | Verse 9] Destroy, O Lord, and divide their tongues: For I have seen violence and strife in the city.
[KJV | EN | OT | Psalms | Chapter 55 | Verse 10] Day and night they go about it upon the walls thereof: Mischief also and sorrow are in the midst of it.
[KJV | EN | OT | Psalms | Chapter 55 | Verse 11] Wickedness is in the midst thereof: Deceit and guile depart not from her streets.
[KJV | EN | OT | Psalms | Chapter 55 | Verse 12] For it was not an enemy that reproached me; then I could have borne it: Neither was it he that hated me that did magnify himself against me; then I would have hid myself from him:
[KJV | EN | OT | Psalms | Chapter 55 | Verse 13] But it was thou, a man mine equal, My guide, and mine acquaintance.
[KJV | EN | OT | Psalms | Chapter 55 | Verse 14] We took sweet counsel together, And walked unto the house of God in company.
[KJV | EN | OT | Psalms | Chapter 55 | Verse 15] Let death seize upon them, And let them go down quick into hell: For wickedness is in their dwellings, and among them.
[KJV | EN | OT | Psalms | Chapter 55 | Verse 16] As for me, I will call upon God; And the Lord shall save me.
[KJV | EN | OT | Psalms | Chapter 55 | Verse 17] Evening, and morning, and at noon, will I pray, and cry aloud: And he shall hear my voice.
[KJV | EN | OT | Psalms | Chapter 55 | Verse 18] He hath delivered my soul in peace from the battle that was against me: For there were many with me.
[KJV | EN | OT | Psalms | Chapter 55 | Verse 19] God shall hear, and afflict them, Even he that abideth of old. Selah. Because they have no changes, Therefore they fear not God.
[KJV | EN | OT | Psalms | Chapter 55 | Verse 20] He hath put forth his hands against such as be at peace with him: He hath broken his covenant.
[KJV | EN | OT | Psalms | Chapter 55 | Verse 21] The words of his mouth were smoother than butter, but war was in his heart: His words were softer than oil, yet were they drawn swords.
[KJV | EN | OT | Psalms | Chapter 55 | Verse 22] Cast thy burden upon the Lord, and he shall sustain thee: He shall never suffer the righteous to be moved.
[KJV | EN | OT | Psalms | Chapter 55 | Verse 23] But thou, O God, shalt bring them down into the pit of destruction: Bloody and deceitful men shall not live out half their days; But I will trust in thee.
