[KJV | EN | OT | Psalms | Chapter 49 | Verse 1] Hear this, all ye people; Give ear, all ye inhabitants of the world:
[KJV | EN | OT | Psalms | Chapter 49 | Verse 2] Both low and high, Rich and poor, together.
[KJV | EN | OT | Psalms | Chapter 49 | Verse 3] My mouth shall speak of wisdom; And the meditation of my heart shall be of understanding.
[KJV | EN | OT | Psalms | Chapter 49 | Verse 4] I will incline mine ear to a parable: I will open my dark saying upon the harp.
[KJV | EN | OT | Psalms | Chapter 49 | Verse 5] Wherefore should I fear in the days of evil, When the iniquity of my heels shall compass me about?
[KJV | EN | OT | Psalms | Chapter 49 | Verse 6] They that trust in their wealth, And boast themselves in the multitude of their riches;
[KJV | EN | OT | Psalms | Chapter 49 | Verse 7] None of them can by any means redeem his brother, Nor give to God a ransom for him:
[KJV | EN | OT | Psalms | Chapter 49 | Verse 8] (For the redemption of their soul is precious, And it ceaseth for ever:)
[KJV | EN | OT | Psalms | Chapter 49 | Verse 9] That he should still live for ever, And not see corruption.
[KJV | EN | OT | Psalms | Chapter 49 | Verse 10] For he seeth that wise men die, Likewise the fool and the brutish person perish, And leave their wealth to others.
[KJV | EN | OT | Psalms | Chapter 49 | Verse 11] Their inward thought is, that their houses shall continue for ever, And their dwelling places to all generations; They call their lands after their own names.
[KJV | EN | OT | Psalms | Chapter 49 | Verse 12] Nevertheless man being in honour abideth not: He is like the beasts that perish.
[KJV | EN | OT | Psalms | Chapter 49 | Verse 13] This their way is their folly: Yet their posterity approve their sayings. Selah.
[KJV | EN | OT | Psalms | Chapter 49 | Verse 14] Like sheep they are laid in the grave; Death shall feed on them; And the upright shall have dominion over them in the morning; And their beauty shall consume in the grave from their dwelling.
[KJV | EN | OT | Psalms | Chapter 49 | Verse 15] But God will redeem my soul from the power of the grave: For he shall receive me. Selah.
[KJV | EN | OT | Psalms | Chapter 49 | Verse 16] Be not thou afraid when one is made rich, When the glory of his house is increased;
[KJV | EN | OT | Psalms | Chapter 49 | Verse 17] For when he dieth he shall carry nothing away: His glory shall not descend after him.
[KJV | EN | OT | Psalms | Chapter 49 | Verse 18] Though whiles he lived he blessed his soul: And men will praise thee, when thou doest well to thyself.
[KJV | EN | OT | Psalms | Chapter 49 | Verse 19] He shall go to the generation of his fathers; They shall never see light.
[KJV | EN | OT | Psalms | Chapter 49 | Verse 20] Man that is in honour, and understandeth not, Is like the beasts that perish.
