[KJV | EN | OT | Psalms | Chapter 21 | Verse 1] The king shall joy in thy strength, O Lord; And in thy salvation how greatly shall he rejoice!
[KJV | EN | OT | Psalms | Chapter 21 | Verse 2] Thou hast given him his heart’s desire, And hast not withholden the request of his lips. Selah.
[KJV | EN | OT | Psalms | Chapter 21 | Verse 3] For thou preventest him with the blessings of goodness: Thou settest a crown of pure gold on his head.
[KJV | EN | OT | Psalms | Chapter 21 | Verse 4] He asked life of thee, and thou gavest it him, Even length of days for ever and ever.
[KJV | EN | OT | Psalms | Chapter 21 | Verse 5] His glory is great in thy salvation: Honour and majesty hast thou laid upon him.
[KJV | EN | OT | Psalms | Chapter 21 | Verse 6] For thou hast made him most blessed for ever: Thou hast made him exceeding glad with thy countenance.
[KJV | EN | OT | Psalms | Chapter 21 | Verse 7] For the king trusteth in the Lord, And through the mercy of the most High he shall not be moved.
[KJV | EN | OT | Psalms | Chapter 21 | Verse 8] Thine hand shall find out all thine enemies: Thy right hand shall find out those that hate thee.
[KJV | EN | OT | Psalms | Chapter 21 | Verse 9] Thou shalt make them as a fiery oven in the time of thine anger: The Lord shall swallow them up in his wrath, and the fire shall devour them.
[KJV | EN | OT | Psalms | Chapter 21 | Verse 10] Their fruit shalt thou destroy from the earth, And their seed from among the children of men.
[KJV | EN | OT | Psalms | Chapter 21 | Verse 11] For they intended evil against thee: They imagined a mischievous device, which they are not able to perform.
[KJV | EN | OT | Psalms | Chapter 21 | Verse 12] Therefore shalt thou make them turn their back, When thou shalt make ready thine arrows upon thy strings against the face of them.
[KJV | EN | OT | Psalms | Chapter 21 | Verse 13] Be thou exalted, Lord, in thine own strength: So will we sing and praise thy power.
