[KJV | EN | OT | Psalms | Chapter 104 | Verse 1] Bless the Lord, O my soul. O Lord my God, thou art very great; Thou art clothed with honour and majesty.
[KJV | EN | OT | Psalms | Chapter 104 | Verse 2] Who coverest thyself with light as with a garment: Who stretchest out the heavens like a curtain:
[KJV | EN | OT | Psalms | Chapter 104 | Verse 3] Who layeth the beams of his chambers in the waters: Who maketh the clouds his chariot: Who walketh upon the wings of the wind:
[KJV | EN | OT | Psalms | Chapter 104 | Verse 4] Who maketh his angels spirits; His ministers a flaming fire:
[KJV | EN | OT | Psalms | Chapter 104 | Verse 5] Who laid the foundations of the earth, That it should not be removed for ever.
[KJV | EN | OT | Psalms | Chapter 104 | Verse 6] Thou coveredst it with the deep as with a garment: The waters stood above the mountains.
[KJV | EN | OT | Psalms | Chapter 104 | Verse 7] At thy rebuke they fled; At the voice of thy thunder they hasted away.
[KJV | EN | OT | Psalms | Chapter 104 | Verse 8] They go up by the mountains; they go down by the valleys Unto the place which thou hast founded for them.
[KJV | EN | OT | Psalms | Chapter 104 | Verse 9] Thou hast set a bound that they may not pass over; That they turn not again to cover the earth.
[KJV | EN | OT | Psalms | Chapter 104 | Verse 10] He sendeth the springs into the valleys, Which run among the hills.
[KJV | EN | OT | Psalms | Chapter 104 | Verse 11] They give drink to every beast of the field: The wild asses quench their thirst.
[KJV | EN | OT | Psalms | Chapter 104 | Verse 12] By them shall the fowls of the heaven have their habitation, Which sing among the branches.
[KJV | EN | OT | Psalms | Chapter 104 | Verse 13] He watereth the hills from his chambers: The earth is satisfied with the fruit of thy works.
[KJV | EN | OT | Psalms | Chapter 104 | Verse 14] He causeth the grass to grow for the cattle, And herb for the service of man: That he may bring forth food out of the earth;
[KJV | EN | OT | Psalms | Chapter 104 | Verse 15] And wine that maketh glad the heart of man, And oil to make his face to shine, And bread which strengtheneth man’s heart.
[KJV | EN | OT | Psalms | Chapter 104 | Verse 16] The trees of the Lord are full of sap; The cedars of Lebanon, which he hath planted;
[KJV | EN | OT | Psalms | Chapter 104 | Verse 17] Where the birds make their nests: As for the stork, the fir trees are her house.
[KJV | EN | OT | Psalms | Chapter 104 | Verse 18] The high hills are a refuge for the wild goats; And the rocks for the conies.
[KJV | EN | OT | Psalms | Chapter 104 | Verse 19] He appointed the moon for seasons: The sun knoweth his going down.
[KJV | EN | OT | Psalms | Chapter 104 | Verse 20] Thou makest darkness, and it is night: Wherein all the beasts of the forest do creep forth.
[KJV | EN | OT | Psalms | Chapter 104 | Verse 21] The young lions roar after their prey, And seek their meat from God.
[KJV | EN | OT | Psalms | Chapter 104 | Verse 22] The sun ariseth, they gather themselves together, And lay them down in their dens.
[KJV | EN | OT | Psalms | Chapter 104 | Verse 23] Man goeth forth unto his work And to his labour until the evening.
[KJV | EN | OT | Psalms | Chapter 104 | Verse 24] O Lord, how manifold are thy works! In wisdom hast thou made them all: The earth is full of thy riches.
[KJV | EN | OT | Psalms | Chapter 104 | Verse 25] So is this great and wide sea, Wherein are things creeping innumerable, Both small and great beasts.
[KJV | EN | OT | Psalms | Chapter 104 | Verse 26] There go the ships: There is that leviathan, whom thou hast made to play therein.
[KJV | EN | OT | Psalms | Chapter 104 | Verse 27] These wait all upon thee; That thou mayest give them their meat in due season.
[KJV | EN | OT | Psalms | Chapter 104 | Verse 28] That thou givest them they gather: Thou openest thine hand, they are filled with good.
[KJV | EN | OT | Psalms | Chapter 104 | Verse 29] Thou hidest thy face, they are troubled: Thou takest away their breath, they die, And return to their dust.
[KJV | EN | OT | Psalms | Chapter 104 | Verse 30] Thou sendest forth thy spirit, they are created: And thou renewest the face of the earth.
[KJV | EN | OT | Psalms | Chapter 104 | Verse 31] The glory of the Lord shall endure for ever: The Lord shall rejoice in his works.
[KJV | EN | OT | Psalms | Chapter 104 | Verse 32] He looketh on the earth, and it trembleth: He toucheth the hills, and they smoke.
[KJV | EN | OT | Psalms | Chapter 104 | Verse 33] I will sing unto the Lord as long as I live: I will sing praise to my God while I have my being.
[KJV | EN | OT | Psalms | Chapter 104 | Verse 34] My meditation of him shall be sweet: I will be glad in the Lord.
[KJV | EN | OT | Psalms | Chapter 104 | Verse 35] Let the sinners be consumed out of the earth, And let the wicked be no more. Bless thou the Lord, O my soul. Praise ye the Lord.
