[KJV | EN | OT | Psalms | Chapter 22 | Verse 1] My God, my God, why hast thou forsaken me? Why art thou so far from helping me, and from the words of my roaring?
[KJV | EN | OT | Psalms | Chapter 22 | Verse 2] O my God, I cry in the daytime, but thou hearest not; And in the night season, and am not silent.
[KJV | EN | OT | Psalms | Chapter 22 | Verse 3] But thou art holy, O thou that inhabitest the praises of Israel.
[KJV | EN | OT | Psalms | Chapter 22 | Verse 4] Our fathers trusted in thee: They trusted, and thou didst deliver them.
[KJV | EN | OT | Psalms | Chapter 22 | Verse 5] They cried unto thee, and were delivered: They trusted in thee, and were not confounded.
[KJV | EN | OT | Psalms | Chapter 22 | Verse 6] But I am a worm, and no man; A reproach of men, and despised of the people.
[KJV | EN | OT | Psalms | Chapter 22 | Verse 7] All they that see me laugh me to scorn: They shoot out the lip, they shake the head, saying,
[KJV | EN | OT | Psalms | Chapter 22 | Verse 8] He trusted on the Lord that he would deliver him: Let him deliver him, seeing he delighted in him.
[KJV | EN | OT | Psalms | Chapter 22 | Verse 9] But thou art he that took me out of the womb: Thou didst make me hope when I was upon my mother’s breasts.
[KJV | EN | OT | Psalms | Chapter 22 | Verse 10] I was cast upon thee from the womb: Thou art my God from my mother’s belly.
[KJV | EN | OT | Psalms | Chapter 22 | Verse 11] Be not far from me; for trouble is near; For there is none to help.
[KJV | EN | OT | Psalms | Chapter 22 | Verse 12] Many bulls have compassed me: Strong bulls of Bashan have beset me round.
[KJV | EN | OT | Psalms | Chapter 22 | Verse 13] They gaped upon me with their mouths, As a ravening and a roaring lion.
[KJV | EN | OT | Psalms | Chapter 22 | Verse 14] I am poured out like water, And all my bones are out of joint: My heart is like wax; It is melted in the midst of my bowels.
[KJV | EN | OT | Psalms | Chapter 22 | Verse 15] My strength is dried up like a potsherd; And my tongue cleaveth to my jaws; And thou hast brought me into the dust of death.
[KJV | EN | OT | Psalms | Chapter 22 | Verse 16] For dogs have compassed me: The assembly of the wicked have inclosed me: They pierced my hands and my feet.
[KJV | EN | OT | Psalms | Chapter 22 | Verse 17] I may tell all my bones: They look and stare upon me.
[KJV | EN | OT | Psalms | Chapter 22 | Verse 18] They part my garments among them, And cast lots upon my vesture.
[KJV | EN | OT | Psalms | Chapter 22 | Verse 19] But be not thou far from me, O Lord: O my strength, haste thee to help me.
[KJV | EN | OT | Psalms | Chapter 22 | Verse 20] Deliver my soul from the sword; My darling from the power of the dog.
[KJV | EN | OT | Psalms | Chapter 22 | Verse 21] Save me from the lion’s mouth: For thou hast heard me from the horns of the unicorns.
[KJV | EN | OT | Psalms | Chapter 22 | Verse 22] I will declare thy name unto my brethren: In the midst of the congregation will I praise thee.
[KJV | EN | OT | Psalms | Chapter 22 | Verse 23] Ye that fear the Lord, praise him; All ye the seed of Jacob, glorify him; And fear him, all ye the seed of Israel.
[KJV | EN | OT | Psalms | Chapter 22 | Verse 24] For he hath not despised nor abhorred the affliction of the afflicted; Neither hath he hid his face from him; But when he cried unto him, he heard.
[KJV | EN | OT | Psalms | Chapter 22 | Verse 25] My praise shall be of thee in the great congregation: I will pay my vows before them that fear him.
[KJV | EN | OT | Psalms | Chapter 22 | Verse 26] The meek shall eat and be satisfied: They shall praise the Lord that seek him: Your heart shall live for ever.
[KJV | EN | OT | Psalms | Chapter 22 | Verse 27] All the ends of the world shall remember and turn unto the Lord: And all the kindreds of the nations shall worship before thee.
[KJV | EN | OT | Psalms | Chapter 22 | Verse 28] For the kingdom is the Lord’s: And he is the governor among the nations.
[KJV | EN | OT | Psalms | Chapter 22 | Verse 29] All they that be fat upon earth shall eat and worship: All they that go down to the dust shall bow before him: And none can keep alive his own soul.
[KJV | EN | OT | Psalms | Chapter 22 | Verse 30] A seed shall serve him; It shall be accounted to the Lord for a generation.
[KJV | EN | OT | Psalms | Chapter 22 | Verse 31] They shall come, and shall declare his righteousness Unto a people that shall be born, that he hath done this.
