[KJV | EN | OT | Psalms | Chapter 2 | Verse 1] Why do the heathen rage, And the people imagine a vain thing?
[KJV | EN | OT | Psalms | Chapter 2 | Verse 2] The kings of the earth set themselves, And the rulers take counsel together, Against the Lord, and against his anointed, saying,
[KJV | EN | OT | Psalms | Chapter 2 | Verse 3] Let us break their bands asunder, And cast away their cords from us.
[KJV | EN | OT | Psalms | Chapter 2 | Verse 4] He that sitteth in the heavens shall laugh: The Lord shall have them in derision.
[KJV | EN | OT | Psalms | Chapter 2 | Verse 5] Then shall he speak unto them in his wrath, And vex them in his sore displeasure.
[KJV | EN | OT | Psalms | Chapter 2 | Verse 6] Yet have I set my king Upon my holy hill of Zion.
[KJV | EN | OT | Psalms | Chapter 2 | Verse 7] I will declare the decree: The Lord hath said unto me, Thou art my Son; This day have I begotten thee.
[KJV | EN | OT | Psalms | Chapter 2 | Verse 8] Ask of me, And I shall give thee the heathen for thine inheritance, And the uttermost parts of the earth for thy possession.
[KJV | EN | OT | Psalms | Chapter 2 | Verse 9] Thou shalt break them with a rod of iron; Thou shalt dash them in pieces like a potter’s vessel.
[KJV | EN | OT | Psalms | Chapter 2 | Verse 10] Be wise now therefore, O ye kings: Be instructed, ye judges of the earth.
[KJV | EN | OT | Psalms | Chapter 2 | Verse 11] Serve the Lord with fear, And rejoice with trembling.
[KJV | EN | OT | Psalms | Chapter 2 | Verse 12] Kiss the Son, lest he be angry, And ye perish from the way, When his wrath is kindled but a little: Blessed are all they that put their trust in him.
