[KJV | EN | OT | Psalms | Chapter 34 | Verse 1] (א) I will bless the Lord at all times: His praise shall continually be in my mouth.
[KJV | EN | OT | Psalms | Chapter 34 | Verse 2] (ב) My soul shall make her boast in the Lord: The humble shall hear thereof, and be glad.
[KJV | EN | OT | Psalms | Chapter 34 | Verse 3] (ג) O magnify the Lord with me, And let us exalt his name together.
[KJV | EN | OT | Psalms | Chapter 34 | Verse 4] (ד) I sought the Lord, and he heard me, And delivered me from all my fears.
[KJV | EN | OT | Psalms | Chapter 34 | Verse 5] (ה) They looked unto him, and were lightened: (ו) And their faces were not ashamed.
[KJV | EN | OT | Psalms | Chapter 34 | Verse 6] (ז) This poor man cried, and the Lord heard him, And saved him out of all his troubles.
[KJV | EN | OT | Psalms | Chapter 34 | Verse 7] (ח) The angel of the Lord encampeth Round about them that fear him, and delivereth them.
[KJV | EN | OT | Psalms | Chapter 34 | Verse 8] (ט) O taste and see that the Lord is good: Blessed is the man that trusteth in him.
[KJV | EN | OT | Psalms | Chapter 34 | Verse 9] (י) O fear the Lord, ye his saints: For there is no want to them that fear him.
[KJV | EN | OT | Psalms | Chapter 34 | Verse 10] (כ) The young lions do lack, and suffer hunger: But they that seek the Lord shall not want any good thing.
[KJV | EN | OT | Psalms | Chapter 34 | Verse 11] (ל) Come, ye children, hearken unto me: I will teach you the fear of the Lord.
[KJV | EN | OT | Psalms | Chapter 34 | Verse 12] (מ) What man is he that desireth life, And loveth many days, that he may see good?
[KJV | EN | OT | Psalms | Chapter 34 | Verse 13] (נ) Keep thy tongue from evil, And thy lips from speaking guile.
[KJV | EN | OT | Psalms | Chapter 34 | Verse 14] (ס) Depart from evil, and do good; Seek peace, and pursue it.
[KJV | EN | OT | Psalms | Chapter 34 | Verse 15] (ע) The eyes of the Lord are upon the righteous, And his ears are open unto their cry.
[KJV | EN | OT | Psalms | Chapter 34 | Verse 16] (פ) The face of the Lord is against them that do evil, To cut off the remembrance of them from the earth.
[KJV | EN | OT | Psalms | Chapter 34 | Verse 17] (צ) The righteous cry, and the Lord heareth, And delivereth them out of all their troubles.
[KJV | EN | OT | Psalms | Chapter 34 | Verse 18] (ק) The Lord is nigh unto them that are of a broken heart; And saveth such as be of a contrite spirit.
[KJV | EN | OT | Psalms | Chapter 34 | Verse 19] (ר) Many are the afflictions of the righteous: But the Lord delivereth him out of them all.
[KJV | EN | OT | Psalms | Chapter 34 | Verse 20] (ש) He keepeth all his bones: Not one of them is broken.
[KJV | EN | OT | Psalms | Chapter 34 | Verse 21] (ת) Evil shall slay the wicked: And they that hate the righteous shall be desolate.
[KJV | EN | OT | Psalms | Chapter 34 | Verse 22] (פ) The Lord redeemeth the soul of his servants: And none of them that trust in him shall be desolate.
