[KJV | EN | OT | Psalms | Chapter 81 | Verse 1] Sing aloud unto God our strength: Make a joyful noise unto the God of Jacob.
[KJV | EN | OT | Psalms | Chapter 81 | Verse 2] Take a psalm, and bring hither the timbrel, The pleasant harp with the psaltery.
[KJV | EN | OT | Psalms | Chapter 81 | Verse 3] Blow up the trumpet in the new moon, In the time appointed, on our solemn feast day.
[KJV | EN | OT | Psalms | Chapter 81 | Verse 4] For this was a statute for Israel, And a law of the God of Jacob.
[KJV | EN | OT | Psalms | Chapter 81 | Verse 5] This he ordained in Joseph for a testimony, When he went out through the land of Egypt: Where I heard a language that I understood not.
[KJV | EN | OT | Psalms | Chapter 81 | Verse 6] I removed his shoulder from the burden: His hands were delivered from the pots.
[KJV | EN | OT | Psalms | Chapter 81 | Verse 7] Thou calledst in trouble, and I delivered thee; I answered thee in the secret place of thunder: I proved thee at the waters of Meribah. Selah.
[KJV | EN | OT | Psalms | Chapter 81 | Verse 8] Hear, O my people, and I will testify unto thee: O Israel, if thou wilt hearken unto me;
[KJV | EN | OT | Psalms | Chapter 81 | Verse 9] There shall no strange god be in thee; Neither shalt thou worship any strange god.
[KJV | EN | OT | Psalms | Chapter 81 | Verse 10] I am the Lord thy God, Which brought thee out of the land of Egypt: Open thy mouth wide, and I will fill it.
[KJV | EN | OT | Psalms | Chapter 81 | Verse 11] But my people would not hearken to my voice; And Israel would none of me.
[KJV | EN | OT | Psalms | Chapter 81 | Verse 12] So I gave them up unto their own heart’s lust: And they walked in their own counsels.
[KJV | EN | OT | Psalms | Chapter 81 | Verse 13] O that my people had hearkened unto me, And Israel had walked in my ways!
[KJV | EN | OT | Psalms | Chapter 81 | Verse 14] I should soon have subdued their enemies, And turned my hand against their adversaries.
[KJV | EN | OT | Psalms | Chapter 81 | Verse 15] The haters of the Lord should have submitted themselves unto him: But their time should have endured for ever.
[KJV | EN | OT | Psalms | Chapter 81 | Verse 16] He should have fed them also with the finest of the wheat: And with honey out of the rock should I have satisfied thee.
