[KJV | EN | OT | Psalms | Chapter 10 | Verse 1] (ל) Why standest thou afar off, O Lord? Why hidest thou thyself in times of trouble?
[KJV | EN | OT | Psalms | Chapter 10 | Verse 2] The wicked in his pride doth persecute the poor: Let them be taken in the devices that they have imagined.
[KJV | EN | OT | Psalms | Chapter 10 | Verse 3] For the wicked boasteth of his heart’s desire, And blesseth the covetous, whom the Lord abhorreth.
[KJV | EN | OT | Psalms | Chapter 10 | Verse 4] The wicked, through the pride of his countenance, will not seek after God: God is not in all his thoughts.
[KJV | EN | OT | Psalms | Chapter 10 | Verse 5] His ways are always grievous; Thy judgments are far above out of his sight: As for all his enemies, he puffeth at them.
[KJV | EN | OT | Psalms | Chapter 10 | Verse 6] He hath said in his heart, I shall not be moved: For I shall never be in adversity.
[KJV | EN | OT | Psalms | Chapter 10 | Verse 7] His mouth is full of cursing and deceit and fraud: Under his tongue is mischief and vanity.
[KJV | EN | OT | Psalms | Chapter 10 | Verse 8] He sitteth in the lurking places of the villages: In the secret places doth he murder the innocent: His eyes are privily set against the poor.
[KJV | EN | OT | Psalms | Chapter 10 | Verse 9] He lieth in wait secretly as a lion in his den: He lieth in wait to catch the poor: He doth catch the poor, when he draweth him into his net.
[KJV | EN | OT | Psalms | Chapter 10 | Verse 10] He croucheth, and humbleth himself, That the poor may fall by his strong ones.
[KJV | EN | OT | Psalms | Chapter 10 | Verse 11] He hath said in his heart, God hath forgotten: He hideth his face; he will never see it.
[KJV | EN | OT | Psalms | Chapter 10 | Verse 12] (ק) Arise, O Lord; O God, lift up thine hand: Forget not the humble.
[KJV | EN | OT | Psalms | Chapter 10 | Verse 13] Wherefore doth the wicked contemn God? He hath said in his heart, Thou wilt not require it.
[KJV | EN | OT | Psalms | Chapter 10 | Verse 14] (ר) Thou hast seen it; for thou beholdest mischief and spite, To requite it with thy hand: The poor committeth himself unto thee; Thou art the helper of the fatherless.
[KJV | EN | OT | Psalms | Chapter 10 | Verse 15] (ש) Break thou the arm of the wicked and the evil man: Seek out his wickedness till thou find none.
[KJV | EN | OT | Psalms | Chapter 10 | Verse 16] The Lord is King for ever and ever: The heathen are perished out of his land.
[KJV | EN | OT | Psalms | Chapter 10 | Verse 17] (ת) Lord, thou hast heard the desire of the humble: Thou wilt prepare their heart, thou wilt cause thine ear to hear:
[KJV | EN | OT | Psalms | Chapter 10 | Verse 18] To judge the fatherless and the oppressed, That the man of the earth may no more oppress.
