[KJV | EN | OT | Psalms | Chapter 60 | Verse 1] O God, thou hast cast us off, thou hast scattered us, Thou hast been displeased; O turn thyself to us again.
[KJV | EN | OT | Psalms | Chapter 60 | Verse 2] Thou hast made the earth to tremble; thou hast broken it: Heal the breaches thereof; for it shaketh.
[KJV | EN | OT | Psalms | Chapter 60 | Verse 3] Thou hast shewed thy people hard things: Thou hast made us to drink the wine of astonishment.
[KJV | EN | OT | Psalms | Chapter 60 | Verse 4] Thou hast given a banner to them that fear thee, That it may be displayed because of the truth. Selah.
[KJV | EN | OT | Psalms | Chapter 60 | Verse 5] That thy beloved may be delivered; Save with thy right hand, and hear me.
[KJV | EN | OT | Psalms | Chapter 60 | Verse 6] God hath spoken in his holiness; I will rejoice, I will divide Shechem, And mete out the valley of Succoth.
[KJV | EN | OT | Psalms | Chapter 60 | Verse 7] Gilead is mine, and Manasseh is mine; Ephraim also is the strength of mine head; Judah is my lawgiver;
[KJV | EN | OT | Psalms | Chapter 60 | Verse 8] Moab is my washpot; Over Edom will I cast out my shoe: Philistia, triumph thou because of me.
[KJV | EN | OT | Psalms | Chapter 60 | Verse 9] Who will bring me into the strong city? Who will lead me into Edom?
[KJV | EN | OT | Psalms | Chapter 60 | Verse 10] Wilt not thou, O God, which hadst cast us off? And thou, O God, which didst not go out with our armies?
[KJV | EN | OT | Psalms | Chapter 60 | Verse 11] Give us help from trouble: For vain is the help of man.
[KJV | EN | OT | Psalms | Chapter 60 | Verse 12] Through God we shall do valiantly: For he it is that shall tread down our enemies.
