[KJV | EN | OT | Psalms | Chapter 41 | Verse 1] Blessed is he that considereth the poor: The Lord will deliver him in time of trouble.
[KJV | EN | OT | Psalms | Chapter 41 | Verse 2] The Lord will preserve him, and keep him alive; And he shall be blessed upon the earth: And thou wilt not deliver him unto the will of his enemies.
[KJV | EN | OT | Psalms | Chapter 41 | Verse 3] The Lord will strengthen him upon the bed of languishing: Thou wilt make all his bed in his sickness.
[KJV | EN | OT | Psalms | Chapter 41 | Verse 4] I said, Lord, be merciful unto me: Heal my soul; for I have sinned against thee.
[KJV | EN | OT | Psalms | Chapter 41 | Verse 5] Mine enemies speak evil of me, When shall he die, and his name perish?
[KJV | EN | OT | Psalms | Chapter 41 | Verse 6] And if he come to see me, he speaketh vanity: His heart gathereth iniquity to itself; When he goeth abroad, he telleth it.
[KJV | EN | OT | Psalms | Chapter 41 | Verse 7] All that hate me whisper together against me: Against me do they devise my hurt.
[KJV | EN | OT | Psalms | Chapter 41 | Verse 8] An evil disease, say they, cleaveth fast unto him: And now that he lieth he shall rise up no more.
[KJV | EN | OT | Psalms | Chapter 41 | Verse 9] Yea, mine own familiar friend, in whom I trusted, Which did eat of my bread, Hath lift up his heel against me.
[KJV | EN | OT | Psalms | Chapter 41 | Verse 10] But thou, O Lord, be merciful unto me, And raise me up, that I may requite them.
[KJV | EN | OT | Psalms | Chapter 41 | Verse 11] By this I know that thou favourest me, Because mine enemy doth not triumph over me.
[KJV | EN | OT | Psalms | Chapter 41 | Verse 12] And as for me, thou upholdest me in mine integrity, And settest me before thy face for ever.
[KJV | EN | OT | Psalms | Chapter 41 | Verse 13] Blessed be the Lord God of Israel from everlasting, and to everlasting. Amen, and Amen.
