[KJV | EN | OT | Psalms | Chapter 83 | Verse 1] Keep not thou silence, O God: Hold not thy peace, and be not still, O God.
[KJV | EN | OT | Psalms | Chapter 83 | Verse 2] For lo, thine enemies make a tumult: And they that hate thee have lift up the head.
[KJV | EN | OT | Psalms | Chapter 83 | Verse 3] They have taken crafty counsel against thy people, And consulted against thy hidden ones.
[KJV | EN | OT | Psalms | Chapter 83 | Verse 4] They have said, Come, and let us cut them off from being a nation; That the name of Israel may be no more in remembrance.
[KJV | EN | OT | Psalms | Chapter 83 | Verse 5] For they have consulted together with one consent: They are confederate against thee:
[KJV | EN | OT | Psalms | Chapter 83 | Verse 6] The tabernacles of Edom, and the Ishmaelites; Of Moab, and the Hagarenes;
[KJV | EN | OT | Psalms | Chapter 83 | Verse 7] Gebal, and Ammon, and Amalek; The Philistines with the inhabitants of Tyre;
[KJV | EN | OT | Psalms | Chapter 83 | Verse 8] Assur also is joined with them: They have holpen the children of Lot. Selah.
[KJV | EN | OT | Psalms | Chapter 83 | Verse 9] Do unto them as unto the Midianites; As to Sisera, as to Jabin, at the brook of Kison:
[KJV | EN | OT | Psalms | Chapter 83 | Verse 10] Which perished at En-dor: They became as dung for the earth.
[KJV | EN | OT | Psalms | Chapter 83 | Verse 11] Make their nobles like Oreb, and like Zeeb: Yea, all their princes as Zebah, and as Zalmunna:
[KJV | EN | OT | Psalms | Chapter 83 | Verse 12] Who said, Let us take to ourselves The houses of God in possession.
[KJV | EN | OT | Psalms | Chapter 83 | Verse 13] O my God, make them like a wheel; As the stubble before the wind.
[KJV | EN | OT | Psalms | Chapter 83 | Verse 14] As the fire burneth a wood, And as the flame setteth the mountains on fire;
[KJV | EN | OT | Psalms | Chapter 83 | Verse 15] So persecute them with thy tempest, And make them afraid with thy storm.
[KJV | EN | OT | Psalms | Chapter 83 | Verse 16] Fill their faces with shame; That they may seek thy name, O Lord.
[KJV | EN | OT | Psalms | Chapter 83 | Verse 17] Let them be confounded and troubled for ever; Yea, let them be put to shame, and perish:
[KJV | EN | OT | Psalms | Chapter 83 | Verse 18] That men may know that thou, whose name alone is JEHOVAH, Art the most High over all the earth.
