[KJV | EN | OT | Psalms | Chapter 147 | Verse 1] Praise ye the Lord: For it is good to sing praises unto our God; For it is pleasant; and praise is comely.
[KJV | EN | OT | Psalms | Chapter 147 | Verse 2] The Lord doth build up Jerusalem: He gathereth together the outcasts of Israel.
[KJV | EN | OT | Psalms | Chapter 147 | Verse 3] He healeth the broken in heart, And bindeth up their wounds.
[KJV | EN | OT | Psalms | Chapter 147 | Verse 4] He telleth the number of the stars; He calleth them all by their names.
[KJV | EN | OT | Psalms | Chapter 147 | Verse 5] Great is our Lord, and of great power: His understanding is infinite.
[KJV | EN | OT | Psalms | Chapter 147 | Verse 6] The Lord lifteth up the meek: He casteth the wicked down to the ground.
[KJV | EN | OT | Psalms | Chapter 147 | Verse 7] Sing unto the Lord with thanksgiving; Sing praise upon the harp unto our God:
[KJV | EN | OT | Psalms | Chapter 147 | Verse 8] Who covereth the heaven with clouds, Who prepareth rain for the earth, Who maketh grass to grow upon the mountains.
[KJV | EN | OT | Psalms | Chapter 147 | Verse 9] He giveth to the beast his food, And to the young ravens which cry.
[KJV | EN | OT | Psalms | Chapter 147 | Verse 10] He delighteth not in the strength of the horse: He taketh not pleasure in the legs of a man.
[KJV | EN | OT | Psalms | Chapter 147 | Verse 11] The Lord taketh pleasure in them that fear him, In those that hope in his mercy.
[KJV | EN | OT | Psalms | Chapter 147 | Verse 12] Praise the Lord, O Jerusalem; Praise thy God, O Zion.
[KJV | EN | OT | Psalms | Chapter 147 | Verse 13] For he hath strengthened the bars of thy gates; He hath blessed thy children within thee.
[KJV | EN | OT | Psalms | Chapter 147 | Verse 14] He maketh peace in thy borders, And filleth thee with the finest of the wheat.
[KJV | EN | OT | Psalms | Chapter 147 | Verse 15] He sendeth forth his commandment upon earth: His word runneth very swiftly.
[KJV | EN | OT | Psalms | Chapter 147 | Verse 16] He giveth snow like wool: He scattereth the hoarfrost like ashes.
[KJV | EN | OT | Psalms | Chapter 147 | Verse 17] He casteth forth his ice like morsels: Who can stand before his cold?
[KJV | EN | OT | Psalms | Chapter 147 | Verse 18] He sendeth out his word, and melteth them: He causeth his wind to blow, and the waters flow.
[KJV | EN | OT | Psalms | Chapter 147 | Verse 19] He sheweth his word unto Jacob, His statutes and his judgments unto Israel.
[KJV | EN | OT | Psalms | Chapter 147 | Verse 20] He hath not dealt so with any nation: And as for his judgments, they have not known them. Praise ye the Lord.
