[KJV | EN | OT | Psalms | Chapter 56 | Verse 1] Be merciful unto me, O God: for man would swallow me up; He fighting daily oppresseth me.
[KJV | EN | OT | Psalms | Chapter 56 | Verse 2] Mine enemies would daily swallow me up: For they be many that fight against me, O thou most High.
[KJV | EN | OT | Psalms | Chapter 56 | Verse 3] What time I am afraid, I will trust in thee.
[KJV | EN | OT | Psalms | Chapter 56 | Verse 4] In God I will praise his word, In God I have put my trust; I will not fear What flesh can do unto me.
[KJV | EN | OT | Psalms | Chapter 56 | Verse 5] Every day they wrest my words: All their thoughts are against me for evil.
[KJV | EN | OT | Psalms | Chapter 56 | Verse 6] They gather themselves together, they hide themselves, They mark my steps, When they wait for my soul.
[KJV | EN | OT | Psalms | Chapter 56 | Verse 7] Shall they escape by iniquity? In thine anger cast down the people, O God.
[KJV | EN | OT | Psalms | Chapter 56 | Verse 8] Thou tellest my wanderings: Put thou my tears into thy bottle: Are they not in thy book?
[KJV | EN | OT | Psalms | Chapter 56 | Verse 9] When I cry unto thee, then shall mine enemies turn back: This I know; for God is for me.
[KJV | EN | OT | Psalms | Chapter 56 | Verse 10] In God will I praise his word: In the Lord will I praise his word.
[KJV | EN | OT | Psalms | Chapter 56 | Verse 11] In God have I put my trust: I will not be afraid What man can do unto me.
[KJV | EN | OT | Psalms | Chapter 56 | Verse 12] Thy vows are upon me, O God: I will render praises unto thee.
[KJV | EN | OT | Psalms | Chapter 56 | Verse 13] For thou hast delivered my soul from death: wilt not thou deliver my feet from falling, That I may walk before God in the light of the living?
