[KJV | EN | OT | Psalms | Chapter 92 | Verse 1] It is a good thing to give thanks unto the Lord, And to sing praises unto thy name, O most High:
[KJV | EN | OT | Psalms | Chapter 92 | Verse 2] To shew forth thy lovingkindness in the morning, And thy faithfulness every night,
[KJV | EN | OT | Psalms | Chapter 92 | Verse 3] Upon an instrument of ten strings, and upon the psaltery; Upon the harp with a solemn sound.
[KJV | EN | OT | Psalms | Chapter 92 | Verse 4] For thou, Lord, hast made me glad through thy work: I will triumph in the works of thy hands.
[KJV | EN | OT | Psalms | Chapter 92 | Verse 5] O Lord, how great are thy works! And thy thoughts are very deep.
[KJV | EN | OT | Psalms | Chapter 92 | Verse 6] A brutish man knoweth not; Neither doth a fool understand this.
[KJV | EN | OT | Psalms | Chapter 92 | Verse 7] When the wicked spring as the grass, And when all the workers of iniquity do flourish; It is that they shall be destroyed for ever:
[KJV | EN | OT | Psalms | Chapter 92 | Verse 8] But thou, Lord, art most High for evermore.
[KJV | EN | OT | Psalms | Chapter 92 | Verse 9] For lo, thine enemies, O Lord, For lo, thine enemies shall perish; All the workers of iniquity shall be scattered.
[KJV | EN | OT | Psalms | Chapter 92 | Verse 10] But my horn shalt thou exalt like the horn of an unicorn: I shall be anointed with fresh oil.
[KJV | EN | OT | Psalms | Chapter 92 | Verse 11] Mine eye also shall see my desire on mine enemies, And mine ears shall hear my desire of the wicked that rise up against me.
[KJV | EN | OT | Psalms | Chapter 92 | Verse 12] The righteous shall flourish like the palm tree: He shall grow like a cedar in Lebanon.
[KJV | EN | OT | Psalms | Chapter 92 | Verse 13] Those that be planted in the house of the Lord Shall flourish in the courts of our God.
[KJV | EN | OT | Psalms | Chapter 92 | Verse 14] They shall still bring forth fruit in old age; They shall be fat and flourishing;
[KJV | EN | OT | Psalms | Chapter 92 | Verse 15] To shew that the Lord is upright: He is my rock, and there is no unrighteousness in him.
