[KJV | EN | OT | Psalms | Chapter 105 | Verse 1] O give thanks unto the Lord; call upon his name: Make known his deeds among the people.
[KJV | EN | OT | Psalms | Chapter 105 | Verse 2] Sing unto him, sing psalms unto him: Talk ye of all his wondrous works.
[KJV | EN | OT | Psalms | Chapter 105 | Verse 3] Glory ye in his holy name: Let the heart of them rejoice that seek the Lord.
[KJV | EN | OT | Psalms | Chapter 105 | Verse 4] Seek the Lord, and his strength: Seek his face evermore.
[KJV | EN | OT | Psalms | Chapter 105 | Verse 5] Remember his marvellous works that he hath done; His wonders, and the judgments of his mouth;
[KJV | EN | OT | Psalms | Chapter 105 | Verse 6] O ye seed of Abraham his servant, Ye children of Jacob, his chosen.
[KJV | EN | OT | Psalms | Chapter 105 | Verse 7] He is the Lord our God: His judgments are in all the earth.
[KJV | EN | OT | Psalms | Chapter 105 | Verse 8] He hath remembered his covenant for ever, The word which he commanded to a thousand generations.
[KJV | EN | OT | Psalms | Chapter 105 | Verse 9] Which covenant he made with Abraham, And his oath unto Isaac;
[KJV | EN | OT | Psalms | Chapter 105 | Verse 10] And confirmed the same unto Jacob for a law, And to Israel for an everlasting covenant:
[KJV | EN | OT | Psalms | Chapter 105 | Verse 11] Saying, Unto thee will I give the land of Canaan, The lot of your inheritance:
[KJV | EN | OT | Psalms | Chapter 105 | Verse 12] When they were but a few men in number; Yea, very few, and strangers in it.
[KJV | EN | OT | Psalms | Chapter 105 | Verse 13] When they went from one nation to another, From one kingdom to another people;
[KJV | EN | OT | Psalms | Chapter 105 | Verse 14] He suffered no man to do them wrong: Yea, he reproved kings for their sakes;
[KJV | EN | OT | Psalms | Chapter 105 | Verse 15] Saying, Touch not mine anointed, And do my prophets no harm.
[KJV | EN | OT | Psalms | Chapter 105 | Verse 16] Moreover, he called for a famine upon the land: He brake the whole staff of bread.
[KJV | EN | OT | Psalms | Chapter 105 | Verse 17] He sent a man before them, Even Joseph, who was sold for a servant:
[KJV | EN | OT | Psalms | Chapter 105 | Verse 18] Whose feet they hurt with fetters: He was laid in iron:
[KJV | EN | OT | Psalms | Chapter 105 | Verse 19] Until the time that his word came: The word of the Lord tried him.
[KJV | EN | OT | Psalms | Chapter 105 | Verse 20] The king sent and loosed him; Even the ruler of the people, and let him go free.
[KJV | EN | OT | Psalms | Chapter 105 | Verse 21] He made him lord of his house, And ruler of all his substance:
[KJV | EN | OT | Psalms | Chapter 105 | Verse 22] To bind his princes at his pleasure; And teach his senators wisdom.
[KJV | EN | OT | Psalms | Chapter 105 | Verse 23] Israel also came into Egypt; And Jacob sojourned in the land of Ham.
[KJV | EN | OT | Psalms | Chapter 105 | Verse 24] And he increased his people greatly; And made them stronger than their enemies.
[KJV | EN | OT | Psalms | Chapter 105 | Verse 25] He turned their heart to hate his people, To deal subtilly with his servants.
[KJV | EN | OT | Psalms | Chapter 105 | Verse 26] He sent Moses his servant; And Aaron whom he had chosen.
[KJV | EN | OT | Psalms | Chapter 105 | Verse 27] They shewed his signs among them, And wonders in the land of Ham.
[KJV | EN | OT | Psalms | Chapter 105 | Verse 28] He sent darkness, and made it dark; And they rebelled not against his word.
[KJV | EN | OT | Psalms | Chapter 105 | Verse 29] He turned their waters into blood, And slew their fish.
[KJV | EN | OT | Psalms | Chapter 105 | Verse 30] Their land brought forth frogs in abundance, In the chambers of their kings.
[KJV | EN | OT | Psalms | Chapter 105 | Verse 31] He spake, and there came divers sorts of flies, And lice in all their coasts.
[KJV | EN | OT | Psalms | Chapter 105 | Verse 32] He gave them hail for rain, And flaming fire in their land.
[KJV | EN | OT | Psalms | Chapter 105 | Verse 33] He smote their vines also and their fig trees; And brake the trees of their coasts.
[KJV | EN | OT | Psalms | Chapter 105 | Verse 34] He spake, and the locusts came, And caterpillars, and that without number,
[KJV | EN | OT | Psalms | Chapter 105 | Verse 35] And did eat up all the herbs in their land, And devoured the fruit of their ground.
[KJV | EN | OT | Psalms | Chapter 105 | Verse 36] He smote also all the first-born in their land, The chief of all their strength.
[KJV | EN | OT | Psalms | Chapter 105 | Verse 37] He brought them forth also with silver and gold: And there was not one feeble person among their tribes.
[KJV | EN | OT | Psalms | Chapter 105 | Verse 38] Egypt was glad when they departed: For the fear of them that fell upon them.
[KJV | EN | OT | Psalms | Chapter 105 | Verse 39] He spread a cloud for a covering; And fire to give light in the night.
[KJV | EN | OT | Psalms | Chapter 105 | Verse 40] The people asked, and he brought quails, And satisfied them with the bread of heaven.
[KJV | EN | OT | Psalms | Chapter 105 | Verse 41] He opened the rock, and the waters gushed out; They ran in the dry places like a river.
[KJV | EN | OT | Psalms | Chapter 105 | Verse 42] For he remembered his holy promise, And Abraham his servant.
[KJV | EN | OT | Psalms | Chapter 105 | Verse 43] And he brought forth his people with joy, And his chosen with gladness:
[KJV | EN | OT | Psalms | Chapter 105 | Verse 44] And gave them the lands of the heathen: And they inherited the labour of the people;
[KJV | EN | OT | Psalms | Chapter 105 | Verse 45] That they might observe his statutes, And keep his laws. Praise ye the Lord.
