[KJV | EN | OT | Psalms | Chapter 88 | Verse 1] O Lord God of my salvation, I have cried day and night before thee:
[KJV | EN | OT | Psalms | Chapter 88 | Verse 2] Let my prayer come before thee: Incline thine ear unto my cry;
[KJV | EN | OT | Psalms | Chapter 88 | Verse 3] For my soul is full of troubles: And my life draweth nigh unto the grave.
[KJV | EN | OT | Psalms | Chapter 88 | Verse 4] I am counted with them that go down into the pit: I am as a man that hath no strength:
[KJV | EN | OT | Psalms | Chapter 88 | Verse 5] Free among the dead, Like the slain that lie in the grave, Whom thou rememberest no more: And they are cut off from thy hand.
[KJV | EN | OT | Psalms | Chapter 88 | Verse 6] Thou hast laid me in the lowest pit, In darkness, in the deeps.
[KJV | EN | OT | Psalms | Chapter 88 | Verse 7] Thy wrath lieth hard upon me, And thou hast afflicted me with all thy waves. Selah.
[KJV | EN | OT | Psalms | Chapter 88 | Verse 8] Thou hast put away mine acquaintance far from me; Thou hast made me an abomination unto them: I am shut up, and I cannot come forth.
[KJV | EN | OT | Psalms | Chapter 88 | Verse 9] Mine eye mourneth by reason of affliction: Lord, I have called daily upon thee, I have stretched out my hands unto thee.
[KJV | EN | OT | Psalms | Chapter 88 | Verse 10] Wilt thou shew wonders to the dead? Shall the dead arise and praise thee? Selah.
[KJV | EN | OT | Psalms | Chapter 88 | Verse 11] Shall thy lovingkindness be declared in the grave? Or thy faithfulness in destruction?
[KJV | EN | OT | Psalms | Chapter 88 | Verse 12] Shall thy wonders be known in the dark? And thy righteousness in the land of forgetfulness?
[KJV | EN | OT | Psalms | Chapter 88 | Verse 13] But unto thee have I cried, O Lord; And in the morning shall my prayer prevent thee.
[KJV | EN | OT | Psalms | Chapter 88 | Verse 14] Lord, why castest thou off my soul? Why hidest thou thy face from me?
[KJV | EN | OT | Psalms | Chapter 88 | Verse 15] I am afflicted and ready to die from my youth up: While I suffer thy terrors I am distracted.
[KJV | EN | OT | Psalms | Chapter 88 | Verse 16] Thy fierce wrath goeth over me; Thy terrors have cut me off.
[KJV | EN | OT | Psalms | Chapter 88 | Verse 17] They came round about me daily like water; They compassed me about together.
[KJV | EN | OT | Psalms | Chapter 88 | Verse 18] Lover and friend hast thou put far from me, And mine acquaintance into darkness.
