[KJV | EN | OT | Psalms | Chapter 31 | Verse 1] In thee, O Lord, do I put my trust; Let me never be ashamed: Deliver me in thy righteousness.
[KJV | EN | OT | Psalms | Chapter 31 | Verse 2] Bow down thine ear to me; deliver me speedily: Be thou my strong rock, For a house of defence to save me.
[KJV | EN | OT | Psalms | Chapter 31 | Verse 3] For thou art my rock and my fortress; Therefore for thy name’s sake lead me, and guide me.
[KJV | EN | OT | Psalms | Chapter 31 | Verse 4] Pull me out of the net that they have laid privily for me: For thou art my strength.
[KJV | EN | OT | Psalms | Chapter 31 | Verse 5] Into thine hand I commit my spirit: Thou hast redeemed me, O Lord God of truth.
[KJV | EN | OT | Psalms | Chapter 31 | Verse 6] I have hated them that regard lying vanities: But I trust in the Lord.
[KJV | EN | OT | Psalms | Chapter 31 | Verse 7] I will be glad and rejoice in thy mercy: For thou hast considered my trouble; Thou hast known my soul in adversities;
[KJV | EN | OT | Psalms | Chapter 31 | Verse 8] And hast not shut me up into the hand of the enemy: Thou hast set my feet in a large room.
[KJV | EN | OT | Psalms | Chapter 31 | Verse 9] Have mercy upon me, O Lord, for I am in trouble: Mine eye is consumed with grief, yea, my soul and my belly.
[KJV | EN | OT | Psalms | Chapter 31 | Verse 10] For my life is spent with grief, and my years with sighing: My strength faileth because of mine iniquity, and my bones are consumed.
[KJV | EN | OT | Psalms | Chapter 31 | Verse 11] I was a reproach among all mine enemies, But especially among my neighbours, and a fear to mine acquaintance: They that did see me without fled from me.
[KJV | EN | OT | Psalms | Chapter 31 | Verse 12] I am forgotten as a dead man out of mind: I am like a broken vessel.
[KJV | EN | OT | Psalms | Chapter 31 | Verse 13] For I have heard the slander of many: Fear was on every side: While they took counsel together against me, They devised to take away my life.
[KJV | EN | OT | Psalms | Chapter 31 | Verse 14] But I trusted in thee, O Lord: I said, Thou art my God.
[KJV | EN | OT | Psalms | Chapter 31 | Verse 15] My times are in thy hand: Deliver me from the hand of mine enemies, and from them that persecute me.
[KJV | EN | OT | Psalms | Chapter 31 | Verse 16] Make thy face to shine upon thy servant: Save me for thy mercy’s sake.
[KJV | EN | OT | Psalms | Chapter 31 | Verse 17] Let me not be ashamed, O Lord; for I have called upon thee: Let the wicked be ashamed, and let them be silent in the grave.
[KJV | EN | OT | Psalms | Chapter 31 | Verse 18] Let the lying lips be put to silence; Which speak grievous things proudly and contemptuously against the righteous.
[KJV | EN | OT | Psalms | Chapter 31 | Verse 19] O how great is thy goodness, which thou hast laid up for them that fear thee; Which thou hast wrought for them that trust in thee Before the sons of men!
[KJV | EN | OT | Psalms | Chapter 31 | Verse 20] Thou shalt hide them in the secret of thy presence from the pride of man: Thou shalt keep them secretly in a pavilion from the strife of tongues.
[KJV | EN | OT | Psalms | Chapter 31 | Verse 21] Blessed be the Lord: for he hath shewed me his marvellous kindness in a strong city.
[KJV | EN | OT | Psalms | Chapter 31 | Verse 22] For I said in my haste, I am cut off from before thine eyes: Nevertheless thou heardest the voice of my supplications when I cried unto thee.
[KJV | EN | OT | Psalms | Chapter 31 | Verse 23] O love the Lord, all ye his saints: For the Lord preserveth the faithful, And plentifully rewardeth the proud doer.
[KJV | EN | OT | Psalms | Chapter 31 | Verse 24] Be of good courage, and he shall strengthen your heart, All ye that hope in the Lord.
