[KJV | EN | OT | Psalms | Chapter 119 | Verse 1] (א) Blessed are the undefiled in the way, Who walk in the law of the Lord.
[KJV | EN | OT | Psalms | Chapter 119 | Verse 2] (א) Blessed are they that keep his testimonies, And that seek him with the whole heart.
[KJV | EN | OT | Psalms | Chapter 119 | Verse 3] (א) They also do no iniquity: They walk in his ways.
[KJV | EN | OT | Psalms | Chapter 119 | Verse 4] (א) Thou hast commanded us To keep thy precepts diligently.
[KJV | EN | OT | Psalms | Chapter 119 | Verse 5] (א) O that my ways were directed To keep thy statutes!
[KJV | EN | OT | Psalms | Chapter 119 | Verse 6] (א) Then shall I not be ashamed, When I have respect unto all thy commandments.
[KJV | EN | OT | Psalms | Chapter 119 | Verse 7] (א) I will praise thee with uprightness of heart, When I shall have learned thy righteous judgments.
[KJV | EN | OT | Psalms | Chapter 119 | Verse 8] (א) I will keep thy statutes: O forsake me not utterly. BETH.
[KJV | EN | OT | Psalms | Chapter 119 | Verse 9] (ב) Wherewithal shall a young man cleanse his way? By taking heed thereto according to thy word.
[KJV | EN | OT | Psalms | Chapter 119 | Verse 10] (ב) With my whole heart have I sought thee: O let me not wander from thy commandments.
[KJV | EN | OT | Psalms | Chapter 119 | Verse 11] (ב) Thy word have I hid in mine heart, That I might not sin against thee.
[KJV | EN | OT | Psalms | Chapter 119 | Verse 12] (ב) Blessed art thou, O Lord: Teach me thy statutes.
[KJV | EN | OT | Psalms | Chapter 119 | Verse 13] (ב) With my lips have I declared All the judgments of thy mouth.
[KJV | EN | OT | Psalms | Chapter 119 | Verse 14] (ב) I have rejoiced in the way of thy testimonies, As much as in all riches.
[KJV | EN | OT | Psalms | Chapter 119 | Verse 15] (ב) I will meditate in thy precepts, And have respect unto thy ways.
[KJV | EN | OT | Psalms | Chapter 119 | Verse 16] (ב) I will delight myself in thy statutes: I will not forget thy word. GIMEL.
[KJV | EN | OT | Psalms | Chapter 119 | Verse 17] (ג) Deal bountifully with thy servant, that I may live, And keep thy word.
[KJV | EN | OT | Psalms | Chapter 119 | Verse 18] (ג) Open thou mine eyes, That I may behold wondrous things out of thy law.
[KJV | EN | OT | Psalms | Chapter 119 | Verse 19] (ג) I am a stranger in the earth: Hide not thy commandments from me.
[KJV | EN | OT | Psalms | Chapter 119 | Verse 20] (ג) My soul breaketh for the longing That it hath unto thy judgments at all times.
[KJV | EN | OT | Psalms | Chapter 119 | Verse 21] (ג) Thou hast rebuked the proud that are cursed, Which do err from thy commandments.
[KJV | EN | OT | Psalms | Chapter 119 | Verse 22] (ג) Remove from me reproach and contempt; For I have kept thy testimonies.
[KJV | EN | OT | Psalms | Chapter 119 | Verse 23] (ג) Princes also did sit and speak against me: But thy servant did meditate in thy statutes.
[KJV | EN | OT | Psalms | Chapter 119 | Verse 24] (ג) Thy testimonies also are my delight And my counsellers. DALETH.
[KJV | EN | OT | Psalms | Chapter 119 | Verse 25] (ד) My soul cleaveth unto the dust: Quicken thou me according to thy word.
[KJV | EN | OT | Psalms | Chapter 119 | Verse 26] (ד) I have declared my ways, and thou heardest me: Teach me thy statutes.
[KJV | EN | OT | Psalms | Chapter 119 | Verse 27] (ד) Make me to understand the way of thy precepts: So shall I talk of thy wondrous works.
[KJV | EN | OT | Psalms | Chapter 119 | Verse 28] (ד) My soul melteth for heaviness: Strengthen thou me according unto thy word.
[KJV | EN | OT | Psalms | Chapter 119 | Verse 29] (ד) Remove from me the way of lying: And grant me thy law graciously.
[KJV | EN | OT | Psalms | Chapter 119 | Verse 30] (ד) I have chosen the way of truth: Thy judgments have I laid before me.
[KJV | EN | OT | Psalms | Chapter 119 | Verse 31] (ד) I have stuck unto thy testimonies: O Lord, put me not to shame.
[KJV | EN | OT | Psalms | Chapter 119 | Verse 32] (ד) I will run the way of thy commandments, When thou shalt enlarge my heart. HE.
[KJV | EN | OT | Psalms | Chapter 119 | Verse 33] (ה) Teach me, O Lord, the way of thy statutes; And I shall keep it unto the end.
[KJV | EN | OT | Psalms | Chapter 119 | Verse 34] (ה) Give me understanding, and I shall keep thy law; Yea, I shall observe it with my whole heart.
[KJV | EN | OT | Psalms | Chapter 119 | Verse 35] (ה) Make me to go in the path of thy commandments; For therein do I delight.
[KJV | EN | OT | Psalms | Chapter 119 | Verse 36] (ה) Incline my heart unto thy testimonies, And not to covetousness.
[KJV | EN | OT | Psalms | Chapter 119 | Verse 37] (ה) Turn away mine eyes from beholding vanity; And quicken thou me in thy way.
[KJV | EN | OT | Psalms | Chapter 119 | Verse 38] (ה) Stablish thy word unto thy servant, Who is devoted to thy fear.
[KJV | EN | OT | Psalms | Chapter 119 | Verse 39] (ה) Turn away my reproach which I fear: For thy judgments are good.
[KJV | EN | OT | Psalms | Chapter 119 | Verse 40] (ה) Behold, I have longed after thy precepts: Quicken me in thy righteousness. VAU.
[KJV | EN | OT | Psalms | Chapter 119 | Verse 41] (ו) Let thy mercies come also unto me, O Lord, Even thy salvation, according to thy word.
[KJV | EN | OT | Psalms | Chapter 119 | Verse 42] (ו) So shall I have wherewith to answer him that reproacheth me: For I trust in thy word.
[KJV | EN | OT | Psalms | Chapter 119 | Verse 43] (ו) And take not the word of truth utterly out of my mouth; For I have hoped in thy judgments.
[KJV | EN | OT | Psalms | Chapter 119 | Verse 44] (ו) So shall I keep thy law continually For ever and ever.
[KJV | EN | OT | Psalms | Chapter 119 | Verse 45] (ו) And I will walk at liberty: For I seek thy precepts.
[KJV | EN | OT | Psalms | Chapter 119 | Verse 46] (ו) I will speak of thy testimonies also before kings, And will not be ashamed.
[KJV | EN | OT | Psalms | Chapter 119 | Verse 47] (ו) And I will delight myself in thy commandments, Which I have loved.
