[KJV | EN | OT | Psalms | Chapter 74 | Verse 1] O God, why hast thou cast us off for ever? Why doth thine anger smoke against the sheep of thy pasture?
[KJV | EN | OT | Psalms | Chapter 74 | Verse 2] Remember thy congregation, which thou hast purchased of old; The rod of thine inheritance, which thou hast redeemed; This mount Zion, wherein thou hast dwelt.
[KJV | EN | OT | Psalms | Chapter 74 | Verse 3] Lift up thy feet unto the perpetual desolations; Even all that the enemy hath done wickedly in the sanctuary.
[KJV | EN | OT | Psalms | Chapter 74 | Verse 4] Thine enemies roar in the midst of thy congregations; They set up their ensigns for signs.
[KJV | EN | OT | Psalms | Chapter 74 | Verse 5] A man was famous according as he had lifted up Axes upon the thick trees.
[KJV | EN | OT | Psalms | Chapter 74 | Verse 6] But now they break down the carved work thereof At once with axes and hammers.
[KJV | EN | OT | Psalms | Chapter 74 | Verse 7] They have cast fire into thy sanctuary, They have defiled by casting down the dwelling place of thy name to the ground.
[KJV | EN | OT | Psalms | Chapter 74 | Verse 8] They said in their hearts, Let us destroy them together: They have burnt up all the synagogues of God in the land.
[KJV | EN | OT | Psalms | Chapter 74 | Verse 9] We see not our signs: There is no more any prophet: Neither is there among us any that knoweth how long.
[KJV | EN | OT | Psalms | Chapter 74 | Verse 10] O God, how long shall the adversary reproach? Shall the enemy blaspheme thy name for ever?
[KJV | EN | OT | Psalms | Chapter 74 | Verse 11] Why withdrawest thou thy hand, even thy right hand? Pluck it out of thy bosom.
[KJV | EN | OT | Psalms | Chapter 74 | Verse 12] For God is my King of old, Working salvation in the midst of the earth.
[KJV | EN | OT | Psalms | Chapter 74 | Verse 13] Thou didst divide the sea by thy strength: Thou brakest the heads of the dragons in the waters.
[KJV | EN | OT | Psalms | Chapter 74 | Verse 14] Thou brakest the heads of leviathan in pieces, And gavest him to be meat to the people inhabiting the wilderness.
[KJV | EN | OT | Psalms | Chapter 74 | Verse 15] Thou didst cleave the fountain and the flood: Thou driedst up mighty rivers.
[KJV | EN | OT | Psalms | Chapter 74 | Verse 16] The day is thine, the night also is thine: Thou hast prepared the light and the sun.
[KJV | EN | OT | Psalms | Chapter 74 | Verse 17] Thou hast set all the borders of the earth: Thou hast made summer and winter.
[KJV | EN | OT | Psalms | Chapter 74 | Verse 18] Remember this, that the enemy hath reproached, O Lord, And that the foolish people have blasphemed thy name.
[KJV | EN | OT | Psalms | Chapter 74 | Verse 19] O deliver not the soul of thy turtledove unto the multitude of the wicked: Forget not the congregation of thy poor for ever.
[KJV | EN | OT | Psalms | Chapter 74 | Verse 20] Have respect unto the covenant: For the dark places of the earth are full of the habitations of cruelty.
[KJV | EN | OT | Psalms | Chapter 74 | Verse 21] O let not the oppressed return ashamed: Let the poor and needy praise thy name.
[KJV | EN | OT | Psalms | Chapter 74 | Verse 22] Arise, O God, plead thine own cause: Remember how the foolish man reproacheth thee daily.
[KJV | EN | OT | Psalms | Chapter 74 | Verse 23] Forget not the voice of thine enemies: The tumult of those that rise up against thee increaseth continually.
