[KJV | EN | OT | Psalms | Chapter 148 | Verse 1] Praise ye the Lord. Praise ye the Lord from the heavens: Praise him in the heights.
[KJV | EN | OT | Psalms | Chapter 148 | Verse 2] Praise ye him, all his angels: Praise ye him, all his hosts.
[KJV | EN | OT | Psalms | Chapter 148 | Verse 3] Praise ye him, sun and moon: Praise him, all ye stars of light.
[KJV | EN | OT | Psalms | Chapter 148 | Verse 4] Praise him, ye heavens of heavens, And ye waters that be above the heavens.
[KJV | EN | OT | Psalms | Chapter 148 | Verse 5] Let them praise the name of the Lord: For he commanded, and they were created.
[KJV | EN | OT | Psalms | Chapter 148 | Verse 6] He hath also stablished them for ever and ever: He hath made a decree which shall not pass.
[KJV | EN | OT | Psalms | Chapter 148 | Verse 7] Praise the Lord from the earth, Ye dragons, and all deeps:
[KJV | EN | OT | Psalms | Chapter 148 | Verse 8] Fire, and hail; snow, and vapour; Stormy wind fulfilling his word:
[KJV | EN | OT | Psalms | Chapter 148 | Verse 9] Mountains, and all hills; Fruitful trees, and all cedars:
[KJV | EN | OT | Psalms | Chapter 148 | Verse 10] Beasts, and all cattle; Creeping things, and flying fowl:
[KJV | EN | OT | Psalms | Chapter 148 | Verse 11] Kings of the earth, and all people; Princes, and all judges of the earth:
[KJV | EN | OT | Psalms | Chapter 148 | Verse 12] Both young men, and maidens; Old men, and children:
[KJV | EN | OT | Psalms | Chapter 148 | Verse 13] Let them praise the name of the Lord: For his name alone is excellent; His glory is above the earth and heaven.
[KJV | EN | OT | Psalms | Chapter 148 | Verse 14] He also exalteth the horn of his people, The praise of all his saints; Even of the children of Israel, a people near unto him. Praise ye the Lord.
