[KJV | EN | OT | Psalms | Chapter 78 | Verse 1] Give ear, O my people, to my law: Incline your ears to the words of my mouth.
[KJV | EN | OT | Psalms | Chapter 78 | Verse 2] I will open my mouth in a parable: I will utter dark sayings of old:
[KJV | EN | OT | Psalms | Chapter 78 | Verse 3] Which we have heard and known, And our fathers have told us.
[KJV | EN | OT | Psalms | Chapter 78 | Verse 4] We will not hide them from their children, Shewing to the generation to come The praises of the Lord, and his strength, And his wonderful works that he hath done.
[KJV | EN | OT | Psalms | Chapter 78 | Verse 5] For he established a testimony in Jacob, And appointed a law in Israel, Which he commanded our fathers, That they should make them known to their children:
[KJV | EN | OT | Psalms | Chapter 78 | Verse 6] That the generation to come might know them, even the children which should be born; Who should arise and declare them to their children:
[KJV | EN | OT | Psalms | Chapter 78 | Verse 7] That they might set their hope in God, And not forget the works of God, But keep his commandments:
[KJV | EN | OT | Psalms | Chapter 78 | Verse 8] And might not be as their fathers, A stubborn and rebellious generation; A generation that set not their heart aright, And whose spirit was not stedfast with God.
[KJV | EN | OT | Psalms | Chapter 78 | Verse 9] The children of Ephraim, being armed, and carrying bows, Turned back in the day of battle.
[KJV | EN | OT | Psalms | Chapter 78 | Verse 10] They kept not the covenant of God, And refused to walk in his law;
[KJV | EN | OT | Psalms | Chapter 78 | Verse 11] And forgat his works, And his wonders that he had shewed them.
[KJV | EN | OT | Psalms | Chapter 78 | Verse 12] Marvellous things did he in the sight of their fathers, In the land of Egypt, in the field of Zoan.
[KJV | EN | OT | Psalms | Chapter 78 | Verse 13] He divided the sea, and caused them to pass through; And he made the waters to stand as a heap.
[KJV | EN | OT | Psalms | Chapter 78 | Verse 14] In the daytime also he led them with a cloud, And all the night with a light of fire.
[KJV | EN | OT | Psalms | Chapter 78 | Verse 15] He clave the rocks in the wilderness, And gave them drink as out of the great depths.
[KJV | EN | OT | Psalms | Chapter 78 | Verse 16] He brought streams also out of the rock, And caused waters to run down like rivers.
[KJV | EN | OT | Psalms | Chapter 78 | Verse 17] And they sinned yet more against him By provoking the most High in the wilderness.
[KJV | EN | OT | Psalms | Chapter 78 | Verse 18] And they tempted God in their heart By asking meat for their lust.
[KJV | EN | OT | Psalms | Chapter 78 | Verse 19] Yea, they spake against God; they said, Can God furnish a table in the wilderness?
[KJV | EN | OT | Psalms | Chapter 78 | Verse 20] Behold, he smote the rock, that the waters gushed out, And the streams overflowed; Can he give bread also? Can he provide flesh for his people?
[KJV | EN | OT | Psalms | Chapter 78 | Verse 21] Therefore the Lord heard this, and was wroth: So a fire was kindled against Jacob, And anger also came up against Israel;
[KJV | EN | OT | Psalms | Chapter 78 | Verse 22] Because they believed not in God, And trusted not in his salvation:
[KJV | EN | OT | Psalms | Chapter 78 | Verse 23] Though he had commanded the clouds from above, And opened the doors of heaven,
[KJV | EN | OT | Psalms | Chapter 78 | Verse 24] And had rained down manna upon them to eat, And had given them of the corn of heaven.
[KJV | EN | OT | Psalms | Chapter 78 | Verse 25] Man did eat angels’ food: He sent them meat to the full.
[KJV | EN | OT | Psalms | Chapter 78 | Verse 26] He caused an east wind to blow in the heaven: And by his power he brought in the south wind.
