[KJV | EN | OT | Psalms | Chapter 25 | Verse 1] (א) Unto thee, O Lord, do I lift up my soul.
[KJV | EN | OT | Psalms | Chapter 25 | Verse 2] O my God, (ב) I trust in thee: let me not be ashamed, Let not mine enemies triumph over me.
[KJV | EN | OT | Psalms | Chapter 25 | Verse 3] (ג) Yea, let none that wait on thee be ashamed: Let them be ashamed which transgress without cause.
[KJV | EN | OT | Psalms | Chapter 25 | Verse 4] (ד) Shew me thy ways, O Lord; Teach me thy paths.
[KJV | EN | OT | Psalms | Chapter 25 | Verse 5] (ה) Lead me in thy truth, and teach me: For thou art the God of my salvation; On thee do I wait all the day.
[KJV | EN | OT | Psalms | Chapter 25 | Verse 6] (ז) Remember, O Lord, thy tender mercies and thy lovingkindnesses; For they have been ever of old.
[KJV | EN | OT | Psalms | Chapter 25 | Verse 7] (ח) Remember not the sins of my youth, nor my transgressions: According to thy mercy remember thou me For thy goodness’ sake, O Lord.
[KJV | EN | OT | Psalms | Chapter 25 | Verse 8] (ט) Good and upright is the Lord: Therefore will he teach sinners in the way.
[KJV | EN | OT | Psalms | Chapter 25 | Verse 9] (י) The meek will he guide in judgment: And the meek will he teach his way.
[KJV | EN | OT | Psalms | Chapter 25 | Verse 10] (כ) All the paths of the Lord are mercy and truth Unto such as keep his covenant and his testimonies.
[KJV | EN | OT | Psalms | Chapter 25 | Verse 11] (ל) For thy name’s sake, O Lord, Pardon mine iniquity; for it is great.
[KJV | EN | OT | Psalms | Chapter 25 | Verse 12] (מ) What man is he that feareth the Lord? Him shall he teach in the way that he shall choose.
[KJV | EN | OT | Psalms | Chapter 25 | Verse 13] (נ) His soul shall dwell at ease; And his seed shall inherit the earth.
[KJV | EN | OT | Psalms | Chapter 25 | Verse 14] (ס) The secret of the Lord is with them that fear him; And he will shew them his covenant.
[KJV | EN | OT | Psalms | Chapter 25 | Verse 15] (ע) Mine eyes are ever towards the Lord; For he shall pluck my feet out of the net.
[KJV | EN | OT | Psalms | Chapter 25 | Verse 16] (פ) Turn thee unto me, and have mercy upon me; For I am desolate and afflicted.
[KJV | EN | OT | Psalms | Chapter 25 | Verse 17] (צ) The troubles of my heart are enlarged: O bring thou me out of my distresses.
[KJV | EN | OT | Psalms | Chapter 25 | Verse 18] (ר) Look upon mine affliction and my pain; And forgive all my sins.
[KJV | EN | OT | Psalms | Chapter 25 | Verse 19] (ר) Consider mine enemies; for they are many; And they hate me with cruel hatred.
[KJV | EN | OT | Psalms | Chapter 25 | Verse 20] (ש) O keep my soul, and deliver me: Let me not be ashamed; for I put my trust in thee.
[KJV | EN | OT | Psalms | Chapter 25 | Verse 21] (ת) Let integrity and uprightness preserve me; For I wait on thee.
[KJV | EN | OT | Psalms | Chapter 25 | Verse 22] (פ) Redeem Israel, O God, out of all his troubles.
