[KJV | EN | OT | Psalms | Chapter 140 | Verse 1] Deliver me, O Lord, from the evil man: Preserve me from the violent man;
[KJV | EN | OT | Psalms | Chapter 140 | Verse 2] Which imagine mischiefs in their heart; Continually are they gathered together for war.
[KJV | EN | OT | Psalms | Chapter 140 | Verse 3] They have sharpened their tongues like a serpent; Adder’s poison is under their lips. Selah.
[KJV | EN | OT | Psalms | Chapter 140 | Verse 4] Keep me, O Lord, from the hands of the wicked; Preserve me from the violent man; Who have purposed to overthrow my goings.
[KJV | EN | OT | Psalms | Chapter 140 | Verse 5] The proud have hid a snare for me, and cords; They have spread a net by the way side; They have set grins for me. Selah.
[KJV | EN | OT | Psalms | Chapter 140 | Verse 6] I said unto the Lord, Thou art my God: Hear the voice of my supplications, O Lord.
[KJV | EN | OT | Psalms | Chapter 140 | Verse 7] O God the Lord, the strength of my salvation, Thou hast covered my head in the day of battle.
[KJV | EN | OT | Psalms | Chapter 140 | Verse 8] Grant not, O Lord, the desires of the wicked: Further not his wicked device; Lest they exalt themselves. Selah.
[KJV | EN | OT | Psalms | Chapter 140 | Verse 9] As for the head of those that compass me about, Let the mischief of their own lips cover them.
[KJV | EN | OT | Psalms | Chapter 140 | Verse 10] Let burning coals fall upon them: Let them be cast into the fire; Into deep pits, that they rise not up again.
[KJV | EN | OT | Psalms | Chapter 140 | Verse 11] Let not an evil speaker be established in the earth: Evil shall hunt the violent man to overthrow him.
[KJV | EN | OT | Psalms | Chapter 140 | Verse 12] I know that the Lord will maintain the cause of the afflicted, And the right of the poor.
[KJV | EN | OT | Psalms | Chapter 140 | Verse 13] Surely the righteous shall give thanks unto thy name: The upright shall dwell in thy presence.
