[KJV | EN | OT | Psalms | Chapter 103 | Verse 1] Bless the Lord, O my soul: And all that is within me, bless his holy name.
[KJV | EN | OT | Psalms | Chapter 103 | Verse 2] Bless the Lord, O my soul, And forget not all his benefits:
[KJV | EN | OT | Psalms | Chapter 103 | Verse 3] Who forgiveth all thine iniquities; Who healeth all thy diseases;
[KJV | EN | OT | Psalms | Chapter 103 | Verse 4] Who redeemeth thy life from destruction; Who crowneth thee with lovingkindness and tender mercies;
[KJV | EN | OT | Psalms | Chapter 103 | Verse 5] Who satisfieth thy mouth with good things; So that thy youth is renewed like the eagle’s.
[KJV | EN | OT | Psalms | Chapter 103 | Verse 6] The Lord executeth righteousness And judgment for all that are oppressed.
[KJV | EN | OT | Psalms | Chapter 103 | Verse 7] He made known his ways unto Moses, His acts unto the children of Israel.
[KJV | EN | OT | Psalms | Chapter 103 | Verse 8] The Lord is merciful and gracious, Slow to anger, and plenteous in mercy.
[KJV | EN | OT | Psalms | Chapter 103 | Verse 9] He will not always chide: Neither will he keep his anger for ever.
[KJV | EN | OT | Psalms | Chapter 103 | Verse 10] He hath not dealt with us after our sins; Nor rewarded us according to our iniquities.
[KJV | EN | OT | Psalms | Chapter 103 | Verse 11] For as the heaven is high above the earth, So great is his mercy toward them that fear him.
[KJV | EN | OT | Psalms | Chapter 103 | Verse 12] As far as the east is from the west, So far hath he removed our transgressions from us.
[KJV | EN | OT | Psalms | Chapter 103 | Verse 13] Like as a father pitieth his children, So the Lord pitieth them that fear him.
[KJV | EN | OT | Psalms | Chapter 103 | Verse 14] For he knoweth our frame; He remembereth that we are dust.
[KJV | EN | OT | Psalms | Chapter 103 | Verse 15] As for man, his days are as grass: As a flower of the field, so he flourisheth.
[KJV | EN | OT | Psalms | Chapter 103 | Verse 16] For the wind passeth over it, and it is gone; And the place thereof shall know it no more.
[KJV | EN | OT | Psalms | Chapter 103 | Verse 17] But the mercy of the Lord is from everlasting to everlasting upon them that fear him, And his righteousness unto children’s children;
[KJV | EN | OT | Psalms | Chapter 103 | Verse 18] To such as keep his covenant, And to those that remember his commandments to do them.
[KJV | EN | OT | Psalms | Chapter 103 | Verse 19] The Lord hath prepared his throne in the heavens; And his kingdom ruleth over all.
[KJV | EN | OT | Psalms | Chapter 103 | Verse 20] Bless the Lord, ye his angels, That excel in strength, that do his commandments, Hearkening unto the voice of his word.
[KJV | EN | OT | Psalms | Chapter 103 | Verse 21] Bless ye the Lord, all ye his hosts; Ye ministers of his, that do his pleasure.
[KJV | EN | OT | Psalms | Chapter 103 | Verse 22] Bless the Lord, all his works In all places of his dominion: Bless the Lord, O my soul.
