[KJV | EN | OT | Psalms | Chapter 132 | Verse 1] Lord, remember David, And all his afflictions:
[KJV | EN | OT | Psalms | Chapter 132 | Verse 2] How he sware unto the Lord, And vowed unto the mighty God of Jacob;
[KJV | EN | OT | Psalms | Chapter 132 | Verse 3] Surely I will not come into the tabernacle of my house, Nor go up into my bed;
[KJV | EN | OT | Psalms | Chapter 132 | Verse 4] I will not give sleep to mine eyes, Or slumber to mine eyelids,
[KJV | EN | OT | Psalms | Chapter 132 | Verse 5] Until I find out a place for the Lord, A habitation for the mighty God of Jacob.
[KJV | EN | OT | Psalms | Chapter 132 | Verse 6] Lo, we heard of it at Ephratah: We found it in the fields of the wood.
[KJV | EN | OT | Psalms | Chapter 132 | Verse 7] We will go into his tabernacles: We will worship at his footstool.
[KJV | EN | OT | Psalms | Chapter 132 | Verse 8] Arise, O Lord, into thy rest; Thou, and the ark of thy strength.
[KJV | EN | OT | Psalms | Chapter 132 | Verse 9] Let thy priests be clothed with righteousness; And let thy saints shout for joy.
[KJV | EN | OT | Psalms | Chapter 132 | Verse 10] For thy servant David’s sake Turn not away the face of thine anointed.
[KJV | EN | OT | Psalms | Chapter 132 | Verse 11] The Lord hath sworn in truth unto David; He will not turn from it; Of the fruit of thy body will I set upon thy throne.
[KJV | EN | OT | Psalms | Chapter 132 | Verse 12] If thy children will keep my covenant And my testimony that I shall teach them, Their children also shall sit upon thy throne for evermore.
[KJV | EN | OT | Psalms | Chapter 132 | Verse 13] For the Lord hath chosen Zion; He hath desired it for his habitation.
[KJV | EN | OT | Psalms | Chapter 132 | Verse 14] This is my rest for ever: Here will I dwell; for I have desired it.
[KJV | EN | OT | Psalms | Chapter 132 | Verse 15] I will abundantly bless her provision: I will satisfy her poor with bread.
[KJV | EN | OT | Psalms | Chapter 132 | Verse 16] I will also clothe her priests with salvation: And her saints shall shout aloud for joy.
[KJV | EN | OT | Psalms | Chapter 132 | Verse 17] There will I make the horn of David to bud: I have ordained a lamp for mine anointed.
[KJV | EN | OT | Psalms | Chapter 132 | Verse 18] His enemies will I clothe with shame: But upon himself shall his crown flourish.
