[KJV | EN | OT | Psalms | Chapter 51 | Verse 1] Have mercy upon me, O God, according to thy lovingkindness: According unto the multitude of thy tender mercies blot out my transgressions.
[KJV | EN | OT | Psalms | Chapter 51 | Verse 2] Wash me throughly from mine iniquity, And cleanse me from my sin.
[KJV | EN | OT | Psalms | Chapter 51 | Verse 3] For I acknowledge my transgressions: And my sin is ever before me.
[KJV | EN | OT | Psalms | Chapter 51 | Verse 4] Against thee, thee only, have I sinned, And done this evil in thy sight: That thou mightest be justified when thou speakest, And be clear when thou judgest.
[KJV | EN | OT | Psalms | Chapter 51 | Verse 5] Behold, I was shapen in iniquity; And in sin did my mother conceive me.
[KJV | EN | OT | Psalms | Chapter 51 | Verse 6] Behold, thou desirest truth in the inward parts: And in the hidden part thou shalt make me to know wisdom.
[KJV | EN | OT | Psalms | Chapter 51 | Verse 7] Purge me with hyssop, and I shall be clean: Wash me, and I shall be whiter than snow.
[KJV | EN | OT | Psalms | Chapter 51 | Verse 8] Make me to hear joy and gladness; That the bones which thou hast broken may rejoice.
[KJV | EN | OT | Psalms | Chapter 51 | Verse 9] Hide thy face from my sins, And blot out all mine iniquities.
[KJV | EN | OT | Psalms | Chapter 51 | Verse 10] Create in me a clean heart, O God; And renew a right spirit within me.
[KJV | EN | OT | Psalms | Chapter 51 | Verse 11] Cast me not away from thy presence; And take not thy holy Spirit from me.
[KJV | EN | OT | Psalms | Chapter 51 | Verse 12] Restore unto me the joy of thy salvation; And uphold me with thy free spirit.
[KJV | EN | OT | Psalms | Chapter 51 | Verse 13] Then will I teach transgressors thy ways; And sinners shall be converted unto thee.
[KJV | EN | OT | Psalms | Chapter 51 | Verse 14] Deliver me from bloodguiltiness, O God, thou God of my salvation: And my tongue shall sing aloud of thy righteousness.
[KJV | EN | OT | Psalms | Chapter 51 | Verse 15] O Lord, open thou my lips; And my mouth shall shew forth thy praise.
[KJV | EN | OT | Psalms | Chapter 51 | Verse 16] For thou desirest not sacrifice; else would I give it: Thou delightest not in burnt offering.
[KJV | EN | OT | Psalms | Chapter 51 | Verse 17] The sacrifices of God are a broken spirit: A broken and a contrite heart, O God, thou wilt not despise.
[KJV | EN | OT | Psalms | Chapter 51 | Verse 18] Do good in thy good pleasure unto Zion: Build thou the walls of Jerusalem.
[KJV | EN | OT | Psalms | Chapter 51 | Verse 19] Then shalt thou be pleased with the sacrifices of righteousness, with burnt offering and whole burnt offering: Then shall they offer bullocks upon thine altar.
