[KJV | EN | OT | Psalms | Chapter 102 | Verse 1] Hear my prayer, O Lord, And let my cry come unto thee.
[KJV | EN | OT | Psalms | Chapter 102 | Verse 2] Hide not thy face from me In the day when I am in trouble; incline thine ear unto me: In the day when I call answer me speedily.
[KJV | EN | OT | Psalms | Chapter 102 | Verse 3] For my days are consumed like smoke, And my bones are burnt as a hearth.
[KJV | EN | OT | Psalms | Chapter 102 | Verse 4] My heart is smitten, and withered like grass; So that I forget to eat my bread.
[KJV | EN | OT | Psalms | Chapter 102 | Verse 5] By reason of the voice of my groaning my bones cleave to my skin.
[KJV | EN | OT | Psalms | Chapter 102 | Verse 6] I am like a pelican of the wilderness: I am like an owl of the desert.
[KJV | EN | OT | Psalms | Chapter 102 | Verse 7] I watch, and am as a sparrow alone upon the housetop.
[KJV | EN | OT | Psalms | Chapter 102 | Verse 8] Mine enemies reproach me all the day; And they that are mad against me are sworn against me.
[KJV | EN | OT | Psalms | Chapter 102 | Verse 9] For I have eaten ashes like bread, And mingled my drink with weeping,
[KJV | EN | OT | Psalms | Chapter 102 | Verse 10] Because of thine indignation and thy wrath: For thou hast lifted me up, and cast me down.
[KJV | EN | OT | Psalms | Chapter 102 | Verse 11] My days are like a shadow that declineth; And I am withered like grass.
[KJV | EN | OT | Psalms | Chapter 102 | Verse 12] But thou, O Lord, shalt endure for ever; And thy remembrance unto all generations.
[KJV | EN | OT | Psalms | Chapter 102 | Verse 13] Thou shalt arise, and have mercy upon Zion: For the time to favour her, yea, the set time, is come.
[KJV | EN | OT | Psalms | Chapter 102 | Verse 14] For thy servants take pleasure in her stones, And favour the dust thereof.
[KJV | EN | OT | Psalms | Chapter 102 | Verse 15] So the heathen shall fear the name of the Lord, And all the kings of the earth thy glory.
[KJV | EN | OT | Psalms | Chapter 102 | Verse 16] When the Lord shall build up Zion, He shall appear in his glory.
[KJV | EN | OT | Psalms | Chapter 102 | Verse 17] He will regard the prayer of the destitute, And not despise their prayer.
[KJV | EN | OT | Psalms | Chapter 102 | Verse 18] This shall be written for the generation to come: And the people which shall be created shall praise the Lord.
[KJV | EN | OT | Psalms | Chapter 102 | Verse 19] For he hath looked down from the height of his sanctuary; From heaven did the Lord behold the earth;
[KJV | EN | OT | Psalms | Chapter 102 | Verse 20] To hear the groaning of the prisoner; To loose those that are appointed to death;
[KJV | EN | OT | Psalms | Chapter 102 | Verse 21] To declare the name of the Lord in Zion, And his praise in Jerusalem;
[KJV | EN | OT | Psalms | Chapter 102 | Verse 22] When the people are gathered together, And the kingdoms, to serve the Lord.
[KJV | EN | OT | Psalms | Chapter 102 | Verse 23] He weakened my strength in the way; He shortened my days.
[KJV | EN | OT | Psalms | Chapter 102 | Verse 24] I said, O my God, take me not away in the midst of my days: Thy years are throughout all generations.
[KJV | EN | OT | Psalms | Chapter 102 | Verse 25] Of old hast thou laid the foundation of the earth: And the heavens are the work of thy hands.
[KJV | EN | OT | Psalms | Chapter 102 | Verse 26] They shall perish, but thou shalt endure: Yea, all of them shall wax old like a garment; As a vesture shalt thou change them, and they shall be changed:
[KJV | EN | OT | Psalms | Chapter 102 | Verse 27] But thou art the same, And thy years shall have no end.
[KJV | EN | OT | Psalms | Chapter 102 | Verse 28] The children of thy servants shall continue, And their seed shall be established before thee.
