[KJV | EN | OT | Psalms | Chapter 46 | Verse 1] God is our refuge and strength, A very present help in trouble.
[KJV | EN | OT | Psalms | Chapter 46 | Verse 2] Therefore will not we fear, though the earth be removed, And though the mountains be carried into the midst of the sea;
[KJV | EN | OT | Psalms | Chapter 46 | Verse 3] Though the waters thereof roar and be troubled, Though the mountains shake with the swelling thereof. Selah.
[KJV | EN | OT | Psalms | Chapter 46 | Verse 4] There is a river, the streams whereof shall make glad the city of God, The holy place of the tabernacles of the most High.
[KJV | EN | OT | Psalms | Chapter 46 | Verse 5] God is in the midst of her; she shall not be moved: God shall help her, and that right early.
[KJV | EN | OT | Psalms | Chapter 46 | Verse 6] The heathen raged, the kingdoms were moved: He uttered his voice, the earth melted.
[KJV | EN | OT | Psalms | Chapter 46 | Verse 7] The Lord of hosts is with us; The God of Jacob is our refuge. Selah.
[KJV | EN | OT | Psalms | Chapter 46 | Verse 8] Come, behold the works of the Lord, What desolations he hath made in the earth.
[KJV | EN | OT | Psalms | Chapter 46 | Verse 9] He maketh wars to cease unto the end of the earth; He breaketh the bow, and cutteth the spear in sunder; He burneth the chariot in the fire.
[KJV | EN | OT | Psalms | Chapter 46 | Verse 10] Be still, and know that I am God: I will be exalted among the heathen, I will be exalted in the earth.
[KJV | EN | OT | Psalms | Chapter 46 | Verse 11] The Lord of hosts is with us; The God of Jacob is our refuge. Selah.
