[KJV | EN | OT | Psalms | Chapter 65 | Verse 1] Praise waiteth for thee, O God, in Zion: And unto thee shall the vow be performed.
[KJV | EN | OT | Psalms | Chapter 65 | Verse 2] O thou that hearest prayer, Unto thee shall all flesh come.
[KJV | EN | OT | Psalms | Chapter 65 | Verse 3] Iniquities prevail against me: As for our transgressions, thou shalt purge them away.
[KJV | EN | OT | Psalms | Chapter 65 | Verse 4] Blessed is the man whom thou choosest, And causest to approach unto thee, that he may dwell in thy courts: We shall be satisfied with the goodness of thy house, Even of thy holy temple.
[KJV | EN | OT | Psalms | Chapter 65 | Verse 5] By terrible things in righteousness wilt thou answer us, O God of our salvation; Who art the confidence of all the ends of the earth, and of them that are afar off upon the sea:
[KJV | EN | OT | Psalms | Chapter 65 | Verse 6] Which by his strength setteth fast the mountains; Being girded with power:
[KJV | EN | OT | Psalms | Chapter 65 | Verse 7] Which stilleth the noise of the seas, The noise of their waves, and the tumult of the people.
[KJV | EN | OT | Psalms | Chapter 65 | Verse 8] They also that dwell in the uttermost parts are afraid at thy tokens: Thou makest the outgoings of the morning and evening to rejoice.
[KJV | EN | OT | Psalms | Chapter 65 | Verse 9] Thou visitest the earth, and waterest it: Thou greatly enrichest it With the river of God, which is full of water: Thou preparest them corn, when thou hast so provided for it.
[KJV | EN | OT | Psalms | Chapter 65 | Verse 10] Thou waterest the ridges thereof abundantly: thou settlest the furrows thereof: Thou makest it soft with showers: thou blessest the springing thereof.
[KJV | EN | OT | Psalms | Chapter 65 | Verse 11] Thou crownest the year with thy goodness; And thy paths drop fatness.
[KJV | EN | OT | Psalms | Chapter 65 | Verse 12] They drop upon the pastures of the wilderness: And the little hills rejoice on every side.
[KJV | EN | OT | Psalms | Chapter 65 | Verse 13] The pastures are clothed with flocks; The valleys also are covered over with corn; They shout for joy, they also sing.
