[KJV | EN | OT | Psalms | Chapter 136 | Verse 1] O give thanks unto the Lord; for he is good: For his mercy endureth for ever.
[KJV | EN | OT | Psalms | Chapter 136 | Verse 2] O give thanks unto the God of gods: For his mercy endureth for ever.
[KJV | EN | OT | Psalms | Chapter 136 | Verse 3] O give thanks to the Lord of lords: For his mercy endureth for ever.
[KJV | EN | OT | Psalms | Chapter 136 | Verse 4] To him who alone doeth great wonders: For his mercy endureth for ever.
[KJV | EN | OT | Psalms | Chapter 136 | Verse 5] To him that by wisdom made the heavens: For his mercy endureth for ever.
[KJV | EN | OT | Psalms | Chapter 136 | Verse 6] To him that stretched out the earth above the waters: For his mercy endureth for ever.
[KJV | EN | OT | Psalms | Chapter 136 | Verse 7] To him that made great lights: For his mercy endureth for ever:
[KJV | EN | OT | Psalms | Chapter 136 | Verse 8] The sun to rule by day: For his mercy endureth for ever:
[KJV | EN | OT | Psalms | Chapter 136 | Verse 9] The moon and stars to rule by night: For his mercy endureth for ever.
[KJV | EN | OT | Psalms | Chapter 136 | Verse 10] To him that smote Egypt in their firstborn: For his mercy endureth for ever:
[KJV | EN | OT | Psalms | Chapter 136 | Verse 11] And brought out Israel from among them: For his mercy endureth for ever:
[KJV | EN | OT | Psalms | Chapter 136 | Verse 12] With a strong hand, and with a stretched out arm: For his mercy endureth for ever.
[KJV | EN | OT | Psalms | Chapter 136 | Verse 13] To him which divided the Red sea into parts: For his mercy endureth for ever:
[KJV | EN | OT | Psalms | Chapter 136 | Verse 14] And made Israel to pass through the midst of it: For his mercy endureth for ever:
[KJV | EN | OT | Psalms | Chapter 136 | Verse 15] But overthrew Pharaoh and his host in the Red sea: For his mercy endureth for ever.
[KJV | EN | OT | Psalms | Chapter 136 | Verse 16] To him which led his people through the wilderness: For his mercy endureth for ever.
[KJV | EN | OT | Psalms | Chapter 136 | Verse 17] To him which smote great kings: For his mercy endureth for ever:
[KJV | EN | OT | Psalms | Chapter 136 | Verse 18] And slew famous kings: For his mercy endureth for ever:
[KJV | EN | OT | Psalms | Chapter 136 | Verse 19] Sihon king of the Amorites: For his mercy endureth for ever:
[KJV | EN | OT | Psalms | Chapter 136 | Verse 20] And Og the king of Bashan: For his mercy endureth for ever:
[KJV | EN | OT | Psalms | Chapter 136 | Verse 21] And gave their land for an heritage: For his mercy endureth for ever:
[KJV | EN | OT | Psalms | Chapter 136 | Verse 22] Even an heritage unto Israel his servant: For his mercy endureth for ever.
[KJV | EN | OT | Psalms | Chapter 136 | Verse 23] Who remembered us in our low estate: For his mercy endureth for ever:
[KJV | EN | OT | Psalms | Chapter 136 | Verse 24] And hath redeemed us from our enemies: For his mercy endureth for ever.
[KJV | EN | OT | Psalms | Chapter 136 | Verse 25] Who giveth food to all flesh: For his mercy endureth for ever.
[KJV | EN | OT | Psalms | Chapter 136 | Verse 26] O give thanks unto the God of heaven: For his mercy endureth for ever.
