[KJV | EN | OT | Psalms | Chapter 89 | Verse 1] I will sing of the mercies of the Lord for ever: With my mouth will I make known thy faithfulness to all generations.
[KJV | EN | OT | Psalms | Chapter 89 | Verse 2] For I have said, Mercy shall be built up for ever: Thy faithfulness shalt thou establish in the very heavens.
[KJV | EN | OT | Psalms | Chapter 89 | Verse 3] I have made a covenant with my chosen, I have sworn unto David my servant,
[KJV | EN | OT | Psalms | Chapter 89 | Verse 4] Thy seed will I stablish for ever, And build up thy throne to all generations. Selah.
[KJV | EN | OT | Psalms | Chapter 89 | Verse 5] And the heavens shall praise thy wonders, O Lord: Thy faithfulness also in the congregation of the saints.
[KJV | EN | OT | Psalms | Chapter 89 | Verse 6] For who in the heaven can be compared unto the Lord? Who among the sons of the mighty can be likened unto the Lord?
[KJV | EN | OT | Psalms | Chapter 89 | Verse 7] God is greatly to be feared in the assembly of the saints, And to be had in reverence of all them that are about him.
[KJV | EN | OT | Psalms | Chapter 89 | Verse 8] O Lord God of hosts, Who is a strong Lord like unto thee? Or to thy faithfulness round about thee?
[KJV | EN | OT | Psalms | Chapter 89 | Verse 9] Thou rulest the raging of the sea: When the waves thereof arise, thou stillest them.
[KJV | EN | OT | Psalms | Chapter 89 | Verse 10] Thou hast broken Rahab in pieces, as one that is slain; Thou hast scattered thine enemies with thy strong arm.
[KJV | EN | OT | Psalms | Chapter 89 | Verse 11] The heavens are thine, the earth also is thine: As for the world and the fulness thereof, thou hast founded them.
[KJV | EN | OT | Psalms | Chapter 89 | Verse 12] The north and the south thou hast created them: Tabor and Hermon shall rejoice in thy name.
[KJV | EN | OT | Psalms | Chapter 89 | Verse 13] Thou hast a mighty arm: Strong is thy hand, and high is thy right hand.
[KJV | EN | OT | Psalms | Chapter 89 | Verse 14] Justice and judgment are the habitation of thy throne: Mercy and truth shall go before thy face.
[KJV | EN | OT | Psalms | Chapter 89 | Verse 15] Blessed is the people that know the joyful sound: They shall walk, O Lord, in the light of thy countenance.
[KJV | EN | OT | Psalms | Chapter 89 | Verse 16] In thy name shall they rejoice all the day: And in thy righteousness shall they be exalted.
[KJV | EN | OT | Psalms | Chapter 89 | Verse 17] For thou art the glory of their strength: And in thy favour our horn shall be exalted.
[KJV | EN | OT | Psalms | Chapter 89 | Verse 18] For the Lord is our defence; And the Holy One of Israel is our king.
[KJV | EN | OT | Psalms | Chapter 89 | Verse 19] Then thou spakest in vision to thy holy one, And saidst, I have laid help upon one that is mighty; I have exalted one chosen out of the people.
[KJV | EN | OT | Psalms | Chapter 89 | Verse 20] I have found David my servant; With my holy oil have I anointed him:
[KJV | EN | OT | Psalms | Chapter 89 | Verse 21] With whom my hand shall be established: Mine arm also shall strengthen him.
[KJV | EN | OT | Psalms | Chapter 89 | Verse 22] The enemy shall not exact upon him; Nor the son of wickedness afflict him.
[KJV | EN | OT | Psalms | Chapter 89 | Verse 23] And I will beat down his foes before his face, And plague them that hate him.
[KJV | EN | OT | Psalms | Chapter 89 | Verse 24] But my faithfulness and my mercy shall be with him: And in my name shall his horn be exalted.
[KJV | EN | OT | Psalms | Chapter 89 | Verse 25] I will set his hand also in the sea, And his right hand in the rivers.
[KJV | EN | OT | Psalms | Chapter 89 | Verse 26] He shall cry unto me, Thou art my Father, My God, and the rock of my salvation.
[KJV | EN | OT | Psalms | Chapter 89 | Verse 27] Also I will make him my firstborn, Higher than the kings of the earth.
[KJV | EN | OT | Psalms | Chapter 89 | Verse 28] My mercy will I keep for him for evermore, And my covenant shall stand fast with him.
[KJV | EN | OT | Psalms | Chapter 89 | Verse 29] His seed also will I make to endure for ever, And his throne as the days of heaven.
[KJV | EN | OT | Psalms | Chapter 89 | Verse 30] If his children forsake my law, And walk not in my judgments;
[KJV | EN | OT | Psalms | Chapter 89 | Verse 31] If they break my statutes, And keep not my commandments;
[KJV | EN | OT | Psalms | Chapter 89 | Verse 32] Then will I visit their transgression with the rod, And their iniquity with stripes.
[KJV | EN | OT | Psalms | Chapter 89 | Verse 33] Nevertheless my lovingkindness will I not utterly take from him, Nor suffer my faithfulness to fail.
[KJV | EN | OT | Psalms | Chapter 89 | Verse 34] My covenant will I not break, Nor alter the thing that is gone out of my lips.
[KJV | EN | OT | Psalms | Chapter 89 | Verse 35] Once have I sworn by my holiness That I will not lie unto David.
[KJV | EN | OT | Psalms | Chapter 89 | Verse 36] His seed shall endure for ever, And his throne as the sun before me.
[KJV | EN | OT | Psalms | Chapter 89 | Verse 37] It shall be established for ever as the moon, And as a faithful witness in heaven. Selah.
[KJV | EN | OT | Psalms | Chapter 89 | Verse 38] But thou hast cast off and abhorred, Thou hast been wroth with thine anointed.
[KJV | EN | OT | Psalms | Chapter 89 | Verse 39] Thou hast made void the covenant of thy servant: Thou hast profaned his crown by casting it to the ground.
[KJV | EN | OT | Psalms | Chapter 89 | Verse 40] Thou hast broken down all his hedges; Thou hast brought his strong holds to ruin.
[KJV | EN | OT | Psalms | Chapter 89 | Verse 41] All that pass by the way spoil him: He is a reproach to his neighbours.
[KJV | EN | OT | Psalms | Chapter 89 | Verse 42] Thou hast set up the right hand of his adversaries; Thou hast made all his enemies to rejoice.
[KJV | EN | OT | Psalms | Chapter 89 | Verse 43] Thou hast also turned the edge of his sword, And hast not made him to stand in the battle.
[KJV | EN | OT | Psalms | Chapter 89 | Verse 44] Thou hast made his glory to cease, And cast his throne down to the ground.
[KJV | EN | OT | Psalms | Chapter 89 | Verse 45] The days of his youth hast thou shortened: Thou hast covered him with shame. Selah.
[KJV | EN | OT | Psalms | Chapter 89 | Verse 46] How long, Lord? wilt thou hide thyself for ever? Shall thy wrath burn like fire?
[KJV | EN | OT | Psalms | Chapter 89 | Verse 47] Remember how short my time is: Wherefore hast thou made all men in vain?
[KJV | EN | OT | Psalms | Chapter 89 | Verse 48] What man is he that liveth, and shall not see death? Shall he deliver his soul from the hand of the grave? Selah.
[KJV | EN | OT | Psalms | Chapter 89 | Verse 49] Lord, where are thy former lovingkindnesses, Which thou swarest unto David in thy truth?
[KJV | EN | OT | Psalms | Chapter 89 | Verse 50] Remember, Lord, the reproach of thy servants; How I do bear in my bosom the reproach of all the mighty people;
