[KJV | EN | OT | Psalms | Chapter 38 | Verse 1] O Lord, rebuke me not in thy wrath: Neither chasten me in thy hot displeasure.
[KJV | EN | OT | Psalms | Chapter 38 | Verse 2] For thine arrows stick fast in me, And thy hand presseth me sore.
[KJV | EN | OT | Psalms | Chapter 38 | Verse 3] There is no soundness in my flesh because of thine anger; Neither is there any rest in my bones because of my sin.
[KJV | EN | OT | Psalms | Chapter 38 | Verse 4] For mine iniquities are gone over mine head: As a heavy burden they are too heavy for me.
[KJV | EN | OT | Psalms | Chapter 38 | Verse 5] My wounds stink and are corrupt Because of my foolishness.
[KJV | EN | OT | Psalms | Chapter 38 | Verse 6] I am troubled; I am bowed down greatly; I go mourning all the day long.
[KJV | EN | OT | Psalms | Chapter 38 | Verse 7] For my loins are filled with a loathsome disease: And there is no soundness in my flesh.
[KJV | EN | OT | Psalms | Chapter 38 | Verse 8] I am feeble and sore broken: I have roared by reason of the disquietness of my heart.
[KJV | EN | OT | Psalms | Chapter 38 | Verse 9] Lord, all my desire is before thee; And my groaning is not hid from thee.
[KJV | EN | OT | Psalms | Chapter 38 | Verse 10] My heart panteth, my strength faileth me: As for the light of mine eyes, it also is gone from me.
[KJV | EN | OT | Psalms | Chapter 38 | Verse 11] My lovers and my friends stand aloof from my sore; And my kinsmen stand afar off.
[KJV | EN | OT | Psalms | Chapter 38 | Verse 12] They also that seek after my life lay snares for me: And they that seek my hurt speak mischievous things, And imagine deceits all the day long.
[KJV | EN | OT | Psalms | Chapter 38 | Verse 13] But I, as a deaf man, heard not; And I was as a dumb man that openeth not his mouth.
[KJV | EN | OT | Psalms | Chapter 38 | Verse 14] Thus I was as a man that heareth not, And in whose mouth are no reproofs.
[KJV | EN | OT | Psalms | Chapter 38 | Verse 15] For in thee, O Lord, do I hope: Thou wilt hear, O Lord my God.
[KJV | EN | OT | Psalms | Chapter 38 | Verse 16] For I said, Hear me, lest otherwise they should rejoice over me: When my foot slippeth, they magnify themselves against me.
[KJV | EN | OT | Psalms | Chapter 38 | Verse 17] For I am ready to halt, And my sorrow is continually before me.
[KJV | EN | OT | Psalms | Chapter 38 | Verse 18] For I will declare mine iniquity; I will be sorry for my sin.
[KJV | EN | OT | Psalms | Chapter 38 | Verse 19] But mine enemies are lively, and they are strong: And they that hate me wrongfully are multiplied.
[KJV | EN | OT | Psalms | Chapter 38 | Verse 20] They also that render evil for good are mine adversaries; Because I follow the thing that good is.
[KJV | EN | OT | Psalms | Chapter 38 | Verse 21] Forsake me not, O Lord: O my God, be not far from me.
[KJV | EN | OT | Psalms | Chapter 38 | Verse 22] Make haste to help me, O Lord my salvation.
