[KJV | EN | OT | Psalms | Chapter 139 | Verse 1] O Lord, thou hast searched me, and known me.
[KJV | EN | OT | Psalms | Chapter 139 | Verse 2] Thou knowest my downsitting and mine uprising, Thou understandest my thought afar off.
[KJV | EN | OT | Psalms | Chapter 139 | Verse 3] Thou compassest my path and my lying down, And art acquainted with all my ways.
[KJV | EN | OT | Psalms | Chapter 139 | Verse 4] For there is not a word in my tongue, But lo, O Lord, thou knowest it altogether.
[KJV | EN | OT | Psalms | Chapter 139 | Verse 5] Thou hast beset me behind and before, And laid thine hand upon me.
[KJV | EN | OT | Psalms | Chapter 139 | Verse 6] Such knowledge is too wonderful for me; It is high, I cannot attain unto it.
[KJV | EN | OT | Psalms | Chapter 139 | Verse 7] Whither shall I go from thy spirit? Or whither shall I flee from thy presence?
[KJV | EN | OT | Psalms | Chapter 139 | Verse 8] If I ascend up into heaven, thou art there: If I make my bed in hell, behold, thou art there.
[KJV | EN | OT | Psalms | Chapter 139 | Verse 9] If I take the wings of the morning, And dwell in the uttermost parts of the sea;
[KJV | EN | OT | Psalms | Chapter 139 | Verse 10] Even there shall thy hand lead me, And thy right hand shall hold me.
[KJV | EN | OT | Psalms | Chapter 139 | Verse 11] If I say, Surely the darkness shall cover me; Even the night shall be light about me.
[KJV | EN | OT | Psalms | Chapter 139 | Verse 12] Yea, the darkness hideth not from thee; But the night shineth as the day: The darkness and the light are both alike to thee.
[KJV | EN | OT | Psalms | Chapter 139 | Verse 13] For thou hast possessed my reins: Thou hast covered me in my mother’s womb.
[KJV | EN | OT | Psalms | Chapter 139 | Verse 14] I will praise thee; for I am fearfully and wonderfully made: Marvellous are thy works; And that my soul knoweth right well.
[KJV | EN | OT | Psalms | Chapter 139 | Verse 15] My substance was not hid from thee, When I was made in secret, And curiously wrought in the lowest parts of the earth.
[KJV | EN | OT | Psalms | Chapter 139 | Verse 16] Thine eyes did see my substance, yet being unperfect; And in thy book all my members were written, Which in continuance were fashioned, when as yet there was none of them.
[KJV | EN | OT | Psalms | Chapter 139 | Verse 17] How precious also are thy thoughts unto me, O God: How great is the sum of them!
[KJV | EN | OT | Psalms | Chapter 139 | Verse 18] If I should count them, they are moe in number than the sand: When I awake, I am still with thee.
[KJV | EN | OT | Psalms | Chapter 139 | Verse 19] Surely thou wilt slay the wicked, O God: Depart from me therefore, ye bloody men.
[KJV | EN | OT | Psalms | Chapter 139 | Verse 20] For they speak against thee wickedly, And thine enemies take thy name in vain.
[KJV | EN | OT | Psalms | Chapter 139 | Verse 21] Do not I hate them, O Lord, that hate thee? And am not I grieved with those that rise up against thee?
[KJV | EN | OT | Psalms | Chapter 139 | Verse 22] I hate them with perfect hatred: I count them mine enemies.
[KJV | EN | OT | Psalms | Chapter 139 | Verse 23] Search me, O God, and know my heart: Try me, and know my thoughts:
[KJV | EN | OT | Psalms | Chapter 139 | Verse 24] And see if there be any wicked way in me, And lead me in the way everlasting.
