[IRV | MR | NT | Mark | Chapter 15 | Verse 1] पहाट होताच मुख्य याजक लोक, वडीलजन, नियमशास्त्राचे शिक्षक व सर्व यहूदी सभा यांनी मसलत करून येशूला बांधून पिलाताच्या ताब्यात दिले.
[IRV | MR | NT | Mark | Chapter 15 | Verse 2] पिलाताने त्यास विचारले, तू यहूद्यांचा राजा आहेस काय? येशूने उत्तर दिले, “तू म्हणतोस तसेच.”
[IRV | MR | NT | Mark | Chapter 15 | Verse 3] मुख्य याजकांनी पुष्कळ बाबतीत येशूवर आरोप ठेवले.
[IRV | MR | NT | Mark | Chapter 15 | Verse 4] मग पिलाताने त्यास पुन्हा प्रश्न विचारला, तू उत्तर देणार नाहीस काय? पाहा, ते कितीतरी गोष्टींविषयी तुझ्यावर आरोप करत आहेत!
[IRV | MR | NT | Mark | Chapter 15 | Verse 5] पण तरीही येशूने उत्तर दिले नाही म्हणून पिलाताला आश्चर्य वाटले.
[IRV | MR | NT | Mark | Chapter 15 | Verse 6] वल्हांडण सणाच्या वेळी ते कोणत्याही एका कैद्याच्या सुटकेची मागणी करीत असत. त्यास पिलात रिवाजाप्रमाणे लोकांसाठी सोडत असे.
[IRV | MR | NT | Mark | Chapter 15 | Verse 7] बरब्बा नावाचा एक मनुष्य, बंडखोरांबरोबर तुरुंगात होता. त्याने दंगलीमध्ये खून केल्याबद्दल त्यास पकडण्यात आले होते.
[IRV | MR | NT | Mark | Chapter 15 | Verse 8] लोक आले आणि पिलाताला तो नेहमी त्यांच्यासाठी करीत असे तसे करायला लावले.
[IRV | MR | NT | Mark | Chapter 15 | Verse 9] पिलाताने विचारले, तुमच्यासाठी यहूद्यांच्या राजाला सोडावे अशी तुमची इच्छा आहे काय?
[IRV | MR | NT | Mark | Chapter 15 | Verse 10] पिलात असे म्हणाला कारण त्यास माहीत होते की, द्वेषामुळे मुख्य याजकांनी येशूला धरुन दिले होते.
[IRV | MR | NT | Mark | Chapter 15 | Verse 11] परंतु पिलाताने त्याच्याऐवजी बरब्बाला सोडावे असे मुख्य याजकांनी लोकांस चिथवले.
[IRV | MR | NT | Mark | Chapter 15 | Verse 12] परंतु पिलात त्यांना पुन्हा म्हणाला, तर मग तुम्ही ज्याला यहूद्यांचा राजा म्हणता त्याचे मी काय करावे अशी तुमची इच्छा आहे?
[IRV | MR | NT | Mark | Chapter 15 | Verse 13] ते पुन्हा मोठ्याने ओरडले, त्यास वधस्तंभावर खिळा!
[IRV | MR | NT | Mark | Chapter 15 | Verse 14] पिलाताने पुन्हा विचारले, का? त्याने कोणता गुन्हा केला आहे? ते सर्व अधिकच मोठ्याने ओरडले, त्यास वधस्तंभावर खिळा!
[IRV | MR | NT | Mark | Chapter 15 | Verse 15] पिलाताला लोकांस खूश करायचे होते म्हणून त्याने त्यांच्यासाठी बरब्बाला सोडले आणि येशूला फटके मारून वधस्तंभावर खिळण्यासाठी शिपायांच्या स्वाधीन केले.
[IRV | MR | NT | Mark | Chapter 15 | Verse 16] शिपायांनी येशूला राज्यपालाच्या वाड्यात, प्रयतोर्यमात म्हणजे कचेरीत नेले आणि त्यांनी सैनिकांची एक तुकडीच एकत्र बोलावली.
[IRV | MR | NT | Mark | Chapter 15 | Verse 17] त्यांनी त्याच्या अंगावर जांभळा झगा घातला व काटयाचा मुकुट करून त्यास घातला.
[IRV | MR | NT | Mark | Chapter 15 | Verse 18] ते त्यास मुजरा करू लागले आणि म्हणू लागले, यहूद्यांच्या राजाचा जयजयकार असो.
[IRV | MR | NT | Mark | Chapter 15 | Verse 19] त्यांनी वेताच्या काठीने वारंवार त्याच्या डोक्यावर मारले. त्याच्यावर थुंकले आणि गुडघे टेकून त्यास वंदन केले.
[IRV | MR | NT | Mark | Chapter 15 | Verse 20] त्यांनी त्याची थट्टा केल्यावर त्याच्या अंगावरून जांभळा झगा काढून घेतला व त्याचे स्वतःचे कपडे त्यास घातले. नंतर वधस्तंभावर खिळणे शक्य व्हावे म्हणून ते त्यास बाहेर घेऊन गेले.
[IRV | MR | NT | Mark | Chapter 15 | Verse 21] वाटेत त्यांना कुरेनेकर शिमोन नावाचा एक मनुष्य दिसला. तो आलेक्सांद्र व रूफ यांचा पिता होता व आपल्या रानातून घरी परत चालला होता. मग सैनिकांनी त्यास जबरदस्तीने येशूचा वधस्तंभ वहावयास लावले.
[IRV | MR | NT | Mark | Chapter 15 | Verse 22] आणि त्यांनी येशूला गुलगुथा म्हणजे कवटीची जागा म्हटलेल्या ठिकाणी आणले.
