[OEB | EN | OT | Micah | Chapter 1 | Verse 1] The Lord’s message which came to Micah of Morsheth in the reigns of Jotham, Ahaz and Hezekiah, kings of Judah. The visions he saw about Samaria and Jerusalem.
[OEB | EN | OT | Micah | Chapter 1 | Verse 2] Listen, all you peoples! Pay attention, all you inhabitants of the earth! For the Lord God will be a witness against you, the Lord from his holy temple!
[OEB | EN | OT | Micah | Chapter 1 | Verse 3] The Lord is coming from his holy place, he descends and treads on the heights of the earth,
[OEB | EN | OT | Micah | Chapter 1 | Verse 4] so that the mountains melt beneath like wax in the presence of the fire, and the valleys break apart like water poured down a steep descent.
[OEB | EN | OT | Micah | Chapter 1 | Verse 5] All this is because of the crime of Jacob, and for the sin of the house of Israel. What was the crime of Jacob? Was it not Samaria? What is the sin of Judah? Is it not Jerusalem?
[OEB | EN | OT | Micah | Chapter 1 | Verse 6] ‘I will make Samaria a ruin in an open field, and a place where a vineyard is planted, I will hurl down her stones into the valley, and lay bare her foundations.
[OEB | EN | OT | Micah | Chapter 1 | Verse 7] ‘All her images will be shattered, and all her statues will be burned with fire, and all her idols I will lay in ruins. For they were acquired by prostitution, and to prostitution they will return.’
[OEB | EN | OT | Micah | Chapter 1 | Verse 8] This is why I will mourn and wail, I will go barefoot and naked, I will howl like the jackals and mourn like the desert owl.
[OEB | EN | OT | Micah | Chapter 1 | Verse 9] For the blow that Samaria has received is incurable. It has spread over Judah, it extends even to the gate of my people, even to Jerusalem.
[OEB | EN | OT | Micah | Chapter 1 | Verse 10] Don’t tell this in Gath! Don’t even cry – but sit in the dust at Beth-leaphrah.
[OEB | EN | OT | Micah | Chapter 1 | Verse 11] Pass by, inhabitants of Shaphir, naked and ashamed! The inhabitants of Zaanan cannot leave their city. Beth-ezel laments and removes its support from you.
[OEB | EN | OT | Micah | Chapter 1 | Verse 12] The inhabitants of Maroth wait anxiously for good! But the Lord has sent disaster to the gates of Jerusalem.
[OEB | EN | OT | Micah | Chapter 1 | Verse 13] Harness the horse to the chariot, inhabitants of Lachish. You led the daughter of Zion, Jerusalem, into sin, in you are found the crimes of Israel.
[OEB | EN | OT | Micah | Chapter 1 | Verse 14] Therefore you must give parting gifts to Moresheth-gath. Beth-achzib will betray the kings of Israel.
[OEB | EN | OT | Micah | Chapter 1 | Verse 15] I will hand you to a conqueror, people of Mareshah, the leaders of Israel will hide in Adullam Cave!
[OEB | EN | OT | Micah | Chapter 1 | Verse 16] Shave your head in morning for the children you love, until you are bald as vultures, because they have left you for exile.
