[OEB | EN | OT | Micah | Chapter 2 | Verse 1] Woe to those who lie awake planning evil, who in the light of morning carry out their plan because they have the power to do it.
[OEB | EN | OT | Micah | Chapter 2 | Verse 2] They covet fields and seize them, desire houses and take them, they crush householder and his household, people and their possessions.
[OEB | EN | OT | Micah | Chapter 2 | Verse 3] Therefore the Lord says: ‘I am planning disaster from which you cannot save your neck, nor walk proudly because it will be a terrible time.
[OEB | EN | OT | Micah | Chapter 2 | Verse 4] On that day they will sing a taunt-song to you, this mocking lament: “My people’s estate is being measured for sale, our captors are dividing our fields. We are completely undone.”
[OEB | EN | OT | Micah | Chapter 2 | Verse 5] There will be no one to measure out land for you from the Lord’s community.
[OEB | EN | OT | Micah | Chapter 2 | Verse 6] ‘“Don’t rant!” they urge, “Of such things one does not prophesy! Shame will not overtake us!
[OEB | EN | OT | Micah | Chapter 2 | Verse 7] Is the Lord impatient, or are such things his deeds? Are not his words favourable to the family of Jacob?” Aren’t my commands good for those who obey them?
[OEB | EN | OT | Micah | Chapter 2 | Verse 8] But you, you stand up as a foe against those who are peaceful; you strip the robe from those who pass by quietly, averse to conflict.
[OEB | EN | OT | Micah | Chapter 2 | Verse 9] Women of my people you drive out from their happy homes, from their young children you take away my glory forever.
[OEB | EN | OT | Micah | Chapter 2 | Verse 10] Rise and begone, for this is no place to rest. Your uncleanness brings destruction, severe destruction.
[OEB | EN | OT | Micah | Chapter 2 | Verse 11] If a person walking in wine and falsehood were to say, “I will prophesy to you of wine and strong drink,” then he would be the perfect prophet for this people!’
[OEB | EN | OT | Micah | Chapter 2 | Verse 12] ‘I will assuredly assemble all of Jacob, I will surely gather the survivors of Israel. I will herd them together as sheep in a fold, like a flock in the pasture, and the land will resound with the sounds of multitudes.
[OEB | EN | OT | Micah | Chapter 2 | Verse 13] ‘The one who breaks out goes first. They have broken forth and passed by the gate and through it have they gone out. Their king leads before them, the Lord at their head.’
