[LXX | EL | OT | Habakkuk | Chapter 3 | Verse 1] ΠΡΟΣΕΥΧ ἈΜΒΑΚΟΥΜ ΤΟΥ ΠΡΟΦΗΤΟΥ, ΜΕΤΑ Ὠ̣ΔΗΣ.
[LXX | EL | OT | Habakkuk | Chapter 3 | Verse 2] Κύριε εἰσακήκοα τὴν ἀκοήν σου, καὶ ἐφοβήθην· κατενόησα τὰ ἔργα σου, καὶ ἐξέστην· ἐν μέσῳ δύο ζώων γνωσθήσῃ, ἐν τῷ ἐγγίζειν τὰ ἔτη ἐπιγνωσθήσῃ· ἐν τῷ παρεῖναι τὸν καιρὸν ἀναδειχθήσῃ· ἐν τῷ ταραχθῆναι τὴν ψυχήν μου, ἐν ὀργῇ ἐλέους μνησθήσῃ.
[LXX | EL | OT | Habakkuk | Chapter 3 | Verse 3] Ὁ Θεὸς ἐκ Θαιμὰν ἥξει, καὶ ὁ ἅγιος ἐξ ὄρους Φαρὰν κατασκίου δασέος· διάψαλμα· ἐκάλυψεν οὐρανοὺς ἡ ἀρετὴ αὐτοῦ, καὶ αἰνέσεως αὐτοῦ πλήρης ἡ γῆ.
[LXX | EL | OT | Habakkuk | Chapter 3 | Verse 4] Καὶ φέγγος αὐτοῦ ὡς φῶς ἔσται· κέρατα ἐν χερσὶν αὐτοῦ, καὶ ἔθετο ἀγάπησιν κραταιὰν ἰσχύος αὐτοῦ.
[LXX | EL | OT | Habakkuk | Chapter 3 | Verse 5] Πρὸ προσώπου αὐτοῦ πορεύσεται λόγος, καὶ ἐξελεύσεται εἰς πεδία· κατὰ πόδας αὐτοῦ
[LXX | EL | OT | Habakkuk | Chapter 3 | Verse 6] ἔστη, καὶ ἐσαλεύθη ἡ γῆ· ἐπέβλεψε, καὶ διετάκη ἔθνη· διεθρύβη τὰ ὄρη βίᾳ, ἐτάκησαν βουνοὶ αἰώνιοι πορείας αἰωνίας αὐτοῦ.
[LXX | EL | OT | Habakkuk | Chapter 3 | Verse 7] Ἀντὶ κόπων εἶδον σκηνώματα Αἰθιόπων, πτοηθήσονται καὶ αἱ σκηναὶ γῆς Μαδιάμ.
[LXX | EL | OT | Habakkuk | Chapter 3 | Verse 8] Μὴ ἐν ποταμοῖς ὠργίσθης Κύριε; ἢ ἐν ποταμοῖς ὁ θυμός σου; ἢ ἐν θαλάσσῃ τὸ ὅρμημά σου; ὅτι ἐπιβήσῃ ἐπὶ τοὺς ἵππους σου, καὶ ἡ ἱππασία σου σωτηρία.
[LXX | EL | OT | Habakkuk | Chapter 3 | Verse 9] Ἐντείνων ἐνέτεινας τόξον σου ἐπὶ σκῆπτρα, λέγει Κύριος· διάψαλμα· ποταμῶν ῥαγήσεται γῆ.
[LXX | EL | OT | Habakkuk | Chapter 3 | Verse 10] Ὄψονταί σε, καὶ ὠδινήσουσι λαοὶ, σκορπίζων ὕδατα πορείας· ἔδωκεν ἡ ἄβυσσος φωνὴν αὐτῆς, ὕψος φαντασίας αὐτῆς.
[LXX | EL | OT | Habakkuk | Chapter 3 | Verse 11] Ἐπῄρθη ὁ ἥλιος, καὶ ἡ σελήνη ἔστη ἐν τῇ τάξει αὐτῆς· εἰς φῶς βολίδες σου πορεύσονται, εἰς φέγγος ἀστραπῆς ὅπλων σου.
[LXX | EL | OT | Habakkuk | Chapter 3 | Verse 12] Ἐν ἀπειλῇ ὀλιγώσεις γῆν, καὶ ἐν θυμῷ κατάξεις ἔθνη,
[LXX | EL | OT | Habakkuk | Chapter 3 | Verse 13] ἐξῆλθες εἰς σωτηρίαν λαοῦ σου, τοῦ σῶσαι τὸν χριστόν σου· βαλεῖς εἰς κεφαλὰς ἀνόμων θάνατον, ἐξήγειρας δεσμοὺς ἕως τραχήλου· διάψαλμα.
[LXX | EL | OT | Habakkuk | Chapter 3 | Verse 14] Διέκοψας ἐν ἐκστάσει κεφαλὰς δυναστῶν, σεισθήσονται ἐν αὐτῇ· διανοίξουσι χαλινοὺς αὐτῶν, ὡς ἔσθων πτωχὸς λάθρα.
[LXX | EL | OT | Habakkuk | Chapter 3 | Verse 15] Καὶ ἐπιβιβᾷς εἰς θάλασσαν τοὺς ἵππους σου, ταράσσοντας ὕδωρ πολύ.
