[LXX | EL | OT | Habakkuk | Chapter 1 | Verse 1] ΤΟ λῆμμα ὃ εἶδεν Ἀμβακοὺμ ὁ προφήτης.
[LXX | EL | OT | Habakkuk | Chapter 1 | Verse 2] Ἕως τίνος Κύριε κεκράξομαι, καὶ οὐ μὴ εἰσακουσεις; βοήσομαι πρὸς σὲ ἀδικούμενος, καὶ οὐ σώσεις;
[LXX | EL | OT | Habakkuk | Chapter 1 | Verse 3] Ἱνατί ἔδειξάς μοι κόπους καὶ πόνους ἐπιβλέπειν, ταλαιπωρίαν καὶ ἀσέβειαν; ἐξεναντίας μου γέγονε κρίσις, καὶ ὁ κριτὴς λαμβάνει·
[LXX | EL | OT | Habakkuk | Chapter 1 | Verse 4] Διατοῦτο διεσκέδασται νόμος, καὶ οὐ διεξάγεται εἰς τέλος κρίμα, ὅτι ἀσεβὴς καταδυναστεύει τὸν δίκαιον, ἕνεκεν τούτου ἐξελεύσεται τὸ κρίμα διεστραμμένον.
[LXX | EL | OT | Habakkuk | Chapter 1 | Verse 5] Ἴδετε οἱ καταφρονηταὶ, καὶ ἐπιβλέψατε, καὶ θαυμάσατε θαυμάσια, καὶ ἀφανίσθητε· διότι ἔργον ἐγὼ ἐργάζομαι ἐν ταῖς ἡμέραις ὑμῶν, ὃ οὐ μὴ πιστεύσητε, ἐάν τις ἐκδιηγῆται.
[LXX | EL | OT | Habakkuk | Chapter 1 | Verse 6] Διότι ἰδοὺ ἐγὼ ἐξεγείρω τοὺς Χαλδαίους, τὸ ἔνθος τὸ πικρὸν, καὶ τὸ ταχινὸν, τὸ πορευόμενον ἐπὶ τὰ πλάτη τῆς γῆς, τοῦ κατακληρονομῆσαι σκηνώματα οὐκ αὐτοῦ.
[LXX | EL | OT | Habakkuk | Chapter 1 | Verse 7] Φοβερὸς καὶ ἐπιφανής ἐστιν, ἐξ αὐτοῦ τὸ κρίμα αὐτοῦ ἔσται, καὶ τὸ λῆμμα αὐτοῦ ἐξ αὐτοῦ ἐξελεύσεται.
[LXX | EL | OT | Habakkuk | Chapter 1 | Verse 8] Καὶ ἐξαλοῦνται ὑπὲρ παρδάλεις οἱ ἵπποι αὐτοῦ, καὶ ὀξύτεροι ὑπὲρ τοὺς λύκους τῆς Ἀραβίας· καὶ ἐξιππάσονται οἱ ἱππεῖς αὐτοῦ, καὶ ὁρμήσουσι μακρόθεν, καὶ πετασθήσονται ὡς ἀετὸς πρόθυμος εἰς τὸ φαγεῖν.
[LXX | EL | OT | Habakkuk | Chapter 1 | Verse 9] Συντέλεια εἰς ἀσεβεῖς ἥξει, ἀνθεστηκότας προσώποις αὐτῶν ἐξεναντίας, καὶ συνάξει ὡς ἄμμον αἰχμαλωσίαν·
[LXX | EL | OT | Habakkuk | Chapter 1 | Verse 10] καὶ αὐτὸς ἐν βασιλεῦσιν ἐντρυφήσει, καὶ τύραννοι παίγνια αὐτοῦ, καὶ αὐτὸς εἰς πᾶν ὀχύρωμα ἐμπαίξεται, καὶ βαλεῖ χῶμα, καὶ κρατήσει αὐτοῦ·
[LXX | EL | OT | Habakkuk | Chapter 1 | Verse 11] τότε μεταβαλεῖ τὸ πνεῦμα, καὶ διελεύσεται, καὶ ἐξιλάσεται· αὕτη ἡ ἰσχὺς τῷ θεῷ μου.
[LXX | EL | OT | Habakkuk | Chapter 1 | Verse 12] Οὐχὶ σὺ ἀπʼ ἀρχῆς Κύριε ὁ Θεὸς ὁ ἅγιός μου; καὶ οὐ μὴ ἀποθάνωμεν· Κύριε εἰς κρίμα τέταχας αὐτὸ, καὶ ἔπλασέ με τοῦ ἐλέγχειν παιδείαν αὐτοῦ.
[LXX | EL | OT | Habakkuk | Chapter 1 | Verse 13] Καθαρὸς ὀφθαλμὸς τοῦ μὴ ὁρᾷν πονηρὰ, καὶ ἐπιβλέπειν ἐπὶ πόνους ὀδύνης· ἱνατί ἐπιβλέπεις ἐπὶ καταφρονοῦντας; παρασιωπήσῃ ἐν τῷ καταπίνειν ἀσεβῆ τὸν δίκαιον;
[LXX | EL | OT | Habakkuk | Chapter 1 | Verse 14] Καὶ ποιήσεις τοὺς ἀνθρώπους ὡς τοὺς ἰχθύας τῆς θαλάσσης, καὶ ὡς τὰ ἑρπετὰ τὰ οὐκ ἔχοντα ἡγούμενον;
[LXX | EL | OT | Habakkuk | Chapter 1 | Verse 15] Συντέλειαν ἐν ἀγκίστρῳ ἀνέσπασεν, καὶ εἵλκυσεν αὐτὸν ἐν ἀμφιβλήστρῳ, καὶ συνήγαγεν αὐτὸν ἐν ταῖς σαγήναις αὐτοῦ· ἕνεκεν τούτου εὐφρανθήσεται καὶ χαρήσεται ἡ καρδία αὐτοῦ.
[LXX | EL | OT | Habakkuk | Chapter 1 | Verse 16] Ἕνεκεν τούτου θύσει τῇ σαγήνῃ αὐτοῦ, καὶ θυμιάσει τῷ ἀμφιβλήστρῳ αὐτοῦ, ὅτι ἐν αὐτοῖς ἐλίπανε μερίδα αὐτοῦ, καὶ τὰ βρώματα αὐτοῦ ἐκλεκτά.
[LXX | EL | OT | Habakkuk | Chapter 1 | Verse 17] Διατοῦτο ἀμφιβαλεῖ τὸ ἀμφίβληστρον αὐτοῦ, καὶ διαπαντὸς ἀποκτέννειν ἔθνη οὐ φείσεται.
