[LXX | EL | OT | Habakkuk | Chapter 2 | Verse 1] Ἐπὶ τῆς φυλακῆς μου στήσομαι, καὶ ἐπιβήσομαι ἐπὶ πέτραν, καὶ ἀποσκοπεύσω τοῦ ἰδεῖν τί λαλήσει ἐν ἐμοὶ, καὶ τί ἀποκριθῶ ἐπὶ τὸν ἔλεγχόν μου.
[LXX | EL | OT | Habakkuk | Chapter 2 | Verse 2] Καὶ ἀπεκρίθη πρὸς μὲ Κύριος, καὶ εἶπε, γράψον ὅρασιν, καὶ σαφῶς εἰς πυξίον, ὅπως διώκῃ ὁ ἀναγινώσκων αὐτά.
[LXX | EL | OT | Habakkuk | Chapter 2 | Verse 3] Διότι ἔτι ὅρασις εἰς καιρὸν, καὶ ἀνατελεῖ εἰς πέρας, καὶ οὐκ εἰς κενόν· ἐὰν ὑστερήσῃ, ὑπὸμεινον αὐτὸν, ὅτι ἐρχόμενος ἥξει, καὶ οὐ μὴ χρονίσῃ.
[LXX | EL | OT | Habakkuk | Chapter 2 | Verse 4] Ἐὰν ὑποστείληται, οὐκ εὐδοκεῖ ἡ ψυχή μου ἐν αὐτῷ· ὁ δὲ δίκαιος ἐκ πίστεώς μου ζήσεται.
[LXX | EL | OT | Habakkuk | Chapter 2 | Verse 5] Ὁ δὲ κατοιόμενος, καὶ καταφρονητὴς, ἀνὴρ ἀλαζὼν, οὐθὲν μὴ περάνῃ· ὃς ἐπλάτυνε καθὼς ᾅδης τὴν ψυχὴν αὐτοῦ, καὶ οὗτος ὡς θάνατος οὐκ ἐμπιπλάμενος, καὶ ἐπισυνάξει ἐπʼ αὐτὸν πάντα τὰ ἔθνη, καὶ εἰσδέξεται πρὸς αὐτὸν πάντας τοὺς λαούς.
[LXX | EL | OT | Habakkuk | Chapter 2 | Verse 6] Οὐχὶ ταῦτα πάντα κατʼ αὐτοῦ παραβολὴν λήψονται, καὶ πρόβλημα εἰς διήγησιν αὐτοῦ; καὶ ἐροῦσιν, οὐαὶ ὁ πληθύνων ἑαυτῷ τὰ οὐκ ὄντα αὐτοῦ ἕως τίνος, καὶ βαρύνων τὸν κλοιὸν αὐτοῦ στιβαρῶς.
[LXX | EL | OT | Habakkuk | Chapter 2 | Verse 7] Ὅτι ἐξαίφνης ἀναστήσονται δάκνοντες αὐτὸν, καὶ ἐκνήψουσιν οἱ ἐπίβουλοί σου, καὶ ἔσῃ εἰς διαρπαγὴν αὐτοῖς,
[LXX | EL | OT | Habakkuk | Chapter 2 | Verse 8] διότι ἐσκύλευσας ἔθνη πολλὰ, σκυλεύσουσι πάντες οἱ ὑπολελειμμένοι λαοὶ, διʼ αἵματα ἀνθρώπων, καὶ ἀσεβείας γῆς καὶ πόλεως, καὶ πάντων τῶν κατοικούντων αὐτήν.
[LXX | EL | OT | Habakkuk | Chapter 2 | Verse 9] Ὢ ὁ πλεονεκτῶν πλεονεξίαν κακὴν τῷ οἴκῳ αὐτοῦ, τοῦ τάξαι εἰς ὕψος νοσσιὰν αὐτοῦ, τοῦ ἐκσπασθῆναι ἐκ χειρὸς κακῶν.
[LXX | EL | OT | Habakkuk | Chapter 2 | Verse 10] Ἐβουλεύσω αἰσχύνην τῷ οἴκῳ σου, συνεπέρανας πολλοὺς λαοὺς, καὶ ἐξήμαρτεν ἡ ψυχή σου.
[LXX | EL | OT | Habakkuk | Chapter 2 | Verse 11] Διότι λίθος ἐκ τοίχου βοήσεται, καὶ κάνθαρος ἐκ ξύλου φθέγξεται αὐτά.
[LXX | EL | OT | Habakkuk | Chapter 2 | Verse 12] Οὐαὶ ὁ οἰκοδομῶν πόλιν ἐν αἵμασι, καὶ ἑτοιμάζων πόλιν ἐν ἀδικίαις.
[LXX | EL | OT | Habakkuk | Chapter 2 | Verse 13] Οὐ ταῦτά ἐστι παρὰ Κυρίου παντοκράτορος; καὶ ἐξέλιπον λαοὶ ἱκανοὶ ἐν πυρὶ, καὶ ἔθνη πολλὰ ὠλιγοψύχησαν.
[LXX | EL | OT | Habakkuk | Chapter 2 | Verse 14] Ὅτι ἐμπλησθήσεται ἡ γῆ τοῦ γνῶναι τὴν δόξαν Κυρίου, ὡς ὕδωρ κατακαλύψει αὐτούς.
[LXX | EL | OT | Habakkuk | Chapter 2 | Verse 15] Ὢ ὁ ποτίζων τὸν πλησίον αὐτοῦ ἀνατροπῇ θολερᾷ, καὶ μεθύσκων ὅπως ἐπιβλέπῃ ἐπὶ τὰ σπήλαια αὐτῶν.
[LXX | EL | OT | Habakkuk | Chapter 2 | Verse 16] Πλησμονὴν ἀτιμίας ἐκ δόξης πίε καὶ σύ· καρδία σαλεύθητι, καὶ σείσθητι· ἐκύκλωσεν ἐπὶ σὲ ποτήριον δεξιᾶς Κυρίου, καὶ συνήχθη ἀτιμία ἐπὶ τὴν δόξαν σου.
[LXX | EL | OT | Habakkuk | Chapter 2 | Verse 17] Διότι ἀσέβεια τοῦ Λιβάνου καλύψει σε, καὶ ταλαιπωρία θηρίων πτοήσει σε, διʼ αἵματα ἀνθρώπων, καὶ ἀσεβείας γῆς καὶ πόλεως, καὶ πάντων τῶν κατοικούντων αὐτήν.
[LXX | EL | OT | Habakkuk | Chapter 2 | Verse 18] Τί ὠφελεῖ γλυπτὸν, ὅτι ἔγλυψαν αὐτό; ἔπλασεν αὐτὸ χώνευμα, φαντασίαν ψευδῆ, ὅτι πέποιθεν ὁ πλάσας ἐπὶ τὸ πλάσμα αὐτοῦ, τοῦ ποιῆσαι εἴδωλα κωφά.
[LXX | EL | OT | Habakkuk | Chapter 2 | Verse 19] Οὐαὶ ὁ λέγων τῷ ξύλῳ, ἔκνηψον, ἐξεγέρθητι· καὶ τῷ λίθῳ, ὑψώθητι· καὶ αὐτό ἐστι φαντασία· τοῦτο δέ ἐστιν ἔλασμα χρυσίου καὶ ἀργυρίου, καὶ πᾶν πνεῦμα οὐκ ἔστιν ἐν αὐτῷ.
[LXX | EL | OT | Habakkuk | Chapter 2 | Verse 20] Ὁ δὲ Κύριος ἐν ναῷ ἁγίῳ αὐτοῦ· εὐλαβείσθω ἀπὸ προσώπου αὐτοῦ πᾶσα ἡ γῆ.
