[KJV | EN | OT | Exodus | Chapter 9 | Verse 1] Then the Lord said unto Moses, Go in unto Pharaoh, and tell him, Thus saith the Lord God of the Hebrews, Let my people go, that they may serve me.
[KJV | EN | OT | Exodus | Chapter 9 | Verse 2] For if thou refuse to let them go, and wilt hold them still,
[KJV | EN | OT | Exodus | Chapter 9 | Verse 3] behold, the hand of the Lord is upon thy cattle which is in the field, upon the horses, upon the asses, upon the camels, upon the oxen, and upon the sheep: there shall be a very grievous murrain.
[KJV | EN | OT | Exodus | Chapter 9 | Verse 4] And the Lord shall sever between the cattle of Israel and the cattle of Egypt: and there shall nothing die of all that is the children’s of Israel.
[KJV | EN | OT | Exodus | Chapter 9 | Verse 5] And the Lord appointed a set time, saying, To morrow the Lord shall do this thing in the land.
[KJV | EN | OT | Exodus | Chapter 9 | Verse 6] And the Lord did that thing on the morrow, and all the cattle of Egypt died: but of the cattle of the children of Israel died not one.
[KJV | EN | OT | Exodus | Chapter 9 | Verse 7] And Pharaoh sent, and behold, there was not one of the cattle of the Israelites dead. And the heart of Pharaoh was hardened, and he did not let the people go.
[KJV | EN | OT | Exodus | Chapter 9 | Verse 8] And the Lord said unto Moses and unto Aaron, Take to you handfuls of ashes of the furnace, and let Moses sprinkle it towards the heaven in the sight of Pharaoh.
[KJV | EN | OT | Exodus | Chapter 9 | Verse 9] And it shall become small dust in all the land of Egypt, and shall be a boil breaking forth with blains upon man, and upon beast, throughout all the land of Egypt.
[KJV | EN | OT | Exodus | Chapter 9 | Verse 10] And they took ashes of the furnace, and stood before Pharaoh; and Moses sprinkled it up toward heaven; and it became a boil breaking forth with blains upon man, and upon beast.
[KJV | EN | OT | Exodus | Chapter 9 | Verse 11] And the magicians could not stand before Moses because of the boils; for the boil was upon the magicians, and upon all the Egyptians.
[KJV | EN | OT | Exodus | Chapter 9 | Verse 12] And the Lord hardened the heart of Pharaoh, and he hearkened not unto them; as the Lord had spoken unto Moses.
[KJV | EN | OT | Exodus | Chapter 9 | Verse 13] And the Lord said unto Moses, Rise up early in the morning, and stand before Pharaoh, and say unto him, Thus saith the Lord God of the Hebrews, Let my people go, that they may serve me.
[KJV | EN | OT | Exodus | Chapter 9 | Verse 14] For I will at this time send all my plagues upon thine heart, and upon thy servants, and upon thy people; that thou mayest know that there is none like me in all the earth.
[KJV | EN | OT | Exodus | Chapter 9 | Verse 15] For now I will stretch out my hand, that I may smite thee and thy people with pestilence; and thou shalt be cut off from the earth.
[KJV | EN | OT | Exodus | Chapter 9 | Verse 16] And in very deed for this cause have I raised thee up, for to shew in thee my power; and that my name may be declared throughout all the earth.
[KJV | EN | OT | Exodus | Chapter 9 | Verse 17] As yet exaltest thou thyself against my people, that thou wilt not let them go?
[KJV | EN | OT | Exodus | Chapter 9 | Verse 18] Behold, to morrow about this time I will cause it to rain a very grievous hail, such as hath not been in Egypt since the foundation thereof even until now.
[KJV | EN | OT | Exodus | Chapter 9 | Verse 19] Send therefore now, and gather thy cattle, and all that thou hast in the field; for upon every man and beast which shall be found in the field, and shall not be brought home, the hail shall come down upon them, and they shall die.
[KJV | EN | OT | Exodus | Chapter 9 | Verse 20] He that feared the word of the Lord amongst the servants of Pharaoh made his servants and his cattle flee into the houses:
[KJV | EN | OT | Exodus | Chapter 9 | Verse 21] and he that regarded not the word of the Lord left his servants and his cattle in the field.
