[KJV | EN | OT | Exodus | Chapter 38 | Verse 1] And he made the altar of burnt offering of shittim wood: five cubits was the length thereof, and five cubits the breadth thereof; it was foursquare; and three cubits the height thereof.
[KJV | EN | OT | Exodus | Chapter 38 | Verse 2] And he made the horns thereof on the four corners of it; the horns thereof were of the same: and he overlaid it with brass.
[KJV | EN | OT | Exodus | Chapter 38 | Verse 3] And he made all the vessels of the altar, the pots, and the shovels, and the basons, and the fleshhooks, and the firepans: all the vessels thereof made he of brass.
[KJV | EN | OT | Exodus | Chapter 38 | Verse 4] And he made for the altar a brasen grate of network under the compass thereof beneath unto the midst of it.
[KJV | EN | OT | Exodus | Chapter 38 | Verse 5] And he cast four rings for the four ends of the grate of brass, to be places for the staves.
[KJV | EN | OT | Exodus | Chapter 38 | Verse 6] And he made the staves of shittim wood, and overlaid them with brass.
[KJV | EN | OT | Exodus | Chapter 38 | Verse 7] And he put the staves into the rings on the sides of the altar, to bear it withal; he made the altar hollow with boards.
[KJV | EN | OT | Exodus | Chapter 38 | Verse 8] And he made the laver of brass, and the foot of it of brass, of the looking-glasses of the women assembling, which assembled at the door of the tabernacle of the congregation.
[KJV | EN | OT | Exodus | Chapter 38 | Verse 9] And he made the court: on the south side southward the hangings of the court were of fine twined linen, an hundred cubits:
[KJV | EN | OT | Exodus | Chapter 38 | Verse 10] their pillars were twenty, and their brasen sockets twenty; the hooks of the pillars and their fillets were of silver.
[KJV | EN | OT | Exodus | Chapter 38 | Verse 11] And for the north side the hangings were an hundred cubits, their pillars were twenty, and their sockets of brass twenty; the hooks of the pillars and their fillets of silver.
[KJV | EN | OT | Exodus | Chapter 38 | Verse 12] And for the west side were hangings of fifty cubits, their pillars ten, and their sockets ten; the hooks of the pillars and their fillets of silver.
[KJV | EN | OT | Exodus | Chapter 38 | Verse 13] And for the east side eastward fifty cubits.
[KJV | EN | OT | Exodus | Chapter 38 | Verse 14] The hangings of the one side of the gate were fifteen cubits; their pillars three, and their sockets three.
[KJV | EN | OT | Exodus | Chapter 38 | Verse 15] And for the other side of the court gate, on this hand and that hand, were hangings of fifteen cubits; their pillars three, and their sockets three.
[KJV | EN | OT | Exodus | Chapter 38 | Verse 16] All the hangings of the court round about were of fine twined linen.
[KJV | EN | OT | Exodus | Chapter 38 | Verse 17] And the sockets for the pillars were of brass; the hooks of the pillars and their fillets of silver; and the overlaying of their chapiters of silver; and all the pillars of the court were filleted with silver.
[KJV | EN | OT | Exodus | Chapter 38 | Verse 18] And the hanging for the gate of the court was needlework, of blue, and purple, and scarlet, and fine twined linen: and twenty cubits was the length, and the height in the breadth was five cubits, answerable to the hangings of the court.
[KJV | EN | OT | Exodus | Chapter 38 | Verse 19] And their pillars were four, and their sockets of brass four; their hooks of silver, and the overlaying of their chapiters and their fillets of silver.
[KJV | EN | OT | Exodus | Chapter 38 | Verse 20] And all the pins of the tabernacle, and of the court round about, were of brass.
[KJV | EN | OT | Exodus | Chapter 38 | Verse 21] This is the sum of the tabernacle, even of the tabernacle of Testimony, as it was counted, according to the commandment of Moses, for the service of the Levites, by the hand of Ithamar, son to Aaron the priest.
[KJV | EN | OT | Exodus | Chapter 38 | Verse 22] And Bezaleel the son of Uri, the son of Hur, of the tribe of Judah, made all that the Lord commanded Moses.
[KJV | EN | OT | Exodus | Chapter 38 | Verse 23] And with him was Aholiab, son of Ahisamach, of the tribe of Dan, an engraver, and a cunning workman, and an embroiderer in blue, and in purple, and in scarlet, and fine linen.
[KJV | EN | OT | Exodus | Chapter 38 | Verse 24] All the gold that was occupied for the work in all the work of the holy place, even the gold of the offering, was twenty and nine talents, and seven hundred and thirty shekels, after the shekel of the sanctuary.
[KJV | EN | OT | Exodus | Chapter 38 | Verse 25] And the silver of them that were numbered of the congregation was an hundred talents, and a thousand seven hundred and threescore and fifteen shekels, after the shekel of the sanctuary:
[KJV | EN | OT | Exodus | Chapter 38 | Verse 26] a bekah for every man, that is, half a shekel, after the shekel of the sanctuary, for every one that went to be numbered, from twenty years old and upward, for six hundred thousand and three thousand and five hundred and fifty men.
[KJV | EN | OT | Exodus | Chapter 38 | Verse 27] And of the hundred talents of silver were cast the sockets of the sanctuary, and the sockets of the vail; an hundred sockets of the hundred talents, a talent for a socket.
[KJV | EN | OT | Exodus | Chapter 38 | Verse 28] And of the thousand seven hundred seventy and five shekels he made hooks for the pillars, and overlaid their chapiters, and filleted them.
[KJV | EN | OT | Exodus | Chapter 38 | Verse 29] And the brass of the offering was seventy talents, and two thousand and four hundred shekels.
[KJV | EN | OT | Exodus | Chapter 38 | Verse 30] And therewith he made the sockets to the door of the tabernacle of the congregation, and the brasen altar, and the brasen grate for it, and all the vessels of the altar,
[KJV | EN | OT | Exodus | Chapter 38 | Verse 31] and the sockets of the court round about, and the sockets of the court gate, and all the pins of the tabernacle, and all the pins of the court round about.
