[OEB | EN | OT | Habakkuk | Chapter 2 | Verse 1] I will take my stand on my watch-tower, and station myself on a turret. I will watch to see what the Lord will say to me, what answer he will make to my complaint.
[OEB | EN | OT | Habakkuk | Chapter 2 | Verse 2] Then the Lord answered me and said: Inscribe the vision plainly on tablets, so that even someone running by could read it.
[OEB | EN | OT | Habakkuk | Chapter 2 | Verse 3] Though the vision waits for the time set, it hastens to fulfilment and will not fail; Though it linger long, wait for it. For it surely will come and will not be delayed.
[OEB | EN | OT | Habakkuk | Chapter 2 | Verse 4] The strength of the proud fails, but the upright lives by their faithfulness.
[OEB | EN | OT | Habakkuk | Chapter 2 | Verse 5] Wealth is treacherous, the arrogant never have enough. They make their desire as wide as Sheol, are like death, unsatisfied, For they gather to themselves all the nations, bring together to themselves all peoples.
[OEB | EN | OT | Habakkuk | Chapter 2 | Verse 6] Shouldn’t everyone mock them? sing a taunt-song against them, and say: Woe to the person who amasses what is not theirs, and loads them self down with goods taken in pledge!
[OEB | EN | OT | Habakkuk | Chapter 2 | Verse 7] Won’t your creditors suddenly rise, and those who will overthrow you awake, and you become their prey?
[OEB | EN | OT | Habakkuk | Chapter 2 | Verse 8] For as you have plundered many peoples, the survivors will prey upon you. You have shed blood and committed violence to the earth, peoples and their cities.
[OEB | EN | OT | Habakkuk | Chapter 2 | Verse 9] Woe to you who seeks unjust gain for your dynasty, who sets your nest on high to be safe from the reach of misfortune!
[OEB | EN | OT | Habakkuk | Chapter 2 | Verse 10] You have planned only shame for your dynasty. You have destroyed many peoples, and brought guilt upon yourself;
[OEB | EN | OT | Habakkuk | Chapter 2 | Verse 11] the stone will cry out from the wall, and the beam from the timber will answer it.
[OEB | EN | OT | Habakkuk | Chapter 2 | Verse 12] Woe to the person who builds a city by bloodshed, and founds a town by crime
[OEB | EN | OT | Habakkuk | Chapter 2 | Verse 13] while the peoples toil for what fires will consume, and the nations weary themselves for nothing! This the Lord of hosts has said,
[OEB | EN | OT | Habakkuk | Chapter 2 | Verse 14] and the earth will be as full of the knowledge of the glory of the Lord as the seas are full of water.
[OEB | EN | OT | Habakkuk | Chapter 2 | Verse 15] Woe to him who in fury gives drink to his neighbor to make him drunk, and see him naked.
[OEB | EN | OT | Habakkuk | Chapter 2 | Verse 16] You are filled with shame, not glory; drink yourself and be uncovered. The cup from the Lord’s hand will pass in turn to you, and shame will cover your glory!
[OEB | EN | OT | Habakkuk | Chapter 2 | Verse 17] For the violence done to Lebanon will overwhelm you, the destruction of animals will terrify you, because you shed people’s blood on the earth, destroyed people and their cities.
[OEB | EN | OT | Habakkuk | Chapter 2 | Verse 18] What use is an idol? A human made it, a metal image. It cannot speak, it cannot teach truth, Why does its maker trust it?
[OEB | EN | OT | Habakkuk | Chapter 2 | Verse 19] Woe to the person who says to a block, awake! to a dumb stone, arise! What can it teach? It may be set with gold and silver, but there is no breath at all within it.
[OEB | EN | OT | Habakkuk | Chapter 2 | Verse 20] The Lord is in his holy temple. Let all the earth be silent before him!
