[OEB | EN | OT | Habakkuk | Chapter 3 | Verse 1] A prayer of Habakkuk the prophet, according to the Shigionoth.
[OEB | EN | OT | Habakkuk | Chapter 3 | Verse 2] I have heard, Lord, of your fame, I have seen, Lord, your work; through the years you have make yourself known, in wrath you remember mercy.
[OEB | EN | OT | Habakkuk | Chapter 3 | Verse 3] God comes from Teman, and the Holy One from the mountain-land of Paran. Selah His glory covers the heavens, and his splendour fills the earth.
[OEB | EN | OT | Habakkuk | Chapter 3 | Verse 4] Before him it is like the light, rays he has at his side, where his power is hidden.
[OEB | EN | OT | Habakkuk | Chapter 3 | Verse 5] Before him pestilence stalks, after him plague follows.
[OEB | EN | OT | Habakkuk | Chapter 3 | Verse 6] He stands, and the earth trembles, he looks, and the nations melt away, and the mountains of old are scattered, the everlasting hills bow down. These are his ways from of old.
[OEB | EN | OT | Habakkuk | Chapter 3 | Verse 7] The tents of Cushan are afraid, the curtains of Midian tremble.
[OEB | EN | OT | Habakkuk | Chapter 3 | Verse 8] Is your wrath, Lord, with the rivers? Is your anger against the streams? Or your rage against the sea? Is that why you ride on your war-steeds? Why you mount your chariots of victory?
[OEB | EN | OT | Habakkuk | Chapter 3 | Verse 9] Why you bare your bow? Why you fill your quiver with shafts? You split the earth with torrents.
[OEB | EN | OT | Habakkuk | Chapter 3 | Verse 10] The mountains see you and writhe. The tempest of waters sweeps by. The great deep sends forth its voice, and lifts up its hands.
[OEB | EN | OT | Habakkuk | Chapter 3 | Verse 11] The sun forgets to rise. The moon stands still in its place. Your arrows go forth to give light. Your glittering spear is as lightning.
[OEB | EN | OT | Habakkuk | Chapter 3 | Verse 12] In rage you stride over the earth. In wrath you trample the nations.
[OEB | EN | OT | Habakkuk | Chapter 3 | Verse 13] You go forth to save your people. You go to help your anointed. You crush the head of the wicked nation, laying him bare from thigh to neck. Selah
[OEB | EN | OT | Habakkuk | Chapter 3 | Verse 14] You pierced his head with his spears, as his champions storm out to scatter us, as they rejoice to devour the poor secretly.
[OEB | EN | OT | Habakkuk | Chapter 3 | Verse 15] You tread the sea with your horses, while the mighty waters roar.
[OEB | EN | OT | Habakkuk | Chapter 3 | Verse 16] I hear, and my body trembles, and at the sound my lips quiver. My bones begin to decay, and my footsteps totter beneath me, while I long for the day of distress to come upon those who attack us.
[OEB | EN | OT | Habakkuk | Chapter 3 | Verse 17] Though the fig tree bears no fruit, and there are no grapes on the vines, though the olive harvest fails, and the fields produce no food, though the flock is cut off from the fold, and there is no herd in the stalls,
[OEB | EN | OT | Habakkuk | Chapter 3 | Verse 18] yet I will exult in the Lord, and rejoice in the God who saves me.
[OEB | EN | OT | Habakkuk | Chapter 3 | Verse 19] The Lord God is my strength; he makes my feet as sure as the feet of deer, and causes me to walk on the heights! To the music director: Use stringed instruments.
