[BSB | EN | NT | 1 Timothy | Chapter 2 | Verse 1] First of all, then, I urge that petitions, prayers, intercessions, and thanksgiving be offered for everyone—
[BSB | EN | NT | 1 Timothy | Chapter 2 | Verse 2] for kings and all those in authority—so that we may lead tranquil and quiet lives in all godliness and dignity.
[BSB | EN | NT | 1 Timothy | Chapter 2 | Verse 3] This is good and pleasing in the sight of God our Savior,
[BSB | EN | NT | 1 Timothy | Chapter 2 | Verse 4] who wants everyone to be saved and to come to the knowledge of the truth.
[BSB | EN | NT | 1 Timothy | Chapter 2 | Verse 5] For there is one God, and there is one mediator between God and men, the man Christ Jesus,
[BSB | EN | NT | 1 Timothy | Chapter 2 | Verse 6] who gave Himself as a ransom for all—the testimony that was given at just the right time.
[BSB | EN | NT | 1 Timothy | Chapter 2 | Verse 7] For this reason I was appointed as a preacher, an apostle, and a faithful and true teacher of the Gentiles. I am telling the truth; I am not lying about anything.
[BSB | EN | NT | 1 Timothy | Chapter 2 | Verse 8] Therefore I want the men everywhere to pray, lifting up holy hands, without anger or dissension.
[BSB | EN | NT | 1 Timothy | Chapter 2 | Verse 9] Likewise, I want the women to adorn themselves with respectable apparel, with modesty, and with self-control, not with braided hair or gold or pearls or expensive clothes,
[BSB | EN | NT | 1 Timothy | Chapter 2 | Verse 10] but with good deeds, as is proper for women who profess to worship God.
[BSB | EN | NT | 1 Timothy | Chapter 2 | Verse 11] A woman must learn in quietness and full submissiveness.
[BSB | EN | NT | 1 Timothy | Chapter 2 | Verse 12] I do not permit a woman to teach or to exercise authority over a man; she is to remain quiet.
[BSB | EN | NT | 1 Timothy | Chapter 2 | Verse 13] For Adam was formed first, and then Eve.
[BSB | EN | NT | 1 Timothy | Chapter 2 | Verse 14] And it was not Adam who was deceived, but the woman who was deceived and fell into transgression.
[BSB | EN | NT | 1 Timothy | Chapter 2 | Verse 15] Women, however, will be saved through childbearing, if they continue in faith, love, and holiness, with self-control.
