[BSB | EN | NT | 1 Timothy | Chapter 4 | Verse 1] Now the Spirit expressly states that in later times some will abandon the faith to follow deceitful spirits and the teachings of demons,
[BSB | EN | NT | 1 Timothy | Chapter 4 | Verse 2] influenced by the hypocrisy of liars, whose consciences are seared with a hot iron.
[BSB | EN | NT | 1 Timothy | Chapter 4 | Verse 3] They will prohibit marriage and require abstinence from certain foods that God has created to be received with thanksgiving by those who believe and know the truth.
[BSB | EN | NT | 1 Timothy | Chapter 4 | Verse 4] For every creation of God is good, and nothing that is received with thanksgiving should be rejected,
[BSB | EN | NT | 1 Timothy | Chapter 4 | Verse 5] because it is sanctified by the word of God and prayer.
[BSB | EN | NT | 1 Timothy | Chapter 4 | Verse 6] By pointing out these things to the brothers, you will be a good servant of Christ Jesus, nourished by the words of faith and sound instruction that you have followed.
[BSB | EN | NT | 1 Timothy | Chapter 4 | Verse 7] But reject irreverent, silly myths. Instead, train yourself for godliness.
[BSB | EN | NT | 1 Timothy | Chapter 4 | Verse 8] For physical exercise is of limited value, but godliness is valuable in every way, holding promise for the present life and for the one to come.
[BSB | EN | NT | 1 Timothy | Chapter 4 | Verse 9] This is a trustworthy saying, worthy of full acceptance.
[BSB | EN | NT | 1 Timothy | Chapter 4 | Verse 10] To this end we labor and strive, because we have set our hope on the living God, who is the Savior of everyone, and especially of those who believe.
[BSB | EN | NT | 1 Timothy | Chapter 4 | Verse 11] Command and teach these things.
[BSB | EN | NT | 1 Timothy | Chapter 4 | Verse 12] Let no one despise your youth, but set an example for the believers in speech, in conduct, in love, in faith, in purity.
[BSB | EN | NT | 1 Timothy | Chapter 4 | Verse 13] Until I come, devote yourself to the public reading of Scripture, to exhortation, and to teaching.
[BSB | EN | NT | 1 Timothy | Chapter 4 | Verse 14] Do not neglect the gift that is in you, which was given you through the prophecy spoken over you at the laying on of the hands of the elders.
[BSB | EN | NT | 1 Timothy | Chapter 4 | Verse 15] Be diligent in these matters and absorbed in them, so that your progress will be evident to all.
[BSB | EN | NT | 1 Timothy | Chapter 4 | Verse 16] Pay close attention to your life and to your teaching. Persevere in these things, for by so doing you will save both yourself and those who hear you.
