[GNV | EN | OT | Deuteronomy | Chapter 8 | Verse 1] Ye shall keepe all the commandements which I command thee this day, for to doe them: that ye may liue, and be multiplied, and goe in, and possesse the land which the Lord sware vnto your fathers.
[GNV | EN | OT | Deuteronomy | Chapter 8 | Verse 2] And thou shalt remember all ye way which the Lord thy God led thee this fourtie yeere in the wildernesse, for to humble thee and to proue thee, to knowe what was in thine heart, whether thou wouldest keepe his commandements or no.
[GNV | EN | OT | Deuteronomy | Chapter 8 | Verse 3] Therefore he humbled thee, and made thee hungry, and fed thee with MAN, which thou knewest not, neither did thy fathers know it, that he might teache thee that man liueth not by bread onely, but by euery worde that proceedeth out of the mouth of the Lord, doth a man liue.
[GNV | EN | OT | Deuteronomy | Chapter 8 | Verse 4] Thy raiment waxed not olde vpon thee, neither did thy foote swell those fourtie yeeres.
[GNV | EN | OT | Deuteronomy | Chapter 8 | Verse 5] Knowe therefore in thine heart, that as a man nourtereth his sonne, so the Lord thy God nourtereth thee.
[GNV | EN | OT | Deuteronomy | Chapter 8 | Verse 6] Therefore shalt thou keepe the commandements of the Lord thy God, that thou mayest walke in his wayes, and feare him.
[GNV | EN | OT | Deuteronomy | Chapter 8 | Verse 7] For the Lord thy God bringeth thee into a good land, a land in the which are riuers of water and fountaines, and depthes that spring out of valleis and mountaines:
[GNV | EN | OT | Deuteronomy | Chapter 8 | Verse 8] A land of wheate and barley, and of vineyards, and figtrees, and pomegranates: a land of oyle oliue and hony:
[GNV | EN | OT | Deuteronomy | Chapter 8 | Verse 9] A land wherein thou shalt eate bread without scarcitie, neither shalt thou lacke any thing therein: a land whose stones are yron, and out of whose mountaines thou shalt digge brasse.
[GNV | EN | OT | Deuteronomy | Chapter 8 | Verse 10] And when thou hast eaten and filled thy selfe, thou shalt blesse the Lord thy God for the good land, which he hath giuen thee.
[GNV | EN | OT | Deuteronomy | Chapter 8 | Verse 11] Beware that thou forget not the Lord thy God, not keeping his commandements, and his lawes, and his ordinances, which I commaund thee this day:
[GNV | EN | OT | Deuteronomy | Chapter 8 | Verse 12] Lest when thou hast eaten and filled thy selfe, and hast built goodly houses and dwelt therein,
[GNV | EN | OT | Deuteronomy | Chapter 8 | Verse 13] And thy beastes, and thy sheepe are increased, and thy siluer and golde is multiplied, and all that thou hast is increased,
[GNV | EN | OT | Deuteronomy | Chapter 8 | Verse 14] Then thine heart be lifted vp and thou forget the Lord thy God, which brought thee out of the land of Egypt, from the house of bondage,
[GNV | EN | OT | Deuteronomy | Chapter 8 | Verse 15] Who was thy guide in the great and terrible wildernes (wherein were fierie serpents, and scorpions, and drought, where was no water, who brought forth water for thee out of ye rock of flint:
[GNV | EN | OT | Deuteronomy | Chapter 8 | Verse 16] Who fed thee in the wildernesse with MAN, which thy fathers knewe not) to humble thee, and and to proue thee, that he might doe thee good at thy latter ende.
[GNV | EN | OT | Deuteronomy | Chapter 8 | Verse 17] Beware least thou say in thine heart, My power, and the strength of mine owne hand hath prepared me this abundance.
[GNV | EN | OT | Deuteronomy | Chapter 8 | Verse 18] But remember the Lord thy God: for it is he which giueth thee power to get substance to establish his couenant which he sware vnto thy fathers, as appeareth this day.
[GNV | EN | OT | Deuteronomy | Chapter 8 | Verse 19] And if thou forget the Lord thy God, and walke after other gods, and serue them, and worship them, I testifie vnto you this day that ye shall surely perish.
[GNV | EN | OT | Deuteronomy | Chapter 8 | Verse 20] As the nations which the Lord destroyeth before you, so ye shall perish, because ye woulde not be obedient vnto the voyce of the Lord your God.
