[GNV | EN | OT | Deuteronomy | Chapter 19 | Verse 1] When the Lord thy God shall roote out the nations, whose lande the Lord thy God giueth thee, and thou shalt possesse them, and dwell in their cities, and in their houses,
[GNV | EN | OT | Deuteronomy | Chapter 19 | Verse 2] Thou shalt separate three cities for thee in the middes of thy lande which the Lord thy God giueth thee to possesse it.
[GNV | EN | OT | Deuteronomy | Chapter 19 | Verse 3] Thou shalt prepare thee the way, and deuide the coastes of the land, which the Lord thy God giueth thee to inherite, into three parts, that euery manslayer may flee thither.
[GNV | EN | OT | Deuteronomy | Chapter 19 | Verse 4] This also is ye cause wherfore the manslayer shall flee thither, and liue: who so killeth his neighbor ignorantly, and hated him not in time passed:
[GNV | EN | OT | Deuteronomy | Chapter 19 | Verse 5] As hee that goeth vnto the wood with his neighbor to hew wood, and his hand striketh with the axe to cut downe the tree, if the head slip from the helue, and hit his neighbour that he dieth, the same shall flee vnto one of the cities, and liue,
[GNV | EN | OT | Deuteronomy | Chapter 19 | Verse 6] Least the auenger of the blood follow after the manslayer, while his heart is chafed, and ouertake him, because the way is long, and slaie him, although he be not worthy of death, because he hated him not in time passed.
[GNV | EN | OT | Deuteronomy | Chapter 19 | Verse 7] Wherefore I command thee, saying, Thou shalt appoint out three cities for thee.
[GNV | EN | OT | Deuteronomy | Chapter 19 | Verse 8] And when the Lord thy God enlargeth thy coastes (as he hath sworne vnto thy fathers) and giueth thee all the lande which he promised to giue vnto thy fathers,
[GNV | EN | OT | Deuteronomy | Chapter 19 | Verse 9] (If thou keepe all these commandements to doe them, which I commaund thee this day: to wit, that thou loue the Lord thy God, and walke in his waies for euer) then shalt thou adde three cities moe for thee besides those three,
[GNV | EN | OT | Deuteronomy | Chapter 19 | Verse 10] That innocent bloude be not shed within thy land, which the Lord thy God giueth thee to inherite, lest bloud be vpon thee.
[GNV | EN | OT | Deuteronomy | Chapter 19 | Verse 11] But if a man hate his neighbour, and lay waite for him, and rise against him, and smite any man that he die, and flee vnto any of these cities,
[GNV | EN | OT | Deuteronomy | Chapter 19 | Verse 12] Then the Elders of his citie shall send and set him thence, and deliuer him into the hands of the auenger of the blood, that he may die.
[GNV | EN | OT | Deuteronomy | Chapter 19 | Verse 13] Thine eye shall not spare him, but thou shalt put away the crie of innocent blood from Israel, that it may goe well with thee.
[GNV | EN | OT | Deuteronomy | Chapter 19 | Verse 14] Thou shalt not remooue thy neighbours marke, which they of olde time haue set in thine inheritance, that thou shalt inherite in the lande, which ye Lord thy God giueth thee to possesse it.
[GNV | EN | OT | Deuteronomy | Chapter 19 | Verse 15] One witnes shall not rise against a man for any trespasse, or for any sinne, or for any fault that hee offendeth in, but at the mouth of two witnesses or at the mouth of three witnesses shall the matter be stablished.
[GNV | EN | OT | Deuteronomy | Chapter 19 | Verse 16] If a false witnesse rise vp against a man to accuse him of trespasse,
[GNV | EN | OT | Deuteronomy | Chapter 19 | Verse 17] Then both the men which striue together, shall stand before ye Lord, euen before the Priests and the Iudges, which shall be in those daies,
[GNV | EN | OT | Deuteronomy | Chapter 19 | Verse 18] And the Iudges shall make diligent inquisition: and if the witnesse be found false, and hath giuen false witnes against his brother,
[GNV | EN | OT | Deuteronomy | Chapter 19 | Verse 19] Then shall yee doe vnto him as hee had thought to doe vnto his brother: so thou shalt take euil away forth of the middes of thee.
[GNV | EN | OT | Deuteronomy | Chapter 19 | Verse 20] And the rest shall heare this, and feare, and shall henceforth commit no more any such wickednes among you.
[GNV | EN | OT | Deuteronomy | Chapter 19 | Verse 21] Therefore thine eye shall have no compassion, but life for life, eye for eye, tooth for tooth, hand for hand, foote for foote.
